email,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32
moistwindow556@yahoo.com,1,1,1,1,1,1,1,0,0,2,1,2,1,0,2,1,2,2,1,2,0,2,2,2,2,2,1,2,2,2,2,2
oldwindow763@yahoo.com,2,2,1,1,1,2,2,2,1,1,2,0,1,2,1,2,1,1,1,2,2,0,0,0,2,2,2,2,1,0,2,2
hothat842@outlook.com,2,2,0,1,0,0,1,1,0,1,2,2,2,2,1,2,2,2,1,0,0,2,0,2,1,2,0,2,2,2,0,2
deepbread546@qq.com,0,2,1,1,2,1,2,1,2,0,1,1,1,0,1,1,0,2,2,2,2,2,2,2,2,0,2,2,1,1,2,2
dailywindow99@gmail.com,2,2,1,2,1,1,2,2,1,2,1,2,2,2,1,2,2,1,2,1,0,2,1,1,2,0,2,1,1,1,0,2
extrahat650@yahoo.com,1,2,2,1,2,2,1,1,0,2,2,1,2,2,2,2,2,1,2,2,0,2,0,0,1,0,1,2,1,2,1,0
lostskates470@gmail.com,2,1,1,2,1,2,1,2,1,1,2,2,2,1,1,1,0,2,1,2,2,2,2,1,1,0,1,2,2,2,1,2
freshytire380@163.com,1,2,0,0,0,0,2,1,1,2,1,2,1,2,2,2,2,1,0,2,1,0,2,2,2,2,2,2,1,1,2,0
mostlyshack538@gmail.com,1,2,2,2,0,0,1,2,2,1,1,1,0,0,2,1,1,2,0,1,2,2,2,2,2,2,0,2,2,1,1,2
dailyspice313@gmail.com,1,2,0,2,2,2,1,2,2,0,1,1,2,0,1,1,1,2,2,2,1,0,2,2,0,2,2,0,1,2,1,2
usedrug5@gmail.com,2,2,2,1,0,1,2,1,2,2,2,2,2,1,2,1,0,2,1,2,2,1,1,1,2,0,1,0,0,2,2,1
newshoes633@163.com,0,1,1,2,2,1,2,2,1,2,1,2,2,1,2,0,1,2,1,2,0,2,2,1,2,2,1,0,1,2,2,1
newspice777@163.com,0,1,2,2,2,1,2,2,0,2,2,1,1,1,1,2,2,2,0,0,1,1,2,2,0,2,0,2,1,1,2,2
retiredcup377@gmail.com,2,1,1,0,2,2,1,2,2,2,2,1,1,1,1,1,2,1,2,1,2,1,2,2,1,1,2,2,1,1,2,2
tiredsub722@163.com,0,2,1,1,2,2,2,1,0,2,1,2,2,2,1,0,2,2,2,1,2,0,0,1,1,0,1,2,2,2,2,1
foundbeans35@163.com,2,1,1,2,0,2,2,0,2,2,1,1,1,2,1,2,1,2,2,2,1,1,0,2,2,2,0,1,1,0,2,2
slimyshoes919@yahoo.com,2,2,2,1,2,0,1,1,1,2,1,2,2,2,1,1,1,2,1,1,2,1,2,2,2,0,1,2,1,2,2,1
dirtyjug352@gmail.com,2,2,1,0,0,1,1,1,0,2,2,2,2,1,2,1,2,2,2,2,0,1,0,1,2,0,2,2,2,0,2,1
freshyjug894@yahoo.com,1,2,2,1,2,2,1,1,0,1,1,2,2,1,2,1,1,1,2,2,2,2,2,2,1,2,2,2,1,1,0,1
slimychrysler684@yahoo.com,2,1,1,2,1,2,2,2,0,1,2,1,0,2,2,2,2,1,1,0,2,2,1,0,2,0,1,2,2,2,1,1
deeptide738@gmail.com,2,2,1,1,1,1,2,1,0,2,2,2,2,1,1,2,0,2,1,1,2,1,1,2,0,2,1,2,2,2,0,2
moistspice183@outlook.com,1,2,2,1,2,1,1,0,2,2,1,1,1,2,1,1,2,2,2,0,2,2,2,2,0,2,1,0,1,2,2,1
retiredjeep648@163.com,1,1,2,1,1,2,2,2,1,1,2,1,1,2,2,1,1,2,1,1,0,2,0,2,2,2,1,2,2,1,2,2
mostlyblanket992@qq.com,0,1,2,2,1,2,1,2,1,1,2,2,1,2,2,1,2,1,2,1,2,1,0,2,1,0,0,2,2,2,1,2
moistcup595@outlook.com,2,2,1,2,2,2,2,2,2,1,2,1,0,0,2,1,1,2,1,2,1,1,1,2,1,2,0,2,1,1,2,0
coldbread793@gmail.com,2,2,2,2,0,1,1,2,0,2,2,2,0,2,1,1,2,2,1,2,1,2,2,1,2,0,0,0,1,2,1,1
replacementshirt214@163.com,2,1,2,2,2,1,1,1,1,2,2,1,2,2,1,1,2,1,1,1,1,0,2,1,2,2,1,2,1,2,2,2
dailycup358@yahoo.com,0,1,2,0,0,0,2,2,2,1,2,2,2,1,1,1,2,2,2,2,2,2,1,1,2,2,0,0,1,1,1,2
freshytire743@outlook.com,2,1,2,2,2,0,2,1,2,1,0,1,2,2,2,1,1,2,1,2,0,1,2,2,2,0,1,0,1,0,2,2
dailydrum264@gmail.com,2,2,2,2,2,0,1,1,2,2,2,2,1,1,1,2,2,1,2,1,1,0,2,1,0,0,2,0,2,2,1,1
dailychrysler726@outlook.com,0,0,2,1,0,2,2,1,2,2,2,2,2,1,1,2,0,2,1,1,0,0,2,2,2,2,1,0,2,0,2,1
acientcup238@outlook.com,1,2,2,1,1,1,1,0,1,2,2,1,2,2,1,2,2,1,2,1,0,2,2,1,2,0,2,2,2,0,2,1
extraskates217@163.com,2,2,2,2,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,2,2,2,1,2,0,2,1,2,2,2,1,2
coldcola526@163.com,2,2,2,1,2,2,1,1,0,2,2,2,0,0,1,1,1,1,2,2,0,2,0,1,2,2,2,2,2,0,0,1
milkywindow853@yahoo.com,1,2,1,2,2,0,2,1,1,1,1,2,2,2,2,0,2,1,2,1,2,2,2,1,2,1,2,0,2,1,0,1
slightlywindow406@gmail.com,2,1,1,2,0,2,1,1,2,0,2,2,2,2,1,2,1,2,0,1,2,2,0,1,2,0,2,2,2,1,0,1
slightlyjug290@qq.com,0,1,1,0,2,2,2,0,0,2,2,1,0,0,2,2,1,0,2,2,2,2,2,1,2,2,2,0,0,1,1,2
foldinghat165@qq.com,2,1,1,1,2,1,2,1,2,0,2,1,0,2,1,2,2,1,1,1,2,2,2,0,2,0,2,0,2,2,2,0
lostshack328@gmail.com,0,1,1,1,2,2,2,1,2,1,1,2,0,1,1,1,1,2,0,2,2,2,1,2,2,2,2,2,1,0,2,2
mostlycola126@yahoo.com,0,2,1,2,1,2,1,1,1,2,1,2,0,2,2,1,0,2,1,1,1,2,2,2,2,0,2,0,2,2,2,1
retiredskates875@outlook.com,2,2,1,1,0,2,2,1,2,1,1,2,0,2,2,2,1,2,2,0,0,2,2,2,1,1,1,0,1,2,0,2
replacementcup675@qq.com,2,2,2,2,2,1,1,1,1,2,2,2,2,2,1,2,2,0,1,1,2,1,2,2,1,0,1,2,1,0,0,1
oldjug810@qq.com,2,2,2,1,0,0,1,2,1,0,2,2,1,2,1,1,2,0,0,2,2,2,2,2,2,0,0,0,1,2,0,2
extrasnake821@qq.com,1,1,1,2,1,1,0,2,0,0,0,2,1,1,1,1,2,2,2,0,2,2,2,2,2,2,1,2,2,1,2,2
tiredtire369@yahoo.com,2,2,1,1,0,0,1,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,1,1,0,2,0,1,0,2,2
deepsnake600@yahoo.com,1,2,2,1,1,2,2,1,2,1,2,1,2,1,2,1,1,1,1,2,2,1,2,2,2,2,2,1,1,0,1,2
coldrug83@yahoo.com,2,1,2,1,1,2,1,2,0,1,2,2,1,2,1,2,2,2,0,2,2,1,0,1,1,0,2,2,1,2,2,0
fishychrysler416@163.com,2,1,1,2,0,1,1,1,1,2,2,2,2,2,1,2,0,2,1,0,2,2,1,0,0,2,2,2,1,1,2,2
foundsub142@qq.com,1,1,2,2,0,2,1,1,1,2,2,1,0,2,2,2,1,2,1,0,2,1,0,1,2,2,2,0,2,2,0,2
dailyshoes209@163.com,1,1,1,2,2,1,1,1,2,2,2,2,1,1,2,1,1,2,1,2,2,2,1,2,1,1,2,1,2,2,2,1
moistcola824@gmail.com,0,1,1,1,0,2,2,2,1,1,2,1,1,0,2,2,2,1,2,0,2,2,2,1,2,2,0,2,0,1,2,2
dirtyhat787@gmail.com,2,2,2,2,2,1,2,2,0,2,1,2,0,2,1,0,1,0,1,2,1,1,2,1,1,0,2,2,2,2,0,1
foundjeep250@qq.com,2,2,1,1,0,2,1,2,2,1,1,2,1,1,1,1,2,2,2,1,2,2,0,1,2,2,2,1,2,0,2,1
slightlydrum798@163.com,2,2,1,0,0,1,2,2,0,2,2,1,2,1,2,0,1,1,2,2,1,2,0,2,2,1,1,0,2,2,2,0
soiledshack25@qq.com,2,1,2,1,2,2,2,1,1,1,2,2,1,2,2,2,2,1,2,2,1,1,1,1,2,2,1,2,1,1,1,1
losthat457@163.com,2,1,1,2,2,1,2,1,2,1,2,2,2,2,2,2,1,1,2,1,1,1,2,1,2,2,1,1,2,0,0,1
extrabike590@outlook.com,1,2,1,1,2,2,1,2,2,2,2,1,1,2,1,0,2,2,2,2,0,1,1,2,1,0,1,1,1,2,2,2
coldblanket498@qq.com,2,2,2,1,0,1,2,2,0,2,1,2,1,1,2,1,2,1,2,1,0,1,2,1,1,2,2,2,1,0,2,2
retiredspice749@gmail.com,2,2,1,2,2,2,1,1,1,1,2,1,1,0,2,2,1,2,1,1,1,2,0,2,1,1,2,0,2,2,2,2
freshytire179@outlook.com,1,1,2,1,2,2,2,1,0,2,1,2,1,1,1,2,0,1,2,0,0,0,2,2,2,0,2,2,2,2,0,2
coldshack63@qq.com,2,2,2,0,0,2,1,2,1,2,1,1,2,2,2,2,2,0,2,0,0,1,2,0,2,0,1,0,1,2,2,1
oldsnake198@outlook.com,1,1,1,0,2,1,1,1,2,2,0,2,1,2,2,2,2,2,2,1,0,2,2,2,1,0,1,0,2,1,2,2
drychrysler511@gmail.com,1,0,1,0,0,1,2,2,2,2,1,2,0,0,1,2,1,1,2,2,2,2,0,2,2,2,0,2,2,0,0,2
foldingwindow502@yahoo.com,1,2,2,2,0,2,1,1,2,1,2,2,2,1,1,1,2,1,1,1,0,1,2,2,2,2,2,0,2,1,2,1
clamyspice948@outlook.com,1,2,2,2,2,2,2,2,2,2,0,2,1,1,1,2,1,0,1,1,2,1,0,0,2,0,1,2,2,1,0,2
foldingcup778@outlook.com,2,2,2,2,1,1,2,2,2,1,1,2,1,1,1,2,2,1,1,1,1,2,2,0,1,1,1,2,2,2,0,2
deepcola71@qq.com,0,2,2,2,1,1,2,1,1,1,2,1,1,2,2,1,1,1,2,1,0,2,2,2,2,0,1,2,2,2,1,2
dryhat316@outlook.com,2,2,2,1,1,0,2,2,2,1,1,1,2,0,2,1,2,1,1,2,1,2,2,1,2,2,2,2,1,1,1,1
mostlysnake491@qq.com,2,2,2,1,0,0,1,2,1,2,1,2,1,0,2,0,2,2,2,0,0,2,0,2,2,2,2,0,1,1,2,1
hotsnake274@yahoo.com,0,2,1,2,2,1,2,1,1,2,2,2,2,2,1,2,1,1,1,2,2,2,2,0,0,0,1,0,1,1,2,2
dailywindow783@qq.com,2,1,1,0,2,2,2,2,2,1,2,0,2,2,1,1,2,1,2,2,1,2,1,2,1,2,1,0,0,1,2,1
moisttide843@qq.com,1,2,2,2,0,2,0,0,2,1,2,1,2,2,1,1,2,1,2,1,2,2,2,2,2,0,1,2,1,1,1,1
usedsub254@gmail.com,2,0,1,2,2,2,1,0,2,2,1,2,2,2,1,1,2,2,2,1,1,1,0,2,1,1,2,1,2,2,1,1
deepshack879@outlook.com,2,2,2,2,2,2,1,1,1,0,2,1,0,0,2,2,0,1,2,0,2,1,0,2,2,0,2,2,0,0,0,2
fishysnake533@yahoo.com,2,1,2,1,2,2,1,2,2,2,2,1,0,2,1,2,1,1,1,2,2,2,0,0,0,0,2,0,2,2,0,1
foldingsnake605@163.com,1,1,2,2,0,2,2,2,1,2,2,1,2,1,1,1,1,2,1,1,2,2,0,1,2,2,2,1,1,2,2,1
foldingspice440@outlook.com,0,0,1,1,2,1,2,1,2,1,1,2,2,2,2,2,2,2,1,1,2,1,0,1,1,2,0,2,1,2,2,2
retiredcola422@163.com,1,1,1,1,2,2,0,1,0,2,1,1,0,1,2,2,2,2,1,0,0,2,2,2,2,2,2,2,1,2,1,2
dryjug879@yahoo.com,2,1,1,2,1,2,2,1,1,1,2,1,1,2,1,1,2,1,2,2,2,1,0,2,0,2,2,2,1,2,1,2
slightlyspice55@gmail.com,2,1,1,1,2,1,0,2,0,0,2,2,0,2,2,1,2,2,2,1,1,2,0,1,2,2,0,0,0,2,2,2
losthat840@qq.com,0,0,2,2,0,2,2,1,0,0,2,1,0,2,2,2,0,1,1,0,0,2,2,2,2,0,1,2,2,2,0,2
freshytide573@yahoo.com,2,2,1,1,1,2,2,0,2,0,2,1,2,2,1,1,2,2,1,1,1,0,0,2,2,2,2,2,1,2,0,1
hotsub233@gmail.com,2,2,2,2,1,1,2,2,2,2,1,1,1,1,2,1,1,2,2,1,2,2,1,0,0,2,0,2,1,0,1,2
moistskates376@yahoo.com,1,1,1,1,2,2,1,2,1,0,1,2,0,0,2,1,2,2,2,2,2,1,1,2,2,1,1,1,2,2,2,2
foundtire912@qq.com,2,1,1,2,2,2,1,1,2,2,2,1,1,2,2,2,2,2,1,2,1,2,1,1,2,2,0,0,1,1,0,1
foldingcola28@yahoo.com,2,2,1,1,2,2,2,1,1,1,2,2,1,2,1,2,1,2,2,2,0,1,1,1,2,1,2,0,1,2,1,2
hotspice38@yahoo.com,1,0,1,0,0,1,1,0,1,2,2,2,2,2,2,1,2,2,2,2,2,2,0,1,1,2,1,0,1,2,2,2
dryshirt414@163.com,0,2,1,0,2,2,1,1,2,2,2,1,2,1,2,2,2,2,2,1,1,2,0,1,1,2,1,0,2,0,2,1
dryspice412@gmail.com,2,1,2,1,2,2,1,2,2,1,2,1,2,2,2,1,1,2,1,2,0,0,2,1,1,1,2,2,1,2,1,1
acientchrysler809@gmail.com,2,2,2,1,0,0,2,2,0,1,2,1,0,2,1,1,2,1,2,2,0,2,2,1,1,2,2,0,2,0,1,2
fishycup876@qq.com,2,2,1,1,2,2,2,1,1,2,1,2,1,2,2,1,1,1,2,2,2,2,2,0,1,1,2,2,1,0,1,1
newbeans217@yahoo.com,0,1,2,1,0,2,2,2,0,1,2,0,1,1,2,2,2,1,2,1,1,2,0,2,2,0,2,0,2,2,1,2
fishyspice4@outlook.com,2,2,2,1,0,1,2,2,2,1,2,2,2,2,2,1,1,1,1,1,2,2,0,2,0,0,1,1,1,1,2,2
retiredblanket962@yahoo.com,2,2,2,1,2,2,1,2,0,0,1,0,1,2,1,1,2,0,2,2,2,2,0,2,0,2,0,0,2,0,2,1
coldcup974@outlook.com,1,1,2,1,0,2,2,2,0,1,2,2,2,2,1,2,2,2,1,1,1,1,2,2,2,1,2,0,1,1,1,2
acienthat353@yahoo.com,2,2,2,1,1,2,2,0,2,1,1,2,2,1,2,1,1,2,1,1,2,2,2,2,1,2,2,0,1,1,1,1
fishysub695@qq.com,0,0,2,1,2,2,1,2,1,2,1,1,2,2,1,1,2,2,2,1,0,2,2,0,1,1,2,2,2,1,1,2
dailytire198@qq.com,2,2,1,2,0,2,1,2,0,0,1,1,1,1,1,1,2,1,2,2,2,2,2,1,2,0,2,0,0,2,2,2
freshytide168@qq.com,2,2,2,1,0,1,2,2,1,2,1,1,2,0,1,2,2,1,2,2,1,2,1,2,2,0,1,0,2,2,1,1
hotchrysler124@outlook.com,2,1,2,2,2,2,1,2,2,1,1,2,2,2,1,2,1,1,2,0,1,1,0,1,1,0,2,1,2,2,1,2
clamyjeep169@163.com,2,2,2,0,1,1,2,1,2,0,2,2,2,0,2,2,0,2,1,1,0,0,2,1,2,2,0,2,2,0,1,1
hotshoes609@163.com,2,2,1,2,2,0,1,2,0,0,2,1,0,2,1,2,0,1,2,2,0,0,2,1,2,2,1,0,1,2,2,2
retiredblanket413@163.com,1,2,2,0,0,2,2,1,0,2,2,1,2,2,1,2,1,1,2,2,1,2,0,2,0,0,0,2,2,2,1,1
dirtybread769@gmail.com,2,2,1,0,2,1,1,1,2,0,2,1,2,1,2,2,2,1,1,2,1,1,2,2,1,2,1,2,0,0,2,2
buriedwindow695@yahoo.com,0,1,1,0,2,2,1,2,0,2,2,2,2,0,1,1,2,2,2,2,2,1,0,2,0,2,1,0,1,2,1,2
fishydrum493@yahoo.com,2,2,2,2,1,2,2,2,1,2,0,1,2,2,1,1,2,1,1,2,0,2,2,1,1,2,1,0,1,2,1,1
slimytire345@gmail.com,2,1,1,2,1,2,2,2,2,1,2,2,1,1,2,1,2,1,2,1,1,1,2,2,2,0,2,0,1,1,1,2
slimycup961@163.com,2,1,1,2,1,1,1,2,2,2,2,2,0,1,1,2,1,2,1,0,2,1,0,1,2,2,2,0,2,1,2,2
foldingsnake113@yahoo.com,2,2,1,1,0,1,1,2,1,2,0,2,2,2,1,1,0,1,2,2,2,1,0,2,2,2,2,2,1,1,2,1
moistwindow929@outlook.com,2,1,2,2,1,0,1,1,2,1,1,2,2,2,2,1,1,2,2,2,1,1,1,2,1,0,2,1,2,1,2,2
soiledbread354@gmail.com,2,2,1,2,0,2,1,1,2,2,1,1,2,2,1,2,1,1,2,1,2,1,0,2,1,2,2,0,2,1,0,2
extraskates390@qq.com,2,2,1,1,2,2,1,2,2,0,2,1,1,1,1,1,1,2,2,1,0,1,1,2,2,2,2,2,2,0,1,2
tiredsnake664@outlook.com,0,2,1,1,2,1,1,1,2,2,2,0,1,2,1,2,2,2,2,2,1,2,2,1,0,2,2,0,1,0,1,2
dirtywindow29@163.com,2,2,1,1,1,2,1,1,0,1,1,2,2,0,1,2,1,2,1,2,2,0,1,2,2,2,1,2,1,2,2,2
foldingshoes832@outlook.com,2,2,2,1,2,2,1,2,0,1,0,1,1,2,1,1,1,2,1,1,1,2,2,2,2,2,1,2,2,1,2,1
tiredsub5@gmail.com,2,2,2,1,1,2,1,2,1,1,2,2,1,2,1,2,1,2,1,1,2,2,2,2,1,1,1,1,1,0,2,2
slimyskates788@outlook.com,2,1,2,2,2,0,2,1,1,2,1,0,0,2,1,2,2,1,2,2,2,1,1,1,2,0,2,0,2,0,2,1
soiledsub246@outlook.com,2,2,2,1,2,0,2,1,2,2,0,2,1,2,2,1,1,1,2,1,2,1,0,1,1,2,2,0,1,2,1,2
mostlytire665@163.com,2,2,2,1,0,2,1,1,2,1,1,0,2,0,2,1,1,1,2,1,2,2,0,2,2,2,2,0,1,0,2,2
newjeep577@163.com,2,1,1,2,2,2,1,2,1,2,1,1,2,0,2,1,2,1,1,2,2,1,2,1,2,2,1,2,2,0,1,1
dailytire690@qq.com,1,1,1,0,0,1,2,1,0,2,2,1,2,1,2,1,0,2,2,2,2,2,0,0,2,2,2,2,1,1,2,2
slimyjeep386@163.com,1,1,1,2,0,0,2,1,2,2,1,1,0,2,0,1,2,2,1,2,2,0,0,1,1,2,2,2,2,2,2,2
usedsnake976@gmail.com,2,2,2,1,0,2,1,2,0,1,1,2,1,2,1,2,1,1,2,1,0,1,2,2,2,0,2,1,2,2,2,1
deephat767@qq.com,2,2,2,0,0,1,2,2,2,2,2,1,0,1,2,1,2,1,2,1,0,0,0,2,0,0,2,2,1,0,2,2
slimyskates612@outlook.com,0,2,1,1,2,2,1,1,1,0,2,1,1,2,2,1,2,2,2,2,2,1,1,2,0,0,2,2,2,0,2,1
soiledbike119@outlook.com,2,1,2,2,2,2,2,1,2,2,2,1,1,2,1,1,1,1,0,1,2,2,1,1,0,0,2,2,2,0,2,1
usedbike748@qq.com,1,1,1,1,1,2,1,0,2,2,0,2,0,2,2,0,2,0,0,2,2,2,1,2,2,2,1,0,2,2,2,0
retiredwindow436@gmail.com,2,0,2,2,0,0,2,2,2,2,1,1,2,1,1,2,1,2,1,2,0,2,0,2,0,0,2,2,1,1,1,2
acientbeans987@gmail.com,2,1,1,1,2,0,2,1,0,2,1,2,2,1,2,1,2,2,2,1,2,1,0,2,1,2,2,2,1,1,1,2
usedjeep164@yahoo.com,1,1,1,2,2,1,1,1,1,2,1,2,2,2,1,2,2,1,1,1,2,1,2,2,2,2,2,2,2,0,0,1
slightlytire36@qq.com,1,1,2,0,2,2,2,2,2,2,0,2,2,1,2,2,1,1,1,1,2,1,2,1,2,2,1,0,1,1,2,1
newtire896@gmail.com,1,1,2,0,2,1,1,1,1,2,1,2,1,1,1,2,2,1,2,1,0,2,2,0,2,2,2,0,2,2,2,2
acienthat377@qq.com,1,2,2,1,2,1,1,2,1,2,2,1,1,0,1,2,2,2,1,2,1,2,1,2,2,1,2,0,1,2,2,1
replacementshoes99@outlook.com,1,1,1,2,1,2,1,1,1,2,1,1,2,2,2,2,1,2,2,2,2,2,1,1,0,0,2,1,1,2,2,2
hotshack271@qq.com,2,2,1,1,1,1,1,2,0,2,2,1,1,2,1,2,0,1,2,2,1,0,2,1,0,2,1,2,2,2,2,2
mostlyspice339@gmail.com,2,1,2,1,2,1,2,2,2,1,2,1,2,1,1,2,1,1,2,1,2,2,2,1,1,1,2,2,1,1,1,2
dirtydrum825@gmail.com,1,1,2,1,0,2,2,1,2,1,2,2,2,0,2,1,2,1,2,2,1,2,0,1,2,1,1,1,2,2,2,1
extrasnake858@gmail.com,2,2,0,1,2,2,0,2,1,2,1,2,2,1,2,2,1,2,0,1,1,1,1,2,0,0,2,2,2,2,1,1
retiredrug224@qq.com,1,0,2,1,2,1,2,1,1,0,2,2,2,2,1,2,1,0,0,1,2,0,2,2,1,0,1,2,2,2,2,2
foundbike537@163.com,0,0,2,1,0,2,1,2,0,0,2,1,1,2,1,2,2,2,2,1,2,1,2,1,1,2,2,2,1,1,2,2
burieddrum15@gmail.com,2,2,2,1,0,2,2,1,2,0,1,2,0,2,2,1,1,2,2,0,2,1,1,1,1,0,1,0,2,2,2,2
coldchrysler992@163.com,2,1,2,2,0,0,1,2,1,2,1,0,1,2,2,1,2,1,2,2,1,2,2,2,0,2,1,0,1,1,2,2
dryskates413@yahoo.com,1,1,1,1,2,2,2,1,2,1,1,1,1,2,1,2,2,1,2,2,0,2,0,2,2,0,1,2,2,1,2,2
replacementskates795@outlook.com,1,1,2,2,2,2,1,1,1,2,2,1,1,2,1,1,2,2,2,1,2,2,0,1,2,1,0,0,2,1,2,2
slightlychrysler303@163.com,0,2,1,0,2,2,1,1,0,0,2,1,2,1,1,2,2,1,2,2,2,0,2,2,2,0,2,0,1,2,0,2
newspice255@outlook.com,2,2,2,1,0,0,1,1,2,2,2,1,2,2,1,2,2,2,2,2,0,0,0,0,2,0,1,0,2,0,1,2
milkyrug604@yahoo.com,2,0,1,2,2,2,1,2,0,2,1,2,2,2,1,2,2,1,1,2,0,0,0,1,0,2,0,2,1,0,2,2
usedcup447@yahoo.com,1,2,1,2,0,1,2,2,0,2,0,2,2,1,1,0,1,2,2,1,2,1,0,1,2,2,2,2,1,1,2,2
soiledskates976@163.com,1,2,1,1,0,0,2,2,2,2,2,2,2,2,1,2,1,1,2,1,2,0,2,1,2,2,1,0,2,1,0,1
