email,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18
dirtybeans888@outlook.com,1,2,1,1,1,2,1,2,1,2,2,1,2,2,2,1,1,2
dailyshoes843@qq.com,2,1,2,1,2,2,1,2,1,2,1,1,2,1,1,2,1,2
soiledcola253@163.com,2,1,1,2,2,2,0,2,2,1,2,1,2,1,2,0,1,1
lostcola749@yahoo.com,2,1,2,1,2,1,2,2,0,2,1,0,2,1,2,2,1,1
newskates92@gmail.com,0,2,1,2,1,1,2,2,2,1,2,2,0,1,2,1,1,2
slightlydrum888@yahoo.com,2,2,1,2,1,1,2,1,1,2,2,2,1,0,2,1,1,2
retiredblanket413@163.com,2,2,1,1,1,2,1,1,2,1,1,2,2,2,0,2,0,2
usedrug938@yahoo.com,2,1,2,2,2,2,2,1,2,0,1,2,2,0,1,1,1,1
soiledrug174@163.com,2,2,1,0,1,2,2,2,2,2,1,2,1,1,1,2,1,1
clamybeans775@outlook.com,1,2,1,0,1,2,1,2,1,2,2,1,2,1,2,1,2,2
clamyspice389@163.com,2,2,1,1,2,2,1,1,2,2,2,0,1,2,1,2,1,1
freshybread696@163.com,2,2,1,0,1,2,2,1,2,2,2,2,1,0,0,0,2,1
tiredspice581@qq.com,2,2,1,0,1,2,1,2,2,1,1,1,2,1,2,0,2,2
clamyspice605@yahoo.com,2,2,1,2,2,1,1,1,2,2,2,1,1,1,2,0,1,2
mostlyjug153@163.com,1,2,1,2,2,2,1,1,1,1,1,0,1,2,2,2,2,2
freshyblanket717@outlook.com,2,1,1,2,1,1,2,2,1,2,2,1,2,1,0,1,2,2
foundbread552@outlook.com,2,1,1,2,0,2,2,2,1,2,1,2,1,1,2,1,2,1
clamyspice717@outlook.com,1,1,2,2,2,0,2,1,0,2,1,2,2,1,1,1,2,2
foldingchrysler517@qq.com,1,0,2,0,1,1,2,1,2,2,1,2,2,1,2,2,1,2
dirtytire674@outlook.com,1,1,2,1,2,2,1,2,2,2,2,1,1,1,1,2,2,0
acientcup466@gmail.com,2,1,0,2,2,1,1,1,1,2,1,0,2,2,2,2,2,1
milkywindow853@yahoo.com,2,1,2,2,2,1,2,1,0,1,1,1,2,2,2,2,1,1
usedjeep164@yahoo.com,2,1,1,0,1,0,1,1,2,2,2,2,2,2,2,0,2,1
moistjug851@outlook.com,2,2,1,2,1,1,1,2,1,1,1,2,1,1,2,2,2,2
acientjug849@gmail.com,2,2,2,0,1,2,1,1,2,1,1,1,2,2,2,2,1,1
usedrug181@yahoo.com,2,1,1,1,2,2,2,2,2,1,1,1,2,0,0,1,2,2
lostskates908@163.com,1,2,1,2,2,2,1,2,1,2,1,2,1,0,2,1,2,1
lostshirt339@yahoo.com,2,2,1,0,0,1,1,1,2,1,0,2,2,2,2,2,2,1
freshycola351@qq.com,0,2,1,2,1,1,1,1,2,2,2,2,1,0,2,1,2,2
tiredbread440@163.com,2,1,1,2,2,1,2,2,1,2,1,0,2,1,0,2,2,1
foldingsub921@gmail.com,1,2,2,2,2,1,2,1,1,2,2,0,2,1,0,1,2,1
coldshack611@qq.com,2,2,2,1,1,2,2,2,1,1,2,1,1,1,0,2,2,1
freshytide12@gmail.com,1,1,1,2,2,1,2,2,0,2,1,2,2,2,2,0,1,1
newsnake550@yahoo.com,1,2,2,1,1,2,1,2,2,1,0,2,1,0,1,2,2,2
tiredskates86@yahoo.com,2,2,2,0,2,1,1,2,2,1,2,1,2,1,0,1,1,2
hotshoes609@163.com,1,0,2,2,1,1,2,2,2,2,0,1,1,2,0,2,1,2
fishycup117@163.com,1,1,1,2,2,2,2,2,0,1,1,2,1,2,0,2,2,1
dirtyskates685@yahoo.com,1,2,1,1,2,2,2,2,1,2,2,1,1,1,1,1,2,2
replacementbeans665@yahoo.com,2,1,2,1,2,2,1,2,1,1,1,1,2,1,2,1,2,2
oldtide873@gmail.com,2,2,2,2,2,0,2,1,1,1,1,1,2,0,0,1,2,2
moistbike627@163.com,1,1,1,2,2,2,2,1,1,1,2,1,1,1,2,2,2,2
foundsub311@yahoo.com,2,1,0,0,2,0,1,2,2,0,2,2,1,2,2,1,1,2
drychrysler833@gmail.com,0,2,2,1,1,2,2,2,1,2,0,1,2,1,2,2,0,1
retiredblanket962@yahoo.com,2,2,2,1,2,1,1,1,2,1,0,2,1,2,2,0,2,1
newwindow185@outlook.com,2,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,1,1
slimytire237@gmail.com,2,2,2,2,1,1,1,2,0,2,0,0,1,2,2,0,2,1
colddrum318@gmail.com,2,1,2,1,1,1,1,2,2,1,2,1,1,2,2,1,2,2
dirtyspice235@outlook.com,1,2,2,1,1,1,0,2,1,2,2,1,2,2,1,2,1,2
replacementbike548@163.com,2,2,2,1,1,1,0,1,1,2,1,2,1,2,2,0,2,2
newbike169@gmail.com,2,2,2,2,1,0,1,2,1,1,2,0,1,1,2,1,2,2
slimyskates612@outlook.com,1,2,2,0,1,2,2,2,0,1,0,1,2,2,1,0,2,2
slightlyhat58@gmail.com,2,2,2,1,1,1,2,1,1,2,2,1,2,0,2,2,1,1
retiredtide337@outlook.com,1,1,2,1,2,0,0,1,2,1,2,2,1,2,2,2,2,1
dailyrug68@gmail.com,2,1,1,2,2,2,1,2,1,2,1,1,0,1,2,2,1,2
slightlytide309@yahoo.com,2,1,1,2,0,2,2,2,2,2,2,0,1,0,2,0,1,1
buriedshoes758@outlook.com,2,1,1,2,2,2,0,1,1,1,1,2,1,2,2,2,1,2
replacementblanket784@163.com,2,0,1,2,0,1,0,1,2,2,2,2,1,2,2,2,1,1
mostlyblanket918@163.com,2,0,1,1,2,2,1,1,1,1,0,2,2,2,2,2,1,2
replacementdrum150@163.com,1,1,1,1,0,1,1,2,2,2,2,2,2,2,1,2,2,1
tiredhat204@163.com,1,0,1,1,1,2,1,2,2,2,1,2,2,2,2,0,2,1
freshyhat343@gmail.com,2,2,2,2,2,1,0,2,1,0,2,2,2,1,1,1,1,1
foldingcola121@163.com,2,2,1,1,1,2,2,2,1,2,2,2,1,1,1,2,1,1
mostlytire325@outlook.com,0,2,1,0,1,1,2,1,2,2,2,0,2,2,2,2,1,1
freshyshirt46@outlook.com,2,1,2,0,2,1,1,1,1,1,1,2,2,2,2,2,2,1
foundbeans91@163.com,1,2,2,2,1,2,2,1,1,1,1,2,1,2,2,2,1,1
deepshoes813@qq.com,1,1,2,1,2,2,2,1,1,2,2,1,2,0,0,2,2,1
dirtyshack540@gmail.com,1,2,1,2,1,1,2,1,2,1,0,2,2,1,1,2,2,2
slightlycup586@163.com,2,2,2,2,2,1,1,1,2,1,2,2,1,1,1,1,2,1
dryrug490@yahoo.com,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,1,2
fishyshack419@163.com,2,2,2,2,1,1,1,2,1,2,2,1,1,2,1,2,1,1
extradrum718@gmail.com,1,1,2,2,1,1,2,2,1,2,1,2,1,2,1,2,2,1
foundskates680@gmail.com,1,1,1,1,1,2,2,1,2,2,1,1,2,2,2,1,2,2
oldhat392@163.com,2,2,2,2,2,1,1,2,2,1,1,1,1,2,1,2,1,1
buriedcup729@outlook.com,1,2,0,1,1,2,2,2,2,2,1,0,1,1,0,2,2,2
replacementsnake675@outlook.com,2,0,1,1,1,2,0,2,2,2,2,1,2,1,2,1,2,1
dryspice412@gmail.com,2,1,1,2,1,1,1,1,2,2,2,2,1,1,2,2,2,1
extrabike590@outlook.com,1,1,1,2,1,2,2,1,2,2,0,1,2,0,2,2,1,2
milkyshoes260@163.com,1,2,1,2,2,1,1,2,1,2,2,0,1,1,1,2,2,2
foldingshack252@yahoo.com,2,2,2,1,2,1,1,1,2,2,1,2,1,1,1,2,1,2
milkyrug604@yahoo.com,2,0,0,2,2,0,1,1,0,2,2,2,2,1,2,0,2,1
usedcola500@yahoo.com,2,1,2,1,1,2,1,2,2,2,1,1,0,2,2,0,2,1
fishyrug448@yahoo.com,1,1,2,2,2,0,1,1,2,1,1,1,2,2,2,1,2,2
drybeans185@163.com,1,2,2,2,1,2,2,2,1,2,0,2,1,2,1,1,1,1
freshyshoes711@gmail.com,2,2,2,0,2,2,2,1,2,0,1,2,1,1,1,1,1,2
soiledsnake79@yahoo.com,1,2,2,1,2,2,2,1,1,2,1,2,2,1,1,0,1,2
milkyjug513@163.com,1,2,2,0,1,1,2,1,1,2,1,2,2,0,2,2,1,2
acientchrysler809@gmail.com,1,2,2,1,1,2,1,1,2,2,1,2,2,1,2,0,2,1
newshoes633@163.com,1,1,1,2,2,1,1,2,2,2,1,2,1,1,2,2,2,1
hotbike959@outlook.com,1,2,1,2,1,2,1,1,0,1,2,2,1,1,2,2,2,2
lostblanket281@qq.com,1,2,2,2,1,1,2,1,2,2,0,2,1,1,1,1,2,2
deepshoes878@outlook.com,1,1,2,1,2,1,1,2,0,1,2,0,2,2,2,2,1,2
foldingtide515@qq.com,1,2,1,1,2,2,2,1,2,2,1,2,1,1,2,0,1,2
coldshack140@outlook.com,2,1,2,2,2,1,1,1,2,1,1,2,1,2,2,2,1,1
replacementshirt40@163.com,2,1,2,1,2,2,2,1,1,1,0,1,2,1,2,2,1,2
tiredtide263@outlook.com,2,2,2,1,0,2,1,2,1,1,2,1,2,0,2,2,1,1
acientspice189@163.com,2,1,2,1,2,2,1,2,0,2,2,2,1,1,2,0,1,1
freshycola108@qq.com,2,2,2,0,1,2,2,1,0,1,1,2,1,1,2,2,1,2
deepshirt307@yahoo.com,1,1,1,2,2,2,1,1,2,2,0,2,1,2,2,2,1,1
newjeep444@outlook.com,1,2,2,1,1,2,2,1,2,1,1,2,2,1,1,0,2,2
mostlyrug653@gmail.com,2,2,1,2,1,2,2,1,1,2,1,2,1,1,2,1,2,1
mostlytire131@gmail.com,1,2,2,2,2,1,1,1,1,1,1,2,2,2,1,2,1,2
clamyskates705@yahoo.com,0,1,2,0,1,1,1,2,1,1,2,2,2,1,2,2,2,2
lostsub349@gmail.com,2,2,1,2,1,2,1,2,2,2,1,0,1,1,2,0,1,2
lostchrysler403@outlook.com,2,1,2,0,2,1,2,1,2,2,1,2,1,1,1,1,2,2
mostlyblanket933@yahoo.com,2,1,2,2,2,2,2,2,1,1,1,2,0,1,1,0,1,2
newtide937@yahoo.com,2,2,1,0,1,1,2,2,1,1,2,2,2,2,1,2,1,1
burieddrum36@qq.com,2,2,1,0,2,2,0,1,1,2,1,2,2,2,1,1,1,2
foundshack537@qq.com,1,2,2,1,2,1,2,2,2,1,1,1,1,2,2,1,1,2
extrawindow359@outlook.com,2,2,1,2,2,2,0,1,2,2,1,1,1,2,2,0,1,1
dirtysub288@163.com,2,1,1,0,1,2,1,2,2,2,2,1,2,2,1,2,1,1
dryjug611@outlook.com,1,2,1,2,1,1,0,2,2,2,2,1,2,1,1,2,2,1
newtire896@gmail.com,1,0,1,2,2,1,2,2,2,1,2,1,2,1,2,2,1,1
hotchrysler124@outlook.com,2,1,2,1,2,1,1,2,1,1,2,2,1,2,2,2,1,1
coldspice23@qq.com,1,1,2,1,1,1,1,2,1,0,2,2,2,2,2,2,1,2
replacementsub16@163.com,2,2,1,2,1,1,1,2,1,1,1,2,2,1,1,2,2,2
dailybread940@yahoo.com,1,1,2,2,1,2,2,1,2,0,1,1,2,1,0,2,2,2
dryshirt284@gmail.com,1,1,0,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2
usedspice200@qq.com,1,1,2,2,1,2,2,0,1,2,0,2,2,2,1,0,2,1
soiledtide149@qq.com,1,1,1,2,2,1,1,1,1,2,1,2,2,2,1,2,2,2
dailydrum264@gmail.com,2,2,2,1,2,0,1,1,1,1,2,1,0,0,2,2,2,2
freshytire743@outlook.com,1,2,2,2,2,1,2,1,1,1,2,1,1,2,0,1,2,2
slimycola683@outlook.com,1,2,1,2,1,2,1,1,2,1,2,1,2,2,1,2,1,2
deepdrum726@qq.com,1,2,2,0,2,1,1,1,1,2,2,1,1,2,2,2,1,2
freshytide614@gmail.com,1,1,1,2,2,2,1,2,1,2,1,2,2,1,2,1,2,1
dryjeep915@163.com,2,2,2,1,1,1,1,2,2,2,1,2,1,1,2,2,1,1
dryspice502@gmail.com,2,1,2,2,2,1,2,1,1,1,2,2,1,2,1,2,1,1
moistcup153@163.com,2,1,2,2,2,1,2,1,0,1,1,1,1,2,2,2,1,2
slimyjeep386@163.com,0,1,1,2,2,1,2,1,1,1,2,2,1,2,0,2,2,2
dailyskates789@outlook.com,2,2,1,1,1,2,2,1,2,1,2,0,2,1,0,2,2,1
clamyshack993@163.com,1,1,2,1,2,2,1,2,1,2,1,1,1,1,2,2,2,2
fishycola451@outlook.com,1,1,1,1,1,2,1,2,2,2,2,2,2,1,2,2,1,1
fishyspice4@outlook.com,1,2,2,0,1,2,1,1,1,2,2,1,2,1,2,1,2,2
usedsnake976@gmail.com,2,1,2,1,1,1,2,2,1,2,2,2,2,1,1,2,1,1
oldshirt546@gmail.com,1,2,2,2,2,1,0,2,1,2,1,0,1,2,2,2,1,1
freshysub873@yahoo.com,2,2,2,0,1,1,2,1,2,2,2,1,1,1,0,0,2,2
acientskates970@gmail.com,2,2,1,0,1,1,1,2,0,2,1,2,2,1,1,2,2,2
moistshack97@qq.com,2,2,1,2,2,1,1,1,2,2,1,0,1,1,1,2,2,2
soiledwindow985@yahoo.com,1,2,2,1,1,1,2,2,0,0,1,2,1,2,2,1,2,2
tiredbike897@qq.com,2,1,1,1,2,1,0,1,0,1,2,2,2,2,0,2,2,2
mostlyhat50@yahoo.com,2,2,2,1,2,1,2,1,2,1,2,1,1,1,2,1,2,1
oldbeans441@qq.com,1,2,1,2,1,2,1,1,1,1,2,2,1,2,0,2,2,2
usedshirt122@163.com,2,2,1,0,1,2,0,2,0,2,1,1,2,2,0,2,1,2
replacementshoes36@gmail.com,0,1,1,2,2,2,1,2,0,0,1,2,1,2,1,2,2,2
oldchrysler191@qq.com,0,2,2,1,2,1,0,1,2,2,1,2,1,1,2,2,1,2
newchrysler981@gmail.com,1,1,2,1,1,1,2,2,1,2,2,1,2,2,0,1,2,2
deeprug165@outlook.com,2,1,0,0,1,1,2,1,2,1,2,2,2,1,1,2,2,2
slightlywindow776@yahoo.com,1,2,1,2,0,2,2,1,2,2,1,1,2,1,2,1,1,2
coldblanket498@qq.com,0,1,2,2,1,1,1,2,0,2,2,2,1,0,2,0,2,2
foldingtire631@163.com,1,2,2,0,2,1,1,1,1,2,2,0,2,2,2,0,0,2
freshyrug42@qq.com,2,0,2,1,2,2,2,1,2,1,0,1,2,2,2,0,1,1
mostlychrysler381@qq.com,1,0,0,2,2,1,1,2,2,1,2,2,1,2,2,2,1,1
hotblanket968@163.com,1,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2
newsnake379@163.com,1,1,2,1,2,2,1,1,2,1,2,2,1,2,2,0,1,2
hotcup793@outlook.com,1,1,1,1,2,0,2,2,1,0,2,2,2,1,2,2,2,1
usedspice635@gmail.com,2,2,1,1,2,1,2,2,1,1,1,1,0,2,2,0,2,2
drywindow943@qq.com,1,2,2,2,2,1,2,1,1,2,0,2,1,2,1,1,1,2
soiledsub160@yahoo.com,1,1,2,2,1,1,0,2,1,2,0,2,2,1,2,2,2,1
buriedcup356@outlook.com,2,0,2,2,2,1,2,1,2,0,2,0,2,1,0,2,1,1
slightlychrysler303@163.com,2,0,1,0,1,0,2,2,0,1,2,0,2,2,2,2,2,1
hottide167@outlook.com,2,1,1,2,2,1,1,1,2,2,1,2,1,2,1,2,1,2
hotrug940@gmail.com,2,2,2,2,2,1,1,2,1,0,2,0,1,1,0,2,1,2
coldsnake463@outlook.com,2,2,2,1,1,1,1,2,2,1,1,2,1,0,2,2,2,1
foldinghat152@qq.com,2,1,1,2,2,0,2,1,2,1,1,2,2,2,1,0,2,1
foundshoes836@qq.com,1,2,1,2,1,2,2,2,1,2,2,1,2,0,1,0,2,1
coldskates31@gmail.com,1,1,2,2,1,1,2,2,2,0,1,1,2,2,2,1,2,1
tiredtire369@yahoo.com,0,1,2,1,2,1,2,1,2,2,1,1,1,2,2,0,2,2
milkybread911@163.com,2,2,2,2,1,2,2,1,2,1,1,1,2,1,1,1,2,1
soiledbike200@qq.com,2,1,1,2,1,1,1,1,2,2,2,1,2,2,2,2,1,1
acientbread947@163.com,2,2,1,1,1,1,1,1,2,1,2,1,2,2,2,2,2,1
replacementcup675@qq.com,2,0,2,2,2,2,0,1,1,1,2,2,2,2,0,1,1,1
oldtide62@qq.com,2,2,1,1,1,1,2,2,1,2,2,0,1,2,2,0,2,1
tireddrum663@163.com,1,2,0,2,2,1,2,2,1,2,2,2,1,2,1,1,1,1
tiredhat606@qq.com,2,1,2,2,2,1,1,1,2,2,1,2,0,1,1,1,2,2
dryshoes626@gmail.com,2,2,2,1,1,2,2,1,1,2,2,0,1,2,2,0,1,1
usedrug645@yahoo.com,1,2,1,2,1,2,2,1,2,0,1,1,1,2,1,2,2,2
slimysnake947@gmail.com,2,2,1,2,1,1,1,2,1,2,2,2,1,2,1,1,1,2
mostlyshirt500@163.com,2,1,2,2,2,0,2,2,2,1,1,0,2,1,1,2,1,1
tiredbeans817@gmail.com,2,2,1,2,1,1,2,2,1,2,2,2,1,2,0,1,1,1
deepcup89@qq.com,1,1,2,1,1,0,1,1,2,2,1,2,2,2,0,2,2,2
extrajeep354@qq.com,1,1,0,2,1,2,2,1,2,0,1,2,2,1,2,2,1,2
foldingblanket123@qq.com,2,2,2,1,1,2,1,1,2,1,2,2,1,1,2,0,2,1
usedbread568@163.com,1,2,1,1,0,2,0,2,2,2,2,2,0,0,2,0,1,2
moistbeans966@163.com,2,2,1,1,1,1,2,1,2,2,2,1,2,1,2,2,1,1
coldshoes621@gmail.com,1,1,2,2,2,1,2,2,2,2,0,1,1,0,0,2,1,2
dailywindow454@yahoo.com,2,2,1,1,1,1,2,2,2,1,2,1,1,2,0,2,2,1
deepsub474@yahoo.com,1,1,2,1,2,1,2,1,1,2,2,2,2,1,1,0,2,2
foldingsnake99@qq.com,1,0,0,2,2,2,0,2,2,2,1,1,1,2,2,1,0,2
drychrysler511@gmail.com,1,1,1,0,1,1,1,2,1,2,2,2,2,2,2,2,1,2
slightlyshirt196@outlook.com,2,2,1,2,2,0,1,2,1,1,2,1,1,2,1,2,2,1
deeptire245@qq.com,1,2,2,2,2,1,1,2,1,0,1,1,2,2,2,1,1,2
oldchrysler712@gmail.com,2,2,2,1,2,1,2,1,1,1,2,2,1,1,2,2,1,1
lostshack328@gmail.com,1,1,2,2,2,1,2,2,2,1,2,1,1,1,0,2,2,1
dailyspice313@gmail.com,2,2,2,2,1,1,2,2,2,0,2,1,1,1,1,2,1,1
extrarug864@qq.com,2,2,2,1,2,2,2,0,1,2,1,0,1,1,2,1,2,1
deeprug190@yahoo.com,2,2,1,1,2,1,2,1,2,0,1,2,2,1,2,0,1,2
coldhat974@gmail.com,1,2,2,1,0,0,2,2,1,2,1,2,1,2,2,0,1,2
buriedskates672@outlook.com,1,1,2,2,2,1,2,2,1,2,2,1,1,1,2,1,1,2
milkytide545@gmail.com,0,1,2,2,0,2,2,1,2,1,2,1,2,1,2,0,1,2
newspice255@outlook.com,2,2,2,1,1,1,2,2,1,2,2,0,2,1,1,0,2,1
freshytire380@163.com,2,1,2,0,2,1,2,2,2,2,1,2,1,0,2,0,1,1
milkytide461@outlook.com,2,1,2,2,1,2,1,1,2,0,2,2,1,1,1,1,2,2
freshytide794@qq.com,2,0,1,2,2,1,1,2,1,2,0,0,1,2,2,2,2,1
newsnake821@gmail.com,2,1,1,1,2,1,1,1,2,2,2,1,2,2,2,2,1,1
foldingchrysler304@outlook.com,2,2,1,1,1,2,2,2,1,2,1,1,1,2,1,2,0,2
newbeans365@qq.com,2,0,1,2,1,2,1,1,2,0,2,2,1,2,1,2,0,2
buriedblanket902@outlook.com,1,2,1,0,1,2,2,1,1,2,2,1,2,2,0,0,2,2
slightlyshoes531@qq.com,2,1,1,1,2,2,1,1,2,1,1,2,2,1,2,2,1,2
foldingsnake605@163.com,1,1,2,1,2,2,2,2,1,2,2,0,1,2,1,0,1,2
moistshoes897@163.com,1,2,2,0,2,2,0,2,1,2,2,1,2,0,0,0,1,2
usedcola992@yahoo.com,2,2,1,2,2,1,1,1,2,2,1,1,1,2,2,2,1,1
newbike624@outlook.com,2,2,2,2,2,1,1,1,0,1,1,2,2,2,2,0,1,1
dirtychrysler281@163.com,2,2,1,2,1,1,1,2,1,1,1,1,2,0,2,2,2,2
dailyspice363@outlook.com,1,2,2,2,2,1,1,1,0,1,2,1,2,2,2,2,1,1
clamyjug230@qq.com,1,1,1,1,0,2,1,2,2,2,2,2,1,2,1,2,1,2
olddrum822@gmail.com,2,2,1,2,1,2,1,2,2,1,1,2,2,1,2,0,1,1
newdrum817@outlook.com,1,2,1,0,0,1,2,2,2,2,1,2,2,2,0,0,1,2
extracola545@yahoo.com,1,2,0,1,2,1,1,1,1,2,2,1,2,2,2,0,2,2
tiredsnake664@outlook.com,2,2,0,0,1,2,2,1,2,0,2,2,2,1,1,1,1,2
slightlycup436@yahoo.com,2,0,2,2,2,0,0,1,2,2,1,1,1,2,0,2,1,2
mostlycup165@yahoo.com,2,0,2,2,1,2,1,1,1,1,2,0,2,1,2,2,2,1
soiledhat176@outlook.com,2,1,1,1,1,2,1,1,2,2,2,2,2,1,2,2,1,1
oldbread551@yahoo.com,2,1,1,2,1,2,2,1,1,2,2,2,1,2,1,1,1,2
coldchrysler992@163.com,1,2,2,2,1,1,1,2,1,1,2,2,1,1,1,2,2,2
extrashoes369@outlook.com,2,2,2,1,1,1,1,0,2,0,2,2,1,2,2,0,1,2
soiledbike20@gmail.com,0,2,1,0,1,1,2,1,1,2,2,0,2,2,2,2,2,1
dailyshoes233@gmail.com,2,0,2,0,2,2,0,2,2,0,2,1,2,1,2,0,1,1
