email,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20
replacementskates795@outlook.com,1,1,2,1,1,2,2,0,2,1,2,2,1,2,1,2,1,1,2,2
foundshack537@qq.com,1,2,2,1,2,1,2,2,2,1,1,1,1,2,1,2,1,2,1,2
deepchrysler238@outlook.com,1,1,1,1,0,2,1,2,2,2,2,1,2,2,1,2,1,2,1,2
coldchrysler992@163.com,1,0,2,2,2,1,1,0,2,1,1,2,2,2,1,1,1,2,2,2
moistjug851@outlook.com,2,2,2,0,2,1,1,0,2,1,0,1,1,2,1,1,2,2,2,2
replacementshirt40@163.com,2,0,2,0,2,1,0,2,2,1,1,2,1,1,2,1,2,2,1,2
dailybread940@yahoo.com,1,2,1,2,2,1,2,2,0,2,1,1,1,1,2,1,0,2,2,2
slimysnake947@gmail.com,2,2,1,2,1,0,0,1,2,2,2,2,2,1,1,2,1,1,1,2
extrasnake858@gmail.com,0,2,1,2,1,2,1,0,0,2,1,2,0,0,2,2,2,2,2,1
lostsub349@gmail.com,2,2,1,2,1,1,2,2,2,2,2,1,1,0,1,1,2,1,1,2
dailyshoes843@qq.com,2,1,1,2,1,2,1,2,1,2,1,2,1,2,2,1,1,2,1,2
dailybeans457@163.com,1,2,2,0,1,2,2,2,1,2,2,1,1,2,1,2,2,1,1,1
drydrum979@gmail.com,1,2,1,1,2,2,2,0,2,1,1,2,1,1,2,1,2,1,2,2
buriedwindow695@yahoo.com,0,1,1,1,2,1,2,2,0,2,2,2,2,2,1,1,1,1,2,2
foundbread301@163.com,2,2,2,0,1,1,2,2,0,2,2,1,1,1,2,2,0,1,1,2
extraskates465@qq.com,1,0,2,2,2,1,1,2,2,1,2,2,2,1,1,1,1,1,2,2
tiredtire843@163.com,2,2,2,1,1,2,1,2,0,2,1,1,1,2,2,2,0,2,1,1
dailycola319@yahoo.com,2,2,2,0,2,1,2,0,2,2,1,2,1,1,1,1,1,1,2,2
newtide512@gmail.com,2,2,2,1,1,2,0,1,2,1,1,1,1,2,2,2,1,2,2,1
deepbeans875@qq.com,0,1,2,1,2,2,1,2,1,1,2,2,2,2,1,1,2,2,1,0
slightlyspice55@gmail.com,2,1,0,0,2,1,2,0,2,2,1,2,0,2,1,2,0,2,1,2
tireddrum663@163.com,0,2,1,2,2,1,2,2,2,2,2,2,1,1,2,1,0,1,1,1
usedwindow885@yahoo.com,1,2,1,2,2,1,0,2,2,1,1,1,2,1,1,2,2,2,1,2
dailybeans981@gmail.com,2,2,2,2,1,2,1,2,0,2,1,1,2,0,1,1,1,2,1,2
slimyjeep502@163.com,2,1,1,1,2,1,2,2,2,2,2,2,1,2,2,1,1,1,1,1
soiledsub425@163.com,2,2,1,2,1,1,2,2,1,1,1,1,2,2,1,1,2,2,2,1
freshyshirt46@outlook.com,2,1,2,1,2,0,2,1,1,0,1,0,2,0,2,2,2,2,2,1
olddrum912@yahoo.com,1,1,2,0,2,2,0,1,2,2,1,1,2,2,0,2,1,2,2,0
foundtire657@outlook.com,2,2,2,2,2,1,0,0,1,0,2,2,1,0,2,1,2,1,2,1
dailycup574@outlook.com,0,0,0,2,0,2,0,2,2,1,2,2,1,1,2,1,2,1,2,2
foldingtide515@qq.com,2,2,1,1,2,2,2,0,2,2,1,1,2,1,1,2,1,1,1,2
milkytire820@gmail.com,1,2,2,2,0,2,0,0,1,1,1,2,2,1,1,2,2,1,2,2
foundsub934@gmail.com,0,2,2,2,1,1,0,2,2,2,1,2,1,1,2,1,0,2,2,1
dryhat316@outlook.com,2,2,2,0,1,0,2,2,2,2,1,1,1,1,2,1,2,2,1,1
replacementdrum717@163.com,2,2,0,2,2,2,1,1,2,2,2,2,1,1,1,0,1,2,1,0
coldskates31@gmail.com,1,1,1,2,2,1,0,2,1,2,2,1,1,1,2,2,2,2,2,0
foldingtire631@163.com,1,2,2,0,2,1,0,0,0,2,2,1,2,2,2,2,1,1,1,2
milkybread911@163.com,1,2,2,2,2,1,2,2,0,1,2,1,0,1,2,1,1,0,2,2
retiredrug998@yahoo.com,2,2,0,0,1,1,0,0,2,2,1,2,1,2,2,2,2,1,2,0
fishysnake533@yahoo.com,2,2,2,0,2,2,2,0,0,1,2,0,1,2,1,2,1,2,0,1
replacementspice591@163.com,1,1,1,0,2,2,1,2,2,0,1,2,1,1,2,2,2,1,2,2
retiredshack97@gmail.com,2,0,2,2,1,2,2,2,0,1,1,0,2,1,1,1,1,2,2,2
foldingsnake605@163.com,1,1,2,0,2,1,2,2,1,2,1,2,2,1,1,2,1,2,1,2
lostwindow390@gmail.com,0,2,1,0,2,1,2,0,2,1,1,2,2,1,2,2,1,2,2,1
dailybread914@gmail.com,1,2,1,1,1,1,2,1,1,2,1,2,2,1,2,2,1,2,2,2
deeptide254@qq.com,2,2,1,1,2,1,1,2,2,1,1,2,2,1,1,2,1,2,1,2
newbeans217@yahoo.com,1,1,2,1,1,2,2,2,1,2,1,2,2,2,0,1,2,2,1,1
drycola993@163.com,1,1,1,0,1,2,0,1,2,2,1,2,2,1,1,2,2,2,2,2
dirtydrum825@gmail.com,1,1,1,0,1,1,2,2,2,2,2,2,2,1,1,2,2,2,1,1
extrashack431@yahoo.com,2,0,2,0,2,2,2,2,0,1,1,1,2,2,0,1,2,1,0,2
mostlycup976@qq.com,2,2,2,0,1,1,0,2,2,2,1,2,1,1,2,2,2,1,1,1
freshycup995@163.com,1,2,1,2,2,1,2,2,2,1,2,1,1,2,2,2,0,1,1,0
acientbeans987@gmail.com,2,1,1,2,1,1,0,2,1,1,2,2,2,2,2,1,0,2,0,2
foundbread552@outlook.com,2,0,1,2,2,1,2,2,2,1,2,1,1,2,1,1,2,1,2,1
hothat842@outlook.com,2,0,1,0,0,1,0,2,0,2,2,1,2,2,2,1,2,2,1,2
soiledsnake93@qq.com,1,2,2,2,0,1,0,2,2,1,1,1,0,2,2,2,1,1,2,2
clamyshoes18@163.com,1,2,2,2,0,2,0,2,2,2,1,1,2,2,1,1,1,1,2,1
slightlycup715@gmail.com,1,1,2,2,2,2,0,1,2,1,2,2,1,1,1,2,2,2,1,1
lostbread363@gmail.com,2,1,2,2,1,2,1,2,2,0,0,2,1,2,1,2,0,1,1,2
slightlywindow508@gmail.com,0,0,2,2,1,2,0,2,0,2,2,2,0,1,2,2,1,2,1,1
dirtywindow798@qq.com,1,2,1,1,2,2,2,2,1,1,2,1,2,1,2,1,1,1,2,2
oldhat392@163.com,2,2,2,2,2,1,0,2,2,1,1,1,1,1,2,1,2,2,0,1
clamytire323@outlook.com,2,2,1,0,2,2,0,2,2,1,2,1,2,0,1,2,1,1,1,2
milkytide461@outlook.com,2,1,2,2,1,1,2,1,1,2,1,2,2,2,0,1,1,1,2,2
dryjeep934@gmail.com,2,2,1,0,2,2,1,2,0,1,2,2,2,2,1,1,1,2,1,1
fishybike986@qq.com,2,2,1,2,2,1,1,2,1,2,1,1,1,2,1,1,1,2,2,2
dailyhat533@outlook.com,0,0,1,2,1,2,0,0,2,2,2,2,2,1,2,0,1,2,1,2
newtire896@gmail.com,1,1,2,1,2,2,0,2,2,2,1,1,2,1,2,1,2,2,1,1
hotshoes609@163.com,0,0,2,2,1,0,0,2,2,2,2,2,1,0,1,2,0,2,1,2
usedrug645@yahoo.com,1,2,1,1,2,1,0,2,2,0,2,1,1,1,1,2,2,2,2,2
moistcup496@gmail.com,0,1,2,2,1,2,2,0,0,1,1,2,2,2,1,1,1,2,2,2
moistcup626@163.com,2,2,1,1,2,1,1,2,2,1,1,1,2,1,2,2,2,2,1,1
coldsub278@yahoo.com,1,2,2,0,2,1,2,2,1,2,2,0,2,2,1,1,1,1,1,2
acientcup238@outlook.com,1,2,2,1,2,0,1,1,0,2,2,1,2,2,2,1,2,2,1,1
slimyskates43@163.com,2,1,0,2,0,0,2,1,1,2,1,1,2,2,1,1,2,2,2,2
retiredrug224@qq.com,1,2,2,0,1,1,0,1,1,2,2,1,0,2,1,2,2,2,2,2
dirtysub599@163.com,2,2,1,2,1,1,2,1,2,1,1,1,2,2,2,2,1,1,1,2
usedjeep501@outlook.com,1,0,2,2,2,2,2,2,0,1,1,1,2,0,2,1,1,2,1,2
replacementrug659@gmail.com,1,1,1,2,0,2,1,0,1,1,2,2,2,2,1,2,2,2,1,2
foldingcola28@yahoo.com,2,2,1,2,2,2,0,1,1,1,1,2,2,2,1,1,2,1,1,2
dirtychrysler281@163.com,2,2,2,2,1,1,1,2,0,1,1,0,1,1,2,0,2,2,2,2
moistcola199@qq.com,1,1,2,2,2,0,2,1,2,1,2,2,2,2,2,1,1,0,1,1
retiredtide337@outlook.com,1,1,2,0,2,1,0,1,2,1,1,2,2,1,2,0,2,2,2,2
freshybike569@163.com,1,0,0,2,2,2,2,2,2,1,2,2,1,0,2,1,0,1,2,0
dirtywindow282@qq.com,2,1,0,1,1,1,0,1,0,1,2,2,2,2,2,2,1,2,2,2
replacementcup675@qq.com,2,0,2,2,2,1,2,1,0,2,1,1,2,2,2,2,0,1,0,1
foldinghat916@yahoo.com,0,1,1,2,2,2,1,1,2,1,2,1,2,1,1,2,2,1,2,2
slimytire42@gmail.com,2,0,2,1,2,1,1,2,1,2,2,1,1,2,2,1,2,1,2,1
slimyjeep659@qq.com,2,2,1,0,1,1,1,0,2,1,2,0,2,0,2,2,2,1,2,2
drydrum859@outlook.com,2,2,2,0,0,2,2,0,0,2,1,1,2,2,1,1,1,2,0,2
moistspice183@outlook.com,2,2,0,0,1,2,0,2,0,2,1,2,0,2,2,2,1,1,2,1
dailyhat217@qq.com,1,2,2,1,2,2,2,2,2,1,2,1,1,0,2,1,2,0,1,0
slightlywindow406@gmail.com,2,1,2,2,2,2,1,1,0,1,1,2,2,2,2,1,1,2,1,1
extrabread562@outlook.com,2,1,2,2,1,2,0,1,2,1,1,1,0,2,2,2,2,1,1,2
usedcola410@outlook.com,1,1,2,0,1,2,2,2,2,1,1,2,0,2,0,1,2,2,1,2
foldingchrysler304@outlook.com,2,2,1,0,1,2,1,2,2,1,2,0,2,1,0,2,1,2,1,2
dirtywindow29@163.com,1,2,2,1,1,2,0,2,1,2,1,1,2,2,1,1,1,2,2,2
foldingcup778@outlook.com,1,1,2,2,2,1,2,1,2,0,2,2,2,1,1,1,2,1,1,2
oldtire137@qq.com,1,1,2,2,1,2,2,2,2,1,1,1,1,2,1,1,2,2,1,2
foldingbike830@outlook.com,1,2,2,1,1,0,2,2,2,1,1,2,1,2,2,1,1,2,2,1
replacementskates478@yahoo.com,1,0,1,1,2,2,2,2,2,1,2,2,1,2,2,1,2,1,1,1
clamyjug699@163.com,1,2,2,0,1,1,0,2,1,0,2,2,2,1,1,1,2,2,2,2
fishyjeep316@yahoo.com,2,1,1,0,1,1,2,0,2,2,2,2,1,1,1,0,2,2,2,2
foldingcola241@outlook.com,2,2,1,1,1,2,0,2,0,1,1,2,2,2,1,2,2,0,2,1
clamyjeep797@outlook.com,2,2,2,2,0,1,0,1,1,0,2,2,2,1,2,2,2,1,1,1
extradrum718@gmail.com,1,1,2,2,2,1,2,2,0,2,1,2,1,1,2,1,1,2,2,1
mostlywindow744@qq.com,2,2,0,2,1,1,2,2,0,1,1,2,2,2,2,2,1,1,1,0
acientshoes215@outlook.com,2,0,1,2,2,2,1,2,1,2,1,1,1,2,2,2,1,0,2,1
foldingsnake263@yahoo.com,2,1,1,2,1,1,2,2,1,2,1,1,1,1,2,2,2,0,2,2
milkysub801@163.com,1,1,0,2,2,1,2,1,1,2,1,2,1,1,2,2,1,2,2,2
mostlyrug653@gmail.com,2,2,1,2,1,2,2,1,1,1,2,1,2,2,1,2,1,1,2,1
mostlytire665@163.com,2,2,2,0,2,0,2,2,2,2,1,2,0,1,1,1,0,1,1,2
mostlyjug823@yahoo.com,1,2,1,2,1,0,2,2,2,2,2,1,0,1,2,2,2,0,1,1
burieddrum84@outlook.com,2,1,2,2,1,2,2,1,2,2,1,2,1,1,1,2,1,2,1,1
mostlyjug153@163.com,1,2,1,0,2,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2
coldtide977@gmail.com,2,2,0,2,2,0,1,2,0,2,1,2,1,1,1,2,1,2,2,1
tiredwindow970@163.com,2,1,1,2,1,2,0,1,2,2,2,1,1,2,2,2,1,1,1,2
usedshirt122@163.com,2,2,1,1,1,2,1,2,0,2,1,1,1,2,2,1,2,2,1,2
dailytire198@qq.com,2,2,1,2,1,2,0,2,0,0,1,2,2,2,0,1,1,2,1,2
soiledbike119@outlook.com,1,2,2,1,2,2,1,1,2,1,2,0,1,1,2,2,2,1,1,2
milkysub209@outlook.com,2,1,2,2,0,0,0,2,0,1,2,2,1,2,1,1,2,1,2,2
foldinghat486@outlook.com,1,2,1,1,2,2,2,2,2,1,1,0,2,1,1,2,2,1,2,1
slightlyjeep112@yahoo.com,1,0,1,1,2,1,1,2,1,1,2,2,2,2,2,1,2,1,2,2
hotcup793@outlook.com,1,0,0,0,1,2,1,2,2,1,2,2,2,2,0,2,1,2,2,1
freshywindow51@outlook.com,1,2,2,1,1,2,2,2,1,2,2,1,1,2,1,2,2,1,0,1
slightlychrysler353@qq.com,2,1,1,2,2,2,2,1,2,1,1,0,2,1,1,1,2,2,2,1
dryjeep45@163.com,2,2,2,2,2,1,1,1,2,1,1,1,2,2,2,1,0,2,1,1
slimycola683@outlook.com,1,2,1,2,1,2,1,1,1,2,1,2,1,2,2,1,2,2,0,2
freshytide508@163.com,1,2,2,2,1,2,2,1,0,1,2,1,1,2,2,2,2,0,1,0
oldcup634@yahoo.com,2,1,0,1,2,2,0,2,0,2,2,2,2,0,1,1,1,2,1,2
deeptire735@gmail.com,2,2,2,0,1,2,2,1,2,2,0,2,2,0,1,1,1,0,2,0
fishyshoes979@qq.com,1,1,1,0,2,2,2,1,2,2,1,2,2,1,2,1,1,2,2,1
buriedbeans746@yahoo.com,1,0,1,2,2,1,2,2,2,1,1,2,1,2,1,2,2,1,1,2
newcola758@qq.com,2,1,2,2,1,1,0,2,0,2,2,2,1,2,2,1,1,1,1,2
acientblanket316@yahoo.com,1,1,1,2,1,2,1,1,2,2,2,2,2,2,2,1,2,1,1,1
lostrug682@163.com,2,2,2,2,1,2,0,2,2,1,2,1,0,1,1,2,1,1,2,1
mostlybike595@gmail.com,2,1,1,0,2,2,2,2,0,2,1,1,1,2,2,2,1,0,2,1
drychrysler833@gmail.com,0,2,2,1,1,2,0,2,2,1,2,1,2,2,1,2,0,2,1,1
buriedspice689@qq.com,2,1,2,2,2,2,1,1,1,1,2,2,0,1,1,2,1,2,2,1
foundshoes908@gmail.com,2,1,2,2,0,2,2,0,0,1,2,0,1,0,2,1,2,2,2,1
coldblanket679@outlook.com,1,2,2,1,2,1,0,2,1,1,1,1,2,2,2,2,2,1,2,0
dryjug879@yahoo.com,2,2,1,0,2,2,0,2,1,2,1,1,1,1,1,2,2,2,2,1
deepshack742@gmail.com,1,1,1,2,1,0,2,2,1,2,1,2,2,1,2,2,1,1,2,2
coldtire20@163.com,1,2,2,1,1,0,1,2,1,1,2,2,1,0,2,2,1,2,2,2
dailybike78@163.com,1,1,2,0,2,1,0,2,0,1,2,0,2,2,1,2,0,2,2,2
replacementsub369@qq.com,2,2,1,2,1,2,1,2,2,0,2,1,1,2,1,2,1,2,1,1
freshyspice204@outlook.com,1,1,1,0,1,1,0,2,2,2,2,1,2,0,1,2,2,2,2,2
hotbike959@outlook.com,1,2,0,2,1,2,1,1,1,1,2,1,2,2,1,1,2,2,2,2
retiredbeans380@yahoo.com,0,1,0,0,2,0,0,2,2,1,2,2,1,2,1,1,2,2,2,2
dirtydrum199@163.com,2,0,1,0,1,2,2,1,1,1,2,1,2,2,2,1,2,1,2,2
oldsub951@163.com,1,2,1,2,1,2,1,1,2,1,1,2,2,2,1,2,1,1,2,2
moistcola824@gmail.com,1,1,1,0,2,1,1,2,2,2,2,1,1,2,0,1,2,2,2,2
slightlyjeep732@163.com,2,0,1,0,1,0,2,2,2,2,1,1,2,1,1,2,2,2,2,1
usedbike748@qq.com,1,1,1,2,1,2,0,2,0,0,2,2,1,1,2,2,2,2,2,1
deephat767@qq.com,0,2,2,0,1,0,2,1,1,2,1,2,2,0,2,0,1,2,2,2
moistsnake997@163.com,1,2,2,0,1,1,2,1,2,2,2,2,2,2,0,1,2,1,1,0
deepbread26@qq.com,1,2,2,2,1,2,2,1,0,2,1,1,2,1,1,2,2,0,1,2
hotchrysler124@outlook.com,2,1,2,0,2,1,1,2,1,2,2,2,0,2,1,1,2,2,1,1
extraspice523@gmail.com,0,2,2,2,1,2,2,1,2,1,1,1,1,1,2,1,2,2,2,0
replacementchrysler5@qq.com,1,0,2,2,2,0,2,0,2,1,1,1,1,2,1,2,0,2,2,2
newjeep577@163.com,1,0,2,0,2,1,2,1,2,1,2,0,1,2,2,1,2,2,2,1
dailybike96@outlook.com,1,2,2,2,1,0,0,0,2,2,1,2,1,0,1,2,1,2,2,2
extrasnake663@gmail.com,2,2,2,0,2,2,2,0,0,2,1,1,2,1,1,2,1,1,1,2
freshytire743@outlook.com,1,2,2,2,2,0,0,2,0,2,1,2,0,1,1,2,1,1,2,2
coldsnake85@qq.com,2,2,2,1,1,2,2,1,1,1,2,1,2,2,1,2,2,0,1,1
foundsnake177@163.com,1,0,2,0,2,1,2,2,2,0,1,2,2,1,1,2,2,0,1,2
freshybread696@163.com,2,2,1,1,1,2,2,2,2,1,2,2,2,1,1,1,1,1,2,1
clamytire126@163.com,2,2,2,2,2,1,0,0,1,1,1,0,2,2,1,2,2,0,2,1
foundjeep250@qq.com,2,2,1,2,1,2,0,2,0,1,2,2,1,2,1,2,2,1,1,1
newblanket921@yahoo.com,2,1,1,0,2,2,0,2,2,2,2,1,1,1,2,0,2,1,1,2
moisthat761@outlook.com,2,1,0,0,2,2,2,2,1,0,2,2,1,2,1,2,1,2,1,1
coldcola526@163.com,0,2,2,2,2,0,0,2,0,1,1,1,2,2,2,2,1,0,2,0
coldshack140@outlook.com,2,1,2,2,2,1,0,1,2,1,2,2,1,2,2,1,1,2,1,1
dailyblanket972@163.com,0,2,1,2,1,0,0,1,2,1,2,2,2,1,2,1,0,2,2,2
usedhat751@qq.com,0,1,2,1,2,2,2,0,2,1,1,2,1,2,2,1,2,1,2,1
newrug832@163.com,2,2,2,2,2,0,1,0,1,2,1,1,1,0,2,1,2,2,1,2
newshirt132@yahoo.com,0,2,2,2,1,0,0,1,0,2,1,0,2,2,2,1,1,2,2,2
dirtyskates685@yahoo.com,1,1,2,0,2,2,2,1,2,2,1,2,2,1,1,0,1,1,2,2
coldbike895@yahoo.com,1,2,2,0,1,1,2,1,1,1,2,2,1,2,2,2,1,1,2,2
hotsnake274@yahoo.com,1,2,2,2,2,2,0,0,2,1,2,1,2,0,1,1,1,1,2,2
foundtide219@qq.com,2,2,1,0,1,1,2,1,2,1,2,1,1,2,2,2,2,2,1,1
clamyshirt500@qq.com,1,0,2,0,1,2,2,2,1,2,2,2,1,1,2,1,1,1,2,2
extraskates217@163.com,2,2,1,2,1,1,0,2,0,1,1,2,2,2,1,2,2,1,1,2
foldingsnake953@outlook.com,2,1,2,0,2,2,1,0,0,2,2,1,2,1,2,0,2,1,2,1
dryshoes626@gmail.com,2,2,2,0,1,2,2,1,1,2,2,0,1,2,2,1,1,2,1,1
acientchrysler884@163.com,1,2,2,2,2,1,1,2,1,2,1,2,1,0,1,1,1,2,2,2
useddrum754@163.com,1,1,1,2,1,2,0,2,1,2,2,2,2,1,2,1,1,2,2,0
replacementbeans236@outlook.com,1,2,1,2,1,2,2,2,1,2,1,1,2,1,1,2,2,1,1,2
dryshirt284@gmail.com,1,2,1,0,1,2,2,2,2,1,1,1,1,1,1,2,2,2,2,2
milkybread750@gmail.com,2,2,2,2,1,0,2,2,2,1,1,1,2,2,1,1,1,1,1,2
dailysnake707@qq.com,2,2,2,0,1,1,1,1,2,1,2,0,1,2,2,2,1,1,2,2
newspice843@gmail.com,2,1,2,1,2,2,2,0,0,1,2,2,1,1,2,2,2,1,1,1
drysnake580@gmail.com,1,1,2,1,2,2,2,0,0,2,1,2,2,1,1,1,2,1,2,2
foldingtide607@gmail.com,0,1,0,2,2,2,0,2,1,2,1,2,1,1,2,2,1,0,2,2
retiredsnake808@gmail.com,1,2,2,2,1,2,1,2,1,2,1,2,2,1,0,1,1,1,2,2
tiredtire285@yahoo.com,2,0,2,1,1,1,0,0,2,1,2,2,2,0,1,2,2,2,1,2
buriedtire367@163.com,2,1,1,2,2,2,0,2,2,2,1,1,1,1,1,1,2,1,2,2
coldsub442@outlook.com,1,1,2,0,2,0,2,2,1,0,0,1,2,2,1,2,2,1,2,2
extraspice861@outlook.com,2,2,2,2,1,0,2,1,0,2,1,2,1,2,1,2,1,2,1,1
newbread192@gmail.com,2,1,2,1,1,1,0,2,2,2,2,0,2,2,1,2,2,1,1,1
foldingshoes858@qq.com,2,1,2,2,0,2,2,1,2,1,2,0,1,2,1,2,1,1,2,1
extrasub180@qq.com,1,2,0,0,1,2,1,1,0,2,2,2,2,2,2,0,1,0,2,2
clamyspice948@outlook.com,2,1,1,2,2,2,0,2,2,1,1,1,2,1,2,1,2,1,1,2
dirtydrum384@163.com,2,1,2,1,2,2,1,2,2,2,2,1,2,1,1,1,1,1,1,2
slimycup494@qq.com,2,0,0,2,1,2,2,2,0,2,1,0,0,0,0,2,2,2,2,0
freshycola999@yahoo.com,2,2,2,2,1,2,1,1,0,1,1,0,2,0,1,2,2,1,2,2
slimycola966@outlook.com,1,0,2,2,2,2,0,2,0,2,1,0,2,2,2,1,1,2,1,1
coldblanket498@qq.com,1,1,2,2,1,1,2,2,0,1,2,2,1,2,1,1,2,1,2,2
slightlytire158@163.com,1,1,1,1,2,2,2,1,2,2,2,2,1,0,2,2,2,1,1,0
lostchrysler403@outlook.com,2,1,2,0,2,1,2,1,1,2,2,1,2,2,1,0,1,1,2,2
foundsub142@qq.com,1,1,2,2,2,2,1,0,0,1,2,2,0,1,1,2,2,2,1,2
moistsnake675@yahoo.com,1,2,2,0,1,1,2,1,2,0,2,2,0,0,1,2,2,2,2,1
