email,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22
dirtyshoes356@yahoo.com,2,2,1,2,2,1,1,2,1,1,2,1,2,0,2,1,1,0,0,2,2,2
soiledhat544@outlook.com,1,2,2,1,1,1,1,2,1,2,2,2,2,2,1,1,1,2,1,2,2,1
hotwindow473@qq.com,1,1,2,0,2,2,2,2,0,2,2,0,1,1,2,1,1,1,2,2,1,2
retiredspice749@gmail.com,2,2,1,1,2,1,2,1,2,0,2,1,2,1,2,1,2,1,2,1,2,1
foldingsnake99@qq.com,1,0,1,2,2,2,2,1,2,2,2,1,2,0,1,2,2,1,0,1,0,2
dryspice502@gmail.com,2,1,2,2,2,1,2,1,1,1,1,2,2,2,1,2,2,1,2,1,1,1
clamyblanket565@outlook.com,2,1,2,1,2,2,1,2,1,2,2,1,1,2,2,1,2,1,2,1,0,1
foundhat456@outlook.com,1,2,2,0,0,2,1,2,2,2,2,1,2,0,0,2,2,1,2,1,1,1
freshytide614@gmail.com,1,1,1,2,1,2,2,2,0,2,1,1,2,0,1,2,2,1,2,1,2,2
dailywindow592@163.com,2,2,1,2,2,1,2,1,2,1,1,2,2,2,1,1,1,1,1,2,0,2
dryhat911@yahoo.com,2,0,2,2,0,0,1,2,1,2,2,1,1,0,2,2,2,2,0,2,1,0
slimyjeep502@163.com,2,1,1,2,1,2,1,2,2,1,2,2,2,2,0,2,2,1,0,1,1,1
oldchrysler712@gmail.com,2,2,2,1,1,2,1,2,1,2,1,2,2,0,2,1,2,2,1,1,1,1
moistsnake175@yahoo.com,2,2,2,0,1,1,2,1,1,0,2,1,2,2,1,2,2,1,0,2,2,1
slimytire42@gmail.com,2,1,2,1,0,2,1,2,2,1,2,2,1,0,2,2,1,1,2,1,2,1
foundwindow771@qq.com,2,0,2,2,1,2,2,1,2,1,2,2,1,2,1,2,2,1,1,1,0,1
moistsnake675@yahoo.com,1,2,2,0,1,1,2,2,2,1,2,1,2,1,0,1,1,2,2,2,2,1
lostrug518@qq.com,2,2,1,1,1,1,1,1,2,1,2,1,2,2,2,1,1,2,2,2,2,1
soiledrug494@163.com,1,1,2,2,2,2,1,2,0,2,2,1,2,1,1,1,1,2,0,2,2,1
burieddrum15@gmail.com,2,2,2,1,1,2,2,1,2,2,1,1,0,0,1,1,0,1,2,2,2,2
deephat767@qq.com,1,2,2,1,1,1,2,2,1,2,1,2,2,1,0,2,1,1,2,1,2,2
soiledbike200@qq.com,2,0,0,0,2,1,1,1,1,0,1,1,2,2,2,1,2,2,2,2,2,2
extradrum718@gmail.com,1,0,2,2,2,1,2,2,2,2,1,2,1,1,2,1,1,1,2,1,2,1
hotwindow664@163.com,1,2,2,1,0,2,2,1,0,2,2,1,2,2,1,1,1,1,2,2,1,2
deepcola71@qq.com,1,2,2,2,2,1,1,1,1,2,0,1,2,1,2,2,2,1,1,2,0,2
acientblanket702@qq.com,2,1,2,2,2,2,2,2,2,1,1,1,1,2,1,1,1,2,0,1,2,1
slimyjeep386@163.com,1,1,1,1,2,2,2,2,1,2,1,1,0,2,1,2,1,2,0,2,2,2
replacementtide600@outlook.com,1,1,0,1,2,1,0,2,2,2,1,2,2,0,2,2,2,1,1,2,1,2
newtire220@outlook.com,2,1,1,2,0,2,1,1,2,1,1,2,1,2,2,2,2,2,2,1,1,1
milkytire691@qq.com,1,0,2,1,1,2,1,1,1,2,2,1,2,1,2,1,2,2,2,2,1,2
dailybike96@outlook.com,0,2,2,2,0,1,1,1,1,2,2,1,2,1,2,1,2,1,2,1,2,2
soiledsnake360@yahoo.com,2,1,2,1,2,1,2,0,2,2,1,1,1,1,1,2,2,2,1,1,2,2
clamyblanket28@outlook.com,2,2,2,1,1,1,2,1,1,2,1,2,1,1,2,1,2,2,2,2,1,1
deepsnake396@163.com,2,0,1,2,2,2,2,2,1,2,0,1,1,2,2,2,1,1,2,0,1,1
moistsnake997@163.com,0,2,2,0,1,2,2,1,2,2,2,1,2,1,2,2,1,1,2,1,0,1
newtide937@yahoo.com,2,2,0,1,1,1,1,2,1,2,2,1,2,2,2,2,1,2,1,2,1,1
slimybeans326@gmail.com,2,2,1,1,1,2,1,2,1,2,2,2,1,2,1,1,2,2,1,2,1,1
clamyspice389@163.com,2,2,1,1,2,2,2,2,2,2,2,1,1,2,1,1,1,1,1,2,0,1
retiredcola422@163.com,1,0,2,1,1,2,1,1,2,2,1,2,2,1,2,2,1,2,0,2,1,2
lostshoes790@163.com,2,2,1,1,1,1,2,1,2,2,1,2,2,1,0,2,1,2,2,1,1,2
acientbread736@163.com,1,1,2,2,1,2,1,1,2,2,1,2,0,1,1,2,2,1,2,2,1,2
retiredtide905@qq.com,2,1,0,2,2,1,2,1,2,1,0,1,1,2,2,2,2,1,2,1,2,1
slightlywindow471@gmail.com,2,1,0,1,2,0,2,2,2,1,1,2,2,0,1,2,1,2,2,2,1,0
foundchrysler353@gmail.com,2,2,2,0,1,1,2,2,0,0,1,1,2,2,1,2,1,2,2,1,2,1
extrahat856@outlook.com,2,1,2,1,1,2,1,2,2,1,1,1,2,1,1,2,1,2,2,1,2,2
deepbeans875@qq.com,1,1,2,1,2,2,1,2,1,1,2,2,1,2,2,2,1,2,2,1,1,1
hotshoes609@163.com,0,1,1,2,2,1,2,1,1,2,2,2,2,2,1,1,1,2,0,2,0,2
moistspice183@outlook.com,2,2,0,0,0,2,1,2,1,0,2,1,2,1,2,2,2,2,0,1,2,0
foldingskates613@gmail.com,2,1,2,2,1,1,2,1,2,0,2,2,1,2,2,1,1,2,1,1,2,0
dailyspice313@gmail.com,1,2,2,2,2,1,1,2,1,2,1,1,2,0,2,1,2,1,1,2,1,2
mostlyrug473@gmail.com,0,0,1,2,2,2,0,2,2,2,1,1,1,2,2,2,2,1,2,1,0,1
slimyhat636@outlook.com,2,2,2,2,2,2,2,1,1,0,1,1,1,0,2,1,1,0,2,2,1,2
dailybeans457@163.com,1,2,2,0,1,2,2,2,1,2,1,2,1,1,2,1,1,2,2,2,1,1
retiredshoes923@163.com,1,2,2,2,1,1,1,1,2,1,2,1,1,2,1,2,1,1,2,2,2,2
acientbike19@outlook.com,1,2,2,2,2,2,1,2,1,2,1,1,2,0,2,1,2,1,1,1,2,1
moistshoes107@qq.com,2,1,0,0,2,1,1,1,2,2,1,2,1,2,2,1,2,2,2,2,1,1
dirtysnake317@163.com,2,2,0,1,2,1,1,2,2,2,2,1,2,2,2,1,1,1,1,1,1,2
buriedcup729@outlook.com,1,2,0,1,1,1,2,2,2,2,2,1,2,2,0,1,2,1,0,2,0,2
lostjug315@yahoo.com,2,2,2,1,1,1,1,1,2,1,2,2,1,1,2,2,1,2,0,2,2,1
lostshoes128@163.com,1,2,1,1,2,1,1,2,2,2,1,2,2,1,2,1,2,2,1,0,2,1
lostblanket281@qq.com,0,0,2,1,2,2,2,1,2,1,2,2,1,0,2,2,1,1,1,1,2,2
freshycup995@163.com,1,2,1,2,2,1,2,1,2,2,1,1,2,0,1,2,2,2,1,1,1,2
useddrum754@163.com,1,0,1,1,2,1,2,1,2,0,1,2,2,2,2,1,2,1,1,2,2,2
lostjug455@outlook.com,0,0,2,2,2,2,2,1,2,2,2,1,1,2,1,1,2,1,2,1,1,1
coldrug83@yahoo.com,2,2,1,2,2,2,2,1,0,0,1,2,0,2,0,1,1,2,2,2,1,1
soiledtide149@qq.com,1,1,0,2,2,1,1,2,2,2,1,1,1,2,1,2,2,0,2,2,2,1
dirtyjug352@gmail.com,2,2,0,0,1,2,2,2,1,2,1,1,2,2,0,1,1,2,2,2,1,1
drycola993@163.com,1,0,1,1,1,2,1,1,2,1,2,2,2,2,1,1,1,2,2,2,2,2
retiredrug224@qq.com,2,2,2,0,1,1,0,1,1,1,2,1,2,1,1,2,1,2,2,2,2,2
soiledsnake79@yahoo.com,1,2,0,2,0,2,1,2,1,2,2,1,2,2,1,2,2,1,0,1,0,2
clamyshack993@163.com,1,1,2,1,1,2,2,1,2,0,2,2,2,1,1,1,1,1,2,2,2,2
coldshirt926@163.com,2,1,0,1,2,2,2,2,1,1,1,1,2,0,1,2,2,2,0,2,2,1
drysnake580@gmail.com,0,1,1,2,1,2,2,1,2,1,1,2,1,2,2,1,1,2,2,1,2,2
coldchrysler584@outlook.com,1,2,2,2,0,1,2,1,1,2,2,1,1,2,1,2,2,2,1,1,1,2
soiledsub160@yahoo.com,1,1,2,2,2,2,1,1,2,1,2,1,2,1,1,2,1,1,2,2,2,1
freshytire743@outlook.com,1,2,2,2,2,0,1,0,2,1,2,1,2,0,2,1,2,0,0,1,2,2
deepchrysler238@outlook.com,1,1,0,1,1,1,2,1,2,2,2,2,1,2,2,1,2,1,2,2,1,2
hotblanket968@163.com,2,1,1,0,2,0,1,2,1,1,1,1,1,2,2,2,2,2,2,1,2,2
moistshirt918@163.com,2,1,2,1,1,1,2,2,2,2,0,1,2,1,2,1,2,1,2,2,1,1
replacementdrum150@163.com,1,1,1,1,1,0,1,1,0,2,1,2,2,2,2,2,2,2,0,2,2,2
foundshirt542@yahoo.com,2,2,1,1,2,1,2,2,2,2,1,2,1,0,1,2,1,1,0,2,2,1
newtide512@gmail.com,2,2,2,1,1,2,1,2,2,1,1,1,1,1,2,0,2,2,0,2,2,1
dailytire690@qq.com,0,1,1,1,0,1,1,2,1,2,2,2,2,2,2,1,2,2,0,2,2,1
freshyhat343@gmail.com,2,2,2,2,2,0,1,2,2,0,1,1,1,2,2,2,1,1,2,1,1,1
clamyjeep185@163.com,1,1,2,2,1,0,1,1,1,2,1,2,2,0,2,2,1,2,2,1,2,2
mostlyjug823@yahoo.com,1,2,1,0,2,1,1,2,2,2,2,2,1,2,1,2,2,2,1,1,1,1
milkybeans665@163.com,2,1,2,0,2,1,1,2,2,1,1,1,2,0,2,1,1,2,2,2,2,1
dailyspice289@gmail.com,0,1,1,2,1,2,1,2,2,0,2,2,2,2,1,2,1,1,0,2,0,2
buriedsnake868@qq.com,1,0,1,2,1,1,2,1,2,1,2,2,1,0,2,2,1,1,2,2,2,2
buriedjug172@yahoo.com,0,1,2,2,0,1,0,2,0,1,2,1,2,2,2,1,1,2,2,2,1,2
usedshirt865@qq.com,2,1,2,1,0,1,2,2,2,1,2,2,1,1,1,2,1,2,1,1,2,2
slimywindow631@163.com,2,1,2,1,1,2,1,1,1,1,2,2,2,2,2,0,2,1,2,1,2,1
foundhat659@163.com,1,2,2,1,2,0,1,1,2,1,1,2,2,2,2,2,2,1,1,1,1,2
freshyshoes711@gmail.com,1,2,2,2,0,2,2,2,1,2,1,1,2,1,1,1,1,2,2,1,0,2
foundsub142@qq.com,1,1,2,2,1,1,2,2,1,1,2,1,2,2,1,1,1,2,2,2,0,2
clamyspice962@yahoo.com,2,2,1,1,1,2,1,2,0,0,1,2,2,1,0,2,1,2,2,2,2,1
hotskates911@qq.com,0,1,0,2,0,2,0,2,1,2,2,1,1,2,2,2,0,1,2,2,2,0
dirtybread587@yahoo.com,2,2,2,0,1,2,0,1,2,1,2,2,1,0,0,2,1,1,2,2,2,1
deepblanket891@outlook.com,1,2,1,0,2,1,1,1,1,0,2,2,1,2,2,0,2,2,1,2,2,2
slightlyshack386@163.com,2,1,0,0,2,1,2,0,1,2,2,2,1,1,2,2,2,2,0,2,1,1
foundtire912@qq.com,2,0,2,2,2,1,2,2,2,1,1,2,1,2,1,1,2,2,1,1,1,1
dryjeep915@163.com,2,2,2,1,1,1,1,2,2,2,2,1,1,2,1,1,1,2,2,2,1,1
fishyshack419@163.com,2,2,2,2,1,1,1,1,2,2,1,1,1,2,2,1,1,2,1,2,2,1
replacementshoes137@outlook.com,2,1,2,1,0,2,2,2,1,2,2,2,1,1,1,0,2,1,0,2,1,2
clamytire323@outlook.com,2,2,0,1,2,2,1,2,2,1,2,1,2,1,1,1,2,2,0,1,1,2
oldtide62@qq.com,1,2,0,2,1,1,1,1,2,2,2,1,2,2,0,2,2,2,1,1,2,1
dailybread940@yahoo.com,1,2,2,2,2,1,2,2,1,2,1,1,1,0,1,1,2,1,0,2,2,2
foldingshack148@gmail.com,1,2,2,2,1,1,1,2,1,1,1,2,1,2,1,2,1,2,2,2,1,2
buriedspice285@outlook.com,1,1,1,2,0,2,2,1,2,2,1,2,2,2,1,2,1,1,2,2,1,1
fishyblanket703@gmail.com,1,2,2,0,1,1,2,2,0,2,1,2,1,2,1,2,2,1,2,1,1,2
slimyskates43@163.com,2,1,0,2,2,1,2,1,1,1,2,1,0,1,2,2,1,1,2,2,2,2
deepshoes823@gmail.com,2,2,1,1,2,1,2,1,2,1,1,2,1,2,0,2,1,2,2,2,1,1
foldingcola241@outlook.com,2,2,1,1,1,0,1,2,1,2,2,1,0,2,2,2,1,2,2,1,2,0
tiredsub5@gmail.com,2,2,2,1,1,0,1,2,2,2,1,2,1,2,2,1,1,1,0,1,2,2
foundsub311@yahoo.com,1,2,0,2,1,1,2,1,2,1,2,2,1,1,2,2,0,2,2,1,1,2
coldspice23@qq.com,1,2,1,2,0,1,2,1,2,1,1,1,2,2,2,2,2,2,1,2,1,1
foldingtide644@gmail.com,2,2,1,0,1,1,2,2,1,2,1,2,1,2,1,2,1,2,1,2,2,0
clamyjeep797@outlook.com,2,2,2,2,0,1,1,1,0,1,1,2,2,2,0,1,2,2,2,1,0,2
dirtydrum361@yahoo.com,2,1,0,2,1,1,2,2,1,1,2,1,2,2,1,1,2,1,2,2,2,1
acientshirt492@gmail.com,1,2,2,1,1,1,2,1,1,2,2,0,2,2,1,2,2,2,2,1,1,0
fishyrug633@163.com,2,1,1,2,1,2,1,1,1,1,2,2,2,0,1,2,2,2,2,1,0,2
coldskates556@163.com,2,1,1,2,1,1,1,2,2,2,1,1,1,2,2,2,1,2,0,2,1,2
soiledjug360@yahoo.com,2,2,1,2,0,2,1,1,2,0,2,2,0,2,1,2,2,1,2,1,1,1
milkyrug604@yahoo.com,2,1,2,0,2,2,1,1,1,2,1,2,2,2,2,1,1,1,2,1,2,1
hotskates95@qq.com,2,1,2,0,2,2,1,1,2,2,1,1,2,2,1,2,1,1,0,2,1,2
buriedshirt699@gmail.com,1,2,0,2,2,2,1,2,1,0,2,1,1,0,1,2,2,1,2,2,2,0
replacementskates777@yahoo.com,2,1,2,2,2,1,1,2,1,1,2,2,1,0,1,2,2,2,2,1,1,1
clamytire126@163.com,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,1,1
losthat457@163.com,2,1,2,2,1,2,1,1,1,2,1,2,2,0,1,2,2,2,1,2,1,1
oldjug372@gmail.com,1,2,1,1,2,2,1,2,1,1,2,2,2,1,1,2,0,1,2,2,2,1
dailyspice363@outlook.com,0,2,2,2,0,1,2,1,1,0,1,2,1,2,1,1,2,2,2,2,1,2
lostskates583@163.com,2,2,2,2,2,1,2,1,2,0,2,0,2,0,1,1,2,1,0,1,1,2
dirtysnake957@gmail.com,2,2,0,2,1,1,1,2,1,1,2,1,1,2,2,2,1,1,2,1,2,2
dirtydrum384@163.com,2,1,2,1,2,2,1,2,2,2,2,1,2,2,1,1,1,0,0,1,1,2
buriedspice689@qq.com,2,1,2,2,2,1,1,2,1,1,2,1,2,2,1,1,1,2,1,2,2,1
hottide167@outlook.com,2,1,1,2,2,2,1,1,1,2,2,1,2,1,1,2,2,2,1,1,2,1
freshywindow29@163.com,2,1,1,1,2,0,0,1,2,2,1,1,2,2,1,2,2,1,2,2,2,1
usedbread568@163.com,2,2,0,0,1,2,1,2,1,2,2,1,2,2,2,1,1,2,0,1,1,2
acientbike144@yahoo.com,2,1,2,0,1,2,2,2,2,1,2,1,2,2,1,0,2,1,2,1,1,1
clamyrug518@163.com,2,2,0,1,2,1,1,1,2,2,2,2,2,2,1,1,2,1,2,1,1,1
dryhat316@outlook.com,2,2,2,1,0,1,2,1,2,2,2,1,0,2,1,2,1,2,2,1,1,1
coldshack140@outlook.com,2,1,2,2,2,2,1,1,1,0,2,1,2,2,1,2,2,1,1,2,1,1
foldinghat486@outlook.com,1,2,0,0,1,2,1,2,2,2,2,0,2,0,2,1,1,2,2,1,2,0
acientjug849@gmail.com,2,2,2,1,0,2,1,2,2,1,2,1,2,2,1,1,2,1,2,1,1,1
slightlyshirt196@outlook.com,2,2,0,2,2,1,2,2,1,1,2,1,1,2,1,0,2,1,1,2,2,0
replacementspice799@qq.com,2,1,1,1,2,1,2,2,1,2,1,2,1,1,2,0,1,2,2,2,2,0
dirtyrug889@163.com,2,1,2,2,2,1,2,1,2,1,1,2,2,0,2,2,1,2,0,1,1,1
soiledshack25@qq.com,2,1,2,1,2,2,2,1,1,2,1,2,1,2,1,2,1,2,1,2,0,1
fishychrysler416@163.com,2,1,2,0,1,2,2,0,1,1,1,1,2,1,2,2,2,2,0,1,2,2
freshyjug19@outlook.com,2,2,1,2,2,2,1,1,2,0,1,1,1,0,2,2,2,2,0,1,1,2
slimysnake947@gmail.com,2,2,0,2,2,1,1,1,1,2,2,1,2,2,2,1,1,2,0,1,1,2
hotsnake106@qq.com,2,2,1,0,2,1,2,1,2,1,1,2,2,2,2,2,2,1,1,1,1,1
lostchrysler403@outlook.com,1,2,1,1,2,1,2,2,2,0,1,2,2,1,2,2,1,1,1,1,2,2
