email,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28
deepcola862@outlook.com,0,1,2,2,2,1,1,2,2,0,0,1,0,2,2,1,1,2,0,2,1,0,0,2,2,2,2,2
drychrysler833@gmail.com,0,1,0,2,2,1,2,2,1,2,2,0,1,1,0,2,2,2,2,2,0,2,0,1,0,2,1,2
clamyshirt749@163.com,2,1,1,2,0,2,2,1,0,2,2,1,1,2,1,1,2,2,0,2,1,1,2,1,2,1,2,2
moistshirt918@163.com,2,1,2,2,0,1,2,1,2,2,2,2,1,0,1,2,1,0,2,1,2,1,1,2,2,2,1,1
dirtyshoes356@yahoo.com,2,2,0,1,2,2,1,0,1,2,1,0,2,2,2,1,1,1,2,2,1,2,1,1,0,2,2,2
clamyspice37@gmail.com,2,2,2,2,0,0,2,1,1,1,1,2,1,2,2,1,2,1,0,0,2,2,1,2,2,1,1,2
acientchrysler809@gmail.com,2,2,2,1,1,1,2,1,2,1,0,2,1,1,2,0,2,2,1,2,2,1,1,2,1,1,2,2
oldwindow820@qq.com,2,2,2,1,0,1,0,1,2,2,1,2,2,1,0,0,2,2,0,1,2,2,2,1,2,2,1,0
freshydrum27@qq.com,2,2,2,1,1,2,1,2,2,2,1,2,1,2,2,1,2,1,2,1,0,2,2,0,1,1,1,1
deepdrum919@qq.com,2,2,1,2,2,1,0,2,1,2,2,2,1,2,1,1,1,1,1,2,2,1,2,2,1,0,2,1
slimycup961@163.com,2,1,1,2,1,1,1,2,2,2,2,1,1,1,1,1,2,1,0,2,2,2,2,1,2,1,2,2
deepsub474@yahoo.com,2,1,2,2,2,2,1,1,2,1,1,2,0,2,1,2,2,2,2,0,1,1,1,1,1,1,2,2
milkytire820@gmail.com,0,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,0,0,2,0,2,2,2,0,2,2
freshyspice871@qq.com,2,1,2,2,2,1,1,2,1,2,2,2,2,2,1,0,2,2,0,1,2,1,1,1,2,1,1,1
soiledtide149@qq.com,0,1,0,0,1,1,2,2,1,2,0,2,2,2,1,2,1,0,2,1,1,2,2,2,2,2,2,1
mostlyjeep956@outlook.com,2,2,1,1,2,1,2,2,2,1,2,1,2,2,1,1,2,2,2,1,1,1,1,1,0,2,2,1
coldblanket968@gmail.com,2,2,0,1,1,2,2,1,1,1,2,2,1,2,2,1,2,1,2,1,2,1,1,2,1,2,2,0
freshyshoes711@gmail.com,0,2,2,2,1,2,2,2,1,2,2,2,0,1,2,0,2,1,0,1,2,1,1,2,1,1,1,2
coldblanket679@outlook.com,0,2,2,1,1,2,1,2,2,1,1,2,1,2,1,0,1,2,2,2,1,2,2,2,0,2,1,1
deepdrum298@yahoo.com,2,1,2,2,2,1,2,0,1,2,2,1,0,2,1,2,2,1,2,2,1,1,0,1,2,1,2,1
dailybeans457@163.com,2,2,1,2,2,1,1,2,1,1,2,1,2,1,1,2,1,2,2,1,2,1,1,2,2,2,1,1
slightlybread907@outlook.com,1,1,0,2,0,2,1,2,2,2,0,2,1,2,0,0,2,2,2,1,2,1,1,2,0,2,2,1
drysub137@outlook.com,2,2,2,1,1,2,2,1,1,1,1,1,2,2,1,2,1,2,0,0,1,2,2,2,2,1,2,1
mostlychrysler381@qq.com,1,1,2,2,0,2,2,2,1,1,1,1,1,2,1,2,1,2,1,2,1,0,2,2,2,2,1,2
dirtyskates685@yahoo.com,1,0,0,2,0,2,2,1,2,1,1,2,2,1,2,1,2,2,2,2,2,1,1,1,1,1,2,2
acientbread121@qq.com,2,1,2,2,2,1,2,1,2,2,1,2,0,1,1,0,2,1,2,2,1,0,1,1,2,1,2,2
soiledbeans664@outlook.com,2,2,2,1,1,1,2,2,2,1,2,2,1,1,1,0,1,1,1,2,2,2,0,2,0,2,1,2
hotbeans567@qq.com,2,2,2,1,2,1,1,2,1,2,1,1,2,0,2,1,2,1,2,0,2,1,1,1,2,2,2,1
retiredrug998@yahoo.com,2,2,0,1,2,2,1,0,0,2,2,0,1,1,2,0,1,0,0,2,2,0,2,2,2,2,2,0
slimysnake947@gmail.com,2,2,0,1,0,2,2,0,1,1,0,1,0,2,2,1,2,2,2,1,1,2,2,1,2,2,1,2
oldtire137@qq.com,0,1,0,0,2,2,2,2,2,2,2,2,0,2,1,1,1,1,2,1,1,2,0,2,2,1,1,2
deepblanket891@outlook.com,0,2,2,1,1,1,2,2,1,1,1,1,0,1,2,2,1,2,1,2,2,2,1,2,0,2,2,2
replacementsub369@qq.com,2,2,0,0,1,1,2,2,2,1,2,1,1,2,2,0,2,1,1,2,1,2,2,2,1,2,1,1
slimydrum148@outlook.com,2,2,2,2,0,1,1,2,1,1,2,2,2,2,2,0,2,1,0,1,0,0,1,1,1,2,2,2
colddrum262@163.com,2,2,2,1,0,2,2,1,2,1,1,1,0,2,2,1,1,1,2,0,1,2,2,2,2,2,1,1
drywindow943@qq.com,1,2,2,2,2,2,1,1,2,1,2,0,2,1,2,1,2,1,2,1,1,2,1,2,0,2,1,1
mostlysnake491@qq.com,2,2,2,1,1,1,1,2,1,2,1,1,0,1,2,2,2,2,0,2,2,2,2,1,0,0,2,1
replacementshack840@outlook.com,2,2,2,1,1,2,0,0,1,1,1,2,1,2,2,2,1,2,2,0,1,2,2,2,0,2,1,1
extradrum718@gmail.com,0,1,2,2,0,2,2,2,2,1,2,2,2,1,2,2,1,1,2,0,1,0,0,1,2,0,2,0
slightlychrysler47@gmail.com,2,1,0,1,0,2,1,2,1,2,1,1,0,1,2,2,1,2,2,2,1,1,2,2,2,2,2,1
oldchrysler191@qq.com,1,2,2,1,2,1,1,1,2,2,2,2,1,2,0,1,1,1,2,2,2,1,1,1,2,2,1,2
usedsub254@gmail.com,2,1,0,2,2,1,1,2,2,1,2,2,2,1,0,2,2,1,1,1,1,2,1,1,2,2,2,1
dailywindow99@gmail.com,2,2,0,1,1,2,1,1,2,1,2,2,2,0,2,2,1,2,1,2,1,2,1,2,1,1,1,2
replacementskates795@outlook.com,0,1,2,2,2,1,1,2,2,1,1,2,0,1,2,2,1,2,2,1,1,2,1,1,1,2,2,2
usedbike751@qq.com,0,2,1,1,2,0,1,2,2,0,2,1,1,1,2,2,1,2,1,1,1,2,2,1,2,2,2,2
clamyjug230@qq.com,0,1,1,1,2,2,2,2,2,1,1,2,0,1,2,1,1,2,0,2,2,1,2,1,0,2,2,2
mostlyblanket953@163.com,2,1,0,0,2,1,1,2,2,0,2,2,2,1,2,2,1,1,2,2,1,2,1,1,1,2,2,1
replacementshoes858@gmail.com,2,0,1,1,2,2,2,1,2,2,1,2,1,1,1,1,1,1,2,2,2,1,1,1,2,2,2,2
deepblanket774@outlook.com,2,2,2,0,1,2,1,2,2,1,1,2,0,1,2,1,1,1,2,1,2,1,1,1,2,2,2,2
replacementrug659@gmail.com,1,1,0,2,2,1,1,2,1,1,0,0,0,2,1,2,1,2,1,0,2,2,2,2,2,2,2,2
tiredtire285@yahoo.com,2,2,2,1,2,1,0,1,2,1,2,1,0,0,2,1,1,1,2,2,1,1,1,2,2,2,2,2
tiredbeans817@gmail.com,2,2,0,1,0,2,1,2,1,2,2,2,2,1,2,2,2,1,2,2,0,2,0,1,1,1,1,1
newbeans217@yahoo.com,0,1,2,1,0,2,2,2,1,1,1,1,1,2,1,2,2,1,2,2,2,0,2,1,2,2,1,2
milkybeans665@163.com,2,0,2,1,2,1,1,0,2,2,2,2,0,2,1,0,1,2,0,1,2,2,2,1,2,2,1,1
slimychrysler684@yahoo.com,2,1,1,2,2,2,1,0,2,1,1,1,2,2,2,0,1,2,2,0,2,1,1,2,2,2,1,0
clamyspice962@yahoo.com,2,1,2,1,2,1,2,0,2,2,0,1,1,2,2,1,1,2,1,1,2,1,1,2,2,2,2,1
fishyhat971@outlook.com,2,1,2,2,1,1,1,1,0,2,2,1,0,1,1,2,2,2,2,1,2,2,1,1,1,2,2,2
fishyshack419@163.com,2,2,2,2,0,1,1,1,1,2,1,2,2,1,1,0,2,2,2,2,2,0,1,2,1,1,2,1
moistsnake175@yahoo.com,2,2,2,2,0,1,1,0,2,1,1,0,2,2,2,2,2,1,0,2,2,0,1,1,2,0,2,0
foundbeans7@163.com,2,2,0,1,2,1,2,2,2,1,2,1,1,1,1,2,1,2,1,1,1,2,2,1,2,2,1,2
newhat584@gmail.com,0,1,0,2,2,2,2,1,1,2,2,1,1,2,2,1,2,1,2,1,1,2,1,2,2,1,1,2
replacementshirt214@163.com,2,0,0,2,2,1,1,2,2,0,2,2,0,1,2,1,1,1,0,2,1,1,2,2,1,2,2,2
freshytire179@outlook.com,0,1,2,2,2,1,0,1,2,1,2,1,1,2,1,0,2,1,2,2,2,1,2,2,2,1,1,2
dailytire90@gmail.com,2,1,0,2,2,1,1,1,2,2,1,2,2,1,1,2,1,2,1,1,2,2,1,2,1,1,2,2
foldingbike830@outlook.com,1,1,0,1,1,2,0,0,2,2,0,2,2,2,2,2,1,2,0,1,2,2,2,1,2,1,2,1
foldingskates420@gmail.com,2,2,0,2,2,1,1,2,1,2,0,2,1,2,0,2,2,2,1,2,1,1,1,2,1,1,2,0
coldshack611@qq.com,2,2,1,1,1,2,0,2,2,1,1,2,2,1,2,1,1,2,1,1,2,1,2,1,2,2,1,2
clamyspice717@outlook.com,0,1,2,2,2,0,2,1,2,1,0,1,1,2,2,2,1,2,2,2,1,2,1,0,2,2,1,0
dirtytire674@outlook.com,0,2,0,1,2,1,2,2,2,1,1,0,2,1,1,1,2,2,2,2,0,2,2,0,2,1,2,1
coldcup974@outlook.com,0,2,1,1,2,2,1,0,1,2,2,2,2,2,2,2,1,1,0,2,2,2,1,1,1,1,1,2
oldwindow763@yahoo.com,2,1,0,1,2,2,1,0,1,2,1,0,2,2,1,1,2,2,1,0,2,2,2,2,1,1,2,2
newchrysler981@gmail.com,1,1,0,1,1,2,2,2,2,0,2,2,2,1,1,1,2,1,2,1,1,2,2,1,2,1,2,2
lostsub932@163.com,1,0,0,1,1,1,1,1,2,2,2,1,2,2,0,2,1,2,2,1,2,2,2,1,2,1,2,2
foundshack343@gmail.com,1,1,2,2,0,2,1,0,2,1,2,1,2,2,2,2,1,1,2,1,1,2,1,1,1,2,2,2
replacementshirt358@yahoo.com,2,1,0,0,2,2,2,1,2,2,2,2,1,0,2,2,1,0,2,0,2,2,1,2,1,1,1,1
coldshirt926@163.com,2,1,1,2,0,2,1,2,2,2,2,1,1,2,0,2,0,1,2,2,1,1,2,1,2,1,2,1
lostcola749@yahoo.com,2,1,0,0,2,2,2,1,2,1,2,1,0,2,1,2,2,1,0,2,1,1,1,2,1,2,2,2
usedcola992@yahoo.com,2,2,0,2,1,2,0,2,1,1,2,2,0,2,2,1,2,2,1,2,1,1,2,1,1,2,1,0
dailycup813@yahoo.com,2,2,2,2,2,2,2,2,2,1,1,0,2,2,0,1,1,2,1,0,1,1,1,1,1,1,2,2
foldingsnake113@yahoo.com,2,2,0,1,1,1,2,2,1,2,2,2,0,0,2,1,2,1,1,2,2,2,2,0,1,0,2,1
dirtybread587@yahoo.com,2,2,2,1,0,2,2,2,0,0,1,2,0,2,2,0,1,1,0,0,2,2,1,2,2,2,0,1
slimyjeep386@163.com,1,1,0,0,0,2,2,2,1,1,1,2,1,1,2,0,1,2,2,1,1,2,2,2,2,2,2,2
extrasnake821@qq.com,1,1,0,1,1,1,2,1,0,1,2,1,1,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2
clamysnake136@163.com,0,1,1,1,1,2,2,1,1,2,0,1,1,2,0,2,2,2,0,2,1,2,2,2,1,2,2,2
newbeans365@qq.com,2,1,0,2,2,1,2,1,1,2,2,1,1,2,1,0,1,1,2,2,2,1,2,2,2,1,1,2
newtide749@gmail.com,2,2,2,1,0,2,1,0,2,1,2,1,1,2,1,2,1,2,2,0,2,2,1,2,1,0,2,1
soiledbike200@qq.com,2,1,1,1,1,2,2,2,1,2,1,1,0,0,1,2,1,1,2,1,2,1,2,2,2,2,2,2
slightlycup905@outlook.com,0,2,0,2,1,1,2,1,2,1,2,2,1,2,2,1,1,2,0,1,2,2,0,2,1,2,1,2
oldchrysler400@163.com,2,1,2,2,1,2,1,2,1,2,2,1,2,1,0,1,1,1,1,0,2,2,1,1,2,2,2,2
clamybike977@163.com,0,2,2,2,0,1,1,0,2,2,0,2,2,0,2,2,2,1,2,1,2,1,2,0,1,1,1,2
tiredhat606@qq.com,2,1,0,2,2,1,1,2,2,2,0,1,0,2,2,2,1,1,2,2,1,2,1,1,1,0,2,2
foundskates539@outlook.com,2,2,0,2,2,1,2,2,2,2,0,1,0,2,2,0,1,0,2,2,1,1,2,1,1,1,1,2
founddrum703@qq.com,0,1,2,1,2,1,2,1,2,1,2,2,1,0,1,0,2,1,2,2,2,0,1,2,2,0,2,2
clamyjug891@163.com,2,1,0,1,0,2,2,2,1,2,2,0,2,2,2,2,1,1,1,1,1,2,2,0,1,1,2,2
milkytire61@yahoo.com,2,2,2,2,2,2,2,2,0,1,1,0,2,1,2,0,2,0,1,1,1,1,1,2,0,2,2,1
deepbeans875@qq.com,1,1,1,1,2,1,1,0,2,2,2,2,2,2,2,2,1,2,1,1,2,2,1,2,2,1,1,1
acientbeans987@gmail.com,2,1,0,1,2,2,1,1,2,1,2,2,0,0,2,2,2,1,2,1,2,1,2,1,2,1,1,2
slimycola966@outlook.com,1,1,1,1,2,2,1,2,1,2,2,2,2,1,1,1,1,2,2,1,2,2,2,1,1,2,0,2
milkyhat906@gmail.com,2,1,0,2,2,2,1,2,0,2,2,1,2,0,2,2,1,2,0,0,2,1,1,2,2,1,1,0
foundbeans91@163.com,2,2,0,0,2,1,2,1,2,2,2,1,2,1,1,0,2,1,2,2,2,2,1,1,2,1,1,1
freshyjug808@gmail.com,0,2,0,1,0,2,1,2,1,2,1,2,2,2,1,0,2,2,1,2,1,2,2,2,2,1,1,1
tiredhat204@163.com,1,1,0,0,0,2,1,2,1,0,2,1,1,1,2,2,2,2,2,2,1,2,2,2,2,1,0,2
usedrug938@yahoo.com,2,2,2,2,1,2,2,2,0,1,1,2,2,0,1,2,2,0,2,1,0,0,2,1,1,2,1,1
tiredhat236@yahoo.com,2,1,1,2,2,2,0,2,1,2,0,1,1,0,2,1,2,2,2,1,1,0,2,1,2,2,2,1
extrabeans516@gmail.com,0,2,2,1,1,1,2,2,2,2,2,2,0,1,0,2,2,2,1,1,0,1,2,0,2,1,1,2
mostlyshack522@163.com,2,2,2,1,0,1,1,0,2,1,2,2,0,2,0,2,1,2,2,0,2,1,1,2,1,1,2,2
clamyjeep169@163.com,2,2,2,1,1,1,2,0,2,2,2,1,2,2,0,1,1,1,0,1,2,2,2,1,2,2,1,1
dailyhat533@outlook.com,1,2,2,1,1,2,1,1,2,1,2,2,2,2,1,2,2,1,0,2,0,0,1,2,1,2,1,2
acientsnake134@outlook.com,2,2,0,1,2,1,1,0,2,2,0,2,2,2,0,2,1,2,2,0,1,0,2,2,1,2,1,0
slimybread561@yahoo.com,2,2,2,1,2,2,1,2,2,2,1,1,1,1,1,1,2,1,2,1,2,2,1,0,2,2,1,1
buriedtire207@gmail.com,2,1,0,2,0,2,2,2,2,2,0,0,2,1,2,2,1,2,0,1,1,2,2,1,1,1,2,1
foldingskates208@gmail.com,2,2,0,2,2,2,0,1,0,2,2,1,1,0,2,1,2,2,1,2,1,2,0,1,2,2,1,1
freshybike569@163.com,0,2,2,1,2,2,2,1,2,1,2,2,0,0,1,1,1,2,2,0,2,2,1,1,0,0,2,2
olddrum822@gmail.com,2,2,2,1,1,2,1,2,0,2,2,2,2,0,1,2,1,2,2,0,1,2,2,1,1,1,1,1
mostlycola126@yahoo.com,0,2,0,2,0,1,1,0,2,1,2,1,2,1,1,2,1,2,2,2,2,1,2,1,2,2,2,0
tiredskates490@gmail.com,0,1,2,2,0,1,2,1,2,0,1,1,2,2,1,2,2,0,2,1,2,1,2,2,2,1,1,2
fishybike254@qq.com,2,1,0,2,1,2,2,0,0,1,2,2,2,1,2,0,2,1,2,1,2,1,2,1,0,2,2,0
slightlyhat58@gmail.com,2,2,2,1,2,1,2,2,2,1,2,1,2,0,2,1,1,2,0,1,1,1,2,1,2,2,0,1
deepdrum726@qq.com,0,2,2,2,0,2,1,2,1,2,1,2,2,2,1,1,1,1,1,2,2,0,1,2,2,1,1,2
slightlychrysler739@yahoo.com,2,2,0,2,1,2,1,2,1,1,2,2,2,2,1,0,2,1,2,2,1,0,1,2,1,1,0,2
lostsub349@gmail.com,2,2,1,2,2,1,1,1,1,2,0,2,1,0,2,2,2,1,0,2,2,0,1,1,2,2,1,2
clamyrug518@163.com,0,2,2,0,0,1,2,1,1,1,1,2,2,1,2,2,2,2,2,0,2,1,2,2,1,2,1,1
foldingcola241@outlook.com,2,2,0,1,0,1,1,1,2,1,2,2,0,2,2,1,1,1,2,2,2,1,2,2,2,2,1,1
soiledshack25@qq.com,2,1,2,1,2,2,2,1,1,2,2,1,1,2,2,2,1,1,2,1,1,1,2,2,2,0,1,1
oldblanket905@163.com,2,1,1,2,2,1,2,2,1,1,2,1,0,2,2,1,2,2,0,1,2,1,2,2,1,0,1,2
extrawindow760@gmail.com,1,1,0,0,2,1,0,2,2,2,1,2,1,2,1,2,2,2,2,2,1,2,1,1,2,2,1,1
foundchrysler353@gmail.com,2,2,2,1,2,1,0,2,1,1,2,1,1,0,1,0,1,2,2,2,2,1,2,2,1,2,2,1
mostlywindow744@qq.com,2,2,2,2,1,2,2,2,2,1,0,0,0,0,2,1,1,1,0,2,2,2,2,1,0,1,1,2
coldrug976@yahoo.com,2,1,0,0,0,1,2,2,2,1,1,1,0,1,2,2,1,2,0,1,2,2,2,2,2,2,1,2
lostrug518@qq.com,2,2,0,1,1,1,1,1,1,2,1,2,1,1,2,0,2,1,2,2,2,0,1,2,2,2,2,2
slightlywindow508@gmail.com,0,1,2,2,2,1,2,1,0,0,2,2,1,2,2,2,1,2,1,2,2,1,1,2,1,1,1,2
slimyskates157@163.com,2,2,0,0,0,2,2,2,0,1,2,2,2,1,2,0,2,1,2,2,2,0,1,1,0,1,2,1
dirtysub599@163.com,2,0,2,1,2,1,1,2,2,1,2,2,1,2,1,2,1,2,0,2,1,1,2,2,1,0,1,2
usedtide37@163.com,2,2,1,1,2,2,1,0,2,1,1,2,2,2,1,2,1,1,2,2,2,2,2,1,1,1,1,1
oldbread551@yahoo.com,2,1,0,2,0,2,1,2,2,1,2,1,2,0,2,1,2,1,0,2,1,2,2,1,2,1,2,1
deepbread26@qq.com,1,2,0,2,1,2,2,1,2,2,1,2,1,2,1,2,2,1,1,1,1,2,1,2,2,1,2,1
mostlyblanket933@yahoo.com,2,0,2,1,2,2,2,0,2,2,0,2,0,2,1,1,2,2,2,1,1,1,1,1,1,1,2,2
dirtywindow798@qq.com,0,2,2,1,0,1,2,2,2,1,2,1,1,2,2,1,2,1,1,2,1,0,2,1,0,2,2,2
slightlyshoes531@qq.com,2,1,0,1,0,1,1,2,1,2,2,0,2,2,1,2,2,2,2,1,2,0,1,1,2,2,1,2
acienthat353@yahoo.com,2,2,2,1,1,1,2,1,2,2,2,1,2,1,1,2,1,2,2,2,2,1,2,1,0,1,1,1
dailyspice943@163.com,0,1,0,0,0,1,2,1,0,1,2,2,2,2,2,2,1,2,0,2,1,2,1,0,2,2,2,2
extrashoes592@yahoo.com,1,2,0,1,1,2,2,2,1,2,0,0,2,1,2,2,1,1,2,0,2,2,0,2,2,0,1,2
foldingbread553@outlook.com,1,2,2,2,2,1,2,2,2,1,2,1,0,1,1,0,2,1,0,0,1,1,2,1,2,2,2,2
buriedjeep923@yahoo.com,1,1,0,2,2,1,2,2,2,0,2,1,2,2,1,2,2,1,0,2,2,0,1,0,1,1,2,2
foldingsnake99@qq.com,1,1,1,2,2,2,1,2,2,2,2,2,1,2,1,2,1,1,0,1,2,2,2,1,1,1,1,2
replacementbike875@qq.com,0,2,2,1,2,2,1,1,1,1,2,1,1,2,1,2,1,1,2,2,2,2,2,2,0,0,2,1
slimybeans326@gmail.com,2,2,1,0,1,1,2,1,2,1,2,1,1,1,0,2,2,1,2,2,1,2,2,1,2,2,2,1
usedjeep425@outlook.com,2,2,0,1,0,2,2,2,2,1,1,2,0,2,1,1,1,1,2,1,2,2,2,2,0,2,1,1
dailybeans446@yahoo.com,0,1,2,2,2,1,1,2,1,0,2,1,2,0,2,2,1,2,2,2,2,2,1,2,1,1,1,1
clamywindow857@yahoo.com,0,1,0,1,2,2,1,2,1,1,1,2,2,2,2,2,1,1,2,1,1,2,1,2,2,1,2,2
soiledbread354@gmail.com,2,2,0,2,1,2,0,1,2,2,1,2,2,2,1,1,2,0,0,2,0,2,2,0,1,1,1,2
foldingshack252@yahoo.com,2,2,2,1,2,1,2,1,1,2,1,1,0,2,1,1,2,1,2,1,1,2,2,2,1,2,1,2
tiredsub5@gmail.com,2,2,2,1,1,2,1,2,1,2,2,1,2,0,2,1,1,1,2,2,2,1,1,1,1,1,2,2
retiredcup377@gmail.com,2,1,0,1,0,2,1,2,2,2,2,1,0,1,1,2,2,1,2,2,2,1,1,2,1,1,2,2
soiledblanket200@gmail.com,2,2,2,2,0,2,1,0,1,1,2,0,2,2,1,2,2,2,0,2,2,2,1,0,1,1,0,1
moistsnake675@yahoo.com,1,2,0,2,2,2,2,2,1,2,2,0,2,1,2,0,1,1,0,1,0,0,2,2,2,2,1,0
foundtide103@qq.com,2,1,0,1,2,1,2,0,2,2,2,2,1,1,2,2,1,2,1,2,0,2,1,0,1,1,2,2
acientcup238@outlook.com,1,2,2,1,1,1,1,2,1,1,1,2,1,2,2,2,1,2,2,1,2,1,2,2,2,1,2,1
dailychrysler726@outlook.com,1,1,2,1,2,2,1,2,1,2,2,2,1,2,1,2,1,1,2,2,2,1,0,1,2,1,2,0
fishysnake533@yahoo.com,2,1,2,0,2,2,2,2,2,2,0,2,0,2,0,0,2,0,2,1,1,1,0,2,0,2,1,1
dirtyspice29@outlook.com,0,1,2,2,0,1,2,2,1,2,2,0,0,2,1,2,1,2,2,2,2,1,2,0,1,1,1,2
milkybread750@gmail.com,2,1,2,2,0,2,1,2,1,2,2,1,2,2,2,0,2,2,0,0,2,1,1,1,1,1,1,2
slimyjeep670@gmail.com,2,1,0,2,0,2,2,2,1,2,2,1,0,2,1,2,2,1,2,1,1,1,0,1,2,2,2,1
lostdrum631@163.com,2,2,2,1,2,0,1,2,2,2,2,0,1,2,1,1,1,1,2,2,0,2,2,1,0,2,1,1
mostlycup976@qq.com,2,2,2,1,0,1,0,2,2,2,1,2,0,2,0,0,1,2,1,2,2,2,2,1,2,1,0,1
buriedblanket902@outlook.com,0,2,0,2,0,2,1,2,1,0,2,2,0,0,1,2,2,1,1,1,2,2,1,2,2,1,2,2
milkyblanket205@yahoo.com,2,2,2,2,0,1,1,2,2,2,1,2,0,2,2,0,1,2,0,2,2,0,2,1,1,1,1,1
moistskates376@yahoo.com,0,1,1,1,2,1,2,1,1,2,1,2,1,2,2,2,1,2,1,2,2,0,1,1,2,2,2,2
fishytire372@gmail.com,2,1,2,2,1,2,2,0,2,0,0,1,1,2,1,1,1,2,2,1,2,2,2,1,2,1,2,0
fishybike986@qq.com,2,2,1,2,1,2,2,1,1,1,2,2,0,2,1,1,1,0,2,2,1,2,1,1,1,2,2,2
buriedwindow695@yahoo.com,0,1,0,1,2,2,1,2,1,2,2,1,2,0,0,2,2,2,2,1,0,2,1,2,0,0,2,2
clamysnake715@gmail.com,2,1,0,1,1,2,2,1,2,1,1,1,2,0,1,1,2,1,1,2,2,2,2,2,2,0,2,2
dirtyshack540@gmail.com,0,2,0,2,1,2,1,2,1,0,1,1,2,2,2,2,2,1,2,2,1,1,1,1,2,1,2,2
freshybread731@163.com,2,1,0,1,0,1,1,2,0,2,2,2,2,0,2,0,2,2,0,2,2,2,1,1,0,2,1,2
soiledskates976@163.com,2,0,0,1,0,2,2,0,2,1,2,2,2,0,2,0,1,2,2,2,1,2,2,1,2,0,1,0
freshywindow29@163.com,2,1,1,0,0,2,2,2,0,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,2,2,1
extrachrysler814@outlook.com,2,1,0,0,2,2,1,2,2,2,2,1,2,2,0,1,2,2,0,0,1,2,2,1,0,1,1,2
moistspice387@qq.com,0,1,0,1,0,1,2,0,2,1,0,2,2,2,2,2,2,1,0,2,2,2,2,1,1,1,2,2
dryjeep45@163.com,2,2,2,2,2,1,0,1,0,2,2,1,2,2,1,2,1,2,1,2,2,1,1,1,2,1,1,1
freshyrug186@163.com,1,2,2,0,2,2,2,1,2,0,1,2,0,0,2,2,1,1,2,2,2,1,1,1,2,1,2,1
clamyblanket825@qq.com,2,1,2,1,1,1,2,2,1,1,2,2,2,1,2,0,2,2,2,1,1,2,2,2,1,0,1,1
hotcup999@163.com,2,2,0,2,1,1,2,1,1,1,0,2,2,0,2,0,2,2,0,2,2,1,2,0,0,0,2,2
dailycup358@yahoo.com,0,2,0,0,2,2,2,1,1,2,1,1,0,2,2,2,2,2,2,1,2,2,1,1,1,0,1,2
