email,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22
fishychrysler416@163.com,2,1,2,1,0,2,2,1,1,0,1,1,2,0,2,2,2,2,0,1,2,2
slightlyspice55@gmail.com,2,0,0,0,2,1,2,1,2,1,2,0,2,0,2,1,2,1,0,2,2,2
mostlybike595@gmail.com,2,1,1,0,1,2,2,2,2,0,2,1,2,0,2,2,2,1,1,1,2,1
foldingrug197@outlook.com,1,1,2,0,2,2,2,1,0,2,2,2,1,2,1,0,0,1,2,2,1,2
tiredskates86@yahoo.com,2,0,2,2,1,2,0,0,0,2,2,1,2,1,2,1,2,2,0,1,1,2
freshyblanket717@outlook.com,2,1,2,1,2,1,1,2,2,1,2,2,1,2,0,0,2,1,1,1,2,2
milkyrug473@yahoo.com,1,2,1,2,2,2,1,1,1,1,1,2,2,2,1,1,1,1,2,2,2,2
acientspice799@yahoo.com,0,0,1,2,2,1,1,2,2,0,1,2,1,0,2,2,2,2,1,2,0,2
extrachrysler814@outlook.com,2,1,0,0,2,2,2,1,1,2,2,0,2,2,1,0,1,2,2,1,1,2
foundjeep250@qq.com,2,2,1,2,1,2,1,2,1,0,1,1,2,2,1,2,1,2,2,2,0,1
clamyjeep185@163.com,1,0,2,2,1,1,1,1,1,2,1,2,2,1,2,2,1,2,2,1,2,2
foundshirt542@yahoo.com,2,2,1,1,2,1,2,2,2,2,1,2,1,1,1,2,1,1,1,2,2,1
newbike640@gmail.com,1,2,2,0,2,2,1,2,1,2,1,2,2,1,1,1,1,2,2,0,1,2
freshyskates966@gmail.com,1,0,1,1,2,2,2,2,1,1,1,2,2,2,2,2,1,2,0,1,2,1
fishysub695@qq.com,2,1,2,1,2,2,2,1,1,2,1,2,1,1,1,2,1,2,2,2,1,1
slightlydrum888@yahoo.com,2,2,1,2,2,1,1,2,1,0,1,2,2,2,1,1,2,1,2,1,1,2
retiredrug224@qq.com,2,2,2,1,1,1,1,0,0,0,2,1,2,0,1,2,1,2,2,2,2,2
newspice255@outlook.com,2,2,2,1,1,2,1,2,2,2,2,2,1,2,1,1,1,1,1,1,2,1
buriedtire367@163.com,2,1,1,2,1,2,2,1,1,2,2,2,1,2,1,1,1,0,2,1,2,2
dirtysub599@163.com,2,2,1,2,1,1,2,1,2,1,2,0,2,0,2,2,1,2,1,1,1,2
slightlywindow776@yahoo.com,0,2,1,2,1,2,2,0,2,2,2,1,1,2,1,1,2,2,1,1,1,2
oldcup634@yahoo.com,2,1,1,1,2,2,1,2,1,2,2,2,2,1,2,1,1,1,2,1,0,2
deepshoes813@qq.com,0,0,2,2,1,1,2,2,2,0,2,2,1,2,1,2,0,1,2,2,1,1
foldingblanket123@qq.com,2,2,2,0,2,0,2,1,2,1,2,1,2,2,0,1,1,2,1,2,0,1
soiledbread354@gmail.com,2,2,1,2,1,1,1,2,1,2,2,2,1,2,1,2,0,2,0,1,1,2
usedtire882@163.com,2,1,1,0,2,1,2,2,1,2,2,2,2,1,2,1,1,1,1,1,2,2
newbike624@outlook.com,2,2,2,2,2,1,1,1,1,1,2,0,2,2,1,2,1,2,2,1,1,1
newshirt132@yahoo.com,1,2,2,2,0,1,1,1,1,1,2,0,2,2,2,2,1,1,2,1,2,2
drycup651@163.com,2,2,1,1,1,1,1,2,2,2,1,2,2,2,0,2,1,1,0,2,2,1
clamyjeep153@163.com,0,2,1,1,2,2,2,1,2,1,1,1,2,2,1,1,2,2,2,1,1,2
replacementwindow606@outlook.com,2,2,2,0,0,1,2,0,1,2,1,0,2,0,1,1,2,2,2,2,2,1
coldbike895@yahoo.com,1,2,2,2,0,1,1,0,2,1,0,1,2,2,1,2,2,2,1,1,2,2
soiledshirt927@gmail.com,2,2,1,1,1,2,2,1,2,0,2,0,0,2,1,2,2,1,2,1,1,2
drychrysler833@gmail.com,1,2,2,0,0,2,1,2,2,1,1,1,2,0,2,2,0,2,0,2,0,2
slimyrug911@163.com,2,1,1,0,1,0,2,2,2,2,1,0,2,2,2,1,2,1,2,2,0,1
deepshack742@gmail.com,1,1,1,1,2,1,1,2,2,2,2,0,2,2,1,2,2,1,0,1,2,2
foundjug643@yahoo.com,0,2,2,0,1,1,2,2,2,0,1,2,1,0,2,2,2,2,1,2,1,1
soiledsnake79@yahoo.com,1,2,1,2,1,2,0,2,0,2,2,1,2,2,1,2,2,1,0,1,1,2
coldsub442@outlook.com,0,0,2,0,2,1,2,2,2,1,1,0,1,2,2,1,1,2,2,1,2,2
dailybread914@gmail.com,1,2,1,2,1,1,2,1,1,2,1,1,0,2,2,1,2,2,1,2,2,2
foundhat659@163.com,0,2,2,0,2,0,1,0,2,0,1,2,2,2,2,2,2,1,1,1,1,2
hotshoes609@163.com,1,1,1,2,2,1,2,1,0,2,2,2,2,2,1,0,1,2,1,2,1,2
dirtysub525@gmail.com,2,0,0,1,2,2,2,1,2,0,1,0,0,2,2,0,2,2,2,2,0,1
moisthat885@gmail.com,2,2,0,2,1,2,1,1,1,2,0,2,2,1,1,2,2,1,2,1,2,1
moistbike54@163.com,1,2,2,1,1,1,2,1,0,0,2,2,1,1,0,1,2,2,2,2,2,2
clamyspice948@outlook.com,2,1,1,2,2,2,2,2,2,1,1,1,2,0,2,1,1,1,2,1,1,2
buriedshirt115@yahoo.com,0,1,2,2,2,1,2,0,1,2,2,0,1,2,2,1,1,2,2,1,2,1
mostlyjug153@163.com,1,0,2,0,1,2,2,2,1,2,2,0,0,0,1,1,0,2,2,2,2,2
lostskates393@qq.com,2,2,2,1,2,2,2,2,2,1,0,1,2,1,0,1,1,1,0,1,2,2
usedspice345@gmail.com,2,1,2,1,1,2,2,2,2,1,2,1,2,2,0,1,2,1,2,1,1,0
slimycup306@yahoo.com,2,2,2,1,2,2,1,2,1,2,1,2,1,0,2,1,1,1,0,1,2,2
extrashoes592@yahoo.com,1,2,1,2,1,1,2,1,0,2,1,2,2,0,2,2,2,1,2,0,1,2
buriedshoes758@outlook.com,2,2,0,2,2,2,1,1,2,1,1,2,0,0,0,1,0,2,2,2,1,2
extraskates512@qq.com,2,1,2,2,2,2,1,1,2,1,2,0,1,2,1,1,2,1,1,2,1,2
oldsnake346@yahoo.com,1,1,0,2,2,2,2,1,2,0,1,1,1,1,2,1,2,2,2,2,1,2
acienthat377@qq.com,1,2,2,2,1,2,1,2,1,0,1,2,2,2,0,1,2,1,0,2,2,0
foldingcola241@outlook.com,2,2,1,0,1,1,0,2,1,2,2,1,1,2,2,2,1,2,2,1,2,1
freshyjug19@outlook.com,2,2,1,2,2,2,1,1,2,1,1,1,1,1,2,2,2,2,1,1,1,2
replacementshirt358@yahoo.com,2,1,1,2,1,2,1,2,2,2,2,1,1,2,1,1,1,2,2,1,2,0
hottire211@outlook.com,0,2,1,2,1,1,1,2,2,0,2,2,2,1,1,2,1,2,0,1,2,2
dailytide471@outlook.com,2,1,2,1,1,2,1,0,2,2,2,1,1,0,2,2,2,2,1,2,1,1
mostlyrug473@gmail.com,0,0,1,2,2,2,1,2,2,2,1,1,1,2,2,2,2,1,2,1,1,1
newsnake821@gmail.com,2,0,0,1,2,1,1,1,1,1,1,0,2,2,2,1,2,2,2,2,2,2
newskates92@gmail.com,0,1,2,1,0,2,2,1,1,2,2,2,1,2,2,1,1,2,1,2,1,2
dailyjug835@163.com,1,1,2,2,2,2,1,1,1,2,0,0,0,2,1,1,2,1,2,2,2,2
fishytire372@gmail.com,2,1,2,2,1,1,2,1,1,1,0,2,1,1,2,2,2,2,2,1,2,1
oldwindow763@yahoo.com,2,0,1,2,1,1,1,0,2,2,2,1,2,2,1,2,2,1,0,1,2,2
foundrug2@yahoo.com,2,1,0,2,1,2,1,1,2,1,2,2,1,2,0,2,1,1,2,2,1,2
slightlytire158@163.com,1,1,1,1,2,2,2,1,2,2,0,2,2,0,0,1,2,2,2,1,1,2
fishyrug448@yahoo.com,1,1,2,2,1,2,2,1,1,2,1,1,2,0,1,2,2,2,1,2,1,2
drybeans185@163.com,0,2,2,2,1,2,2,2,1,0,1,2,1,2,2,2,0,1,1,1,1,2
oldtide62@qq.com,1,2,1,2,1,1,0,1,2,2,2,0,2,2,1,2,2,2,1,1,2,0
usedjeep425@outlook.com,2,2,1,1,1,2,2,2,1,2,1,2,1,1,1,2,0,1,2,2,2,1
coldsnake27@gmail.com,2,1,2,2,1,2,2,1,2,2,1,2,1,2,1,1,2,1,0,2,1,1
retiredspice520@163.com,0,0,2,0,0,2,0,2,1,1,2,2,1,2,1,2,2,2,1,1,2,2
foldingwindow786@qq.com,2,1,1,2,1,1,1,2,1,0,1,0,2,2,0,2,2,2,2,2,2,1
soiledrug637@163.com,2,1,1,2,2,1,2,1,1,2,1,0,2,2,2,0,2,1,0,0,2,2
mostlyblanket918@163.com,2,1,1,1,1,2,2,2,1,1,2,0,0,2,0,2,2,2,2,1,0,2
retiredchrysler146@outlook.com,1,2,2,2,1,2,0,1,2,1,2,2,2,1,0,2,2,1,1,0,1,2
buriedblanket902@outlook.com,1,1,2,1,2,1,1,0,2,2,1,0,2,2,0,2,2,2,0,1,2,2
foldingshack148@gmail.com,1,2,2,2,1,1,1,2,1,1,1,2,1,2,1,2,0,2,2,2,1,2
foundchrysler353@gmail.com,2,2,2,0,1,1,2,2,1,0,1,0,2,2,1,2,1,2,2,1,2,1
moistcup626@163.com,2,2,2,1,2,1,1,2,2,1,1,0,1,0,2,1,2,2,2,2,1,1
extrasnake663@gmail.com,2,2,2,1,2,2,2,1,1,1,1,2,1,1,2,1,1,2,1,2,1,2
buriedwindow695@yahoo.com,0,1,2,1,0,2,1,2,2,0,2,1,2,2,2,2,1,1,0,1,2,2
moistcola120@gmail.com,2,0,2,1,2,1,2,1,2,0,2,2,1,1,2,1,2,0,2,2,0,1
slimyjeep670@gmail.com,2,0,1,2,1,2,2,2,1,2,1,1,1,2,1,1,2,1,2,2,2,1
dirtyshoes356@yahoo.com,2,2,1,2,2,1,1,2,1,0,2,0,2,1,2,1,1,1,1,2,2,2
slimybread27@qq.com,1,2,1,0,1,2,1,2,1,1,2,2,2,2,1,2,2,1,2,1,2,1
deepbread546@qq.com,1,1,2,2,1,2,1,0,1,1,2,2,2,2,2,0,1,2,0,1,2,2
milkyhat906@gmail.com,2,1,2,2,2,1,2,1,1,2,1,1,2,0,1,2,1,2,2,2,0,1
usedsnake976@gmail.com,2,2,2,1,1,1,1,2,2,2,2,1,1,2,2,2,1,1,1,2,1,1
replacementbike548@163.com,2,2,2,0,1,1,1,1,2,0,2,2,1,2,0,1,1,2,2,0,2,2
foldingsnake113@yahoo.com,2,2,0,1,1,1,2,1,2,0,0,2,1,2,1,2,2,2,2,1,0,2
buriedwindow446@outlook.com,1,2,1,2,2,2,2,1,1,0,2,1,2,2,0,0,2,1,2,2,0,1
hotspice194@gmail.com,2,2,1,2,1,2,1,1,1,1,2,2,1,1,1,2,2,1,2,2,1,2
oldjeep399@outlook.com,1,1,2,0,1,2,2,2,1,1,2,2,1,2,1,2,1,2,1,2,0,2
oldcola533@yahoo.com,2,1,2,2,2,1,1,2,1,2,2,0,1,2,1,1,2,0,2,1,1,2
slightlyhat250@gmail.com,2,1,1,1,2,1,2,1,1,2,2,2,1,2,2,2,0,1,1,1,2,2
dirtyspice29@outlook.com,2,1,2,2,1,2,1,1,0,2,1,0,1,2,2,2,2,2,0,1,1,2
dailybeans446@yahoo.com,1,2,2,2,0,1,2,1,2,2,2,2,1,2,1,2,1,2,1,1,1,0
foldingsub921@gmail.com,1,2,2,2,2,2,1,1,2,1,1,2,2,1,2,1,2,1,2,1,1,1
freshycola999@yahoo.com,2,2,2,2,1,2,1,1,1,0,1,0,1,2,1,0,2,2,2,1,2,2
tiredhat606@qq.com,2,1,2,2,2,2,1,1,1,1,1,2,2,1,2,2,1,1,1,1,2,2
foldinghat916@yahoo.com,1,1,1,0,1,2,2,2,1,1,2,2,2,1,2,1,1,2,2,1,2,2
usedrug5@gmail.com,2,2,1,1,1,0,2,2,2,2,2,0,1,2,2,2,0,1,0,2,1,1
newsnake379@163.com,1,1,2,0,2,2,1,1,1,2,1,2,2,2,2,2,1,2,1,0,0,2
retiredskates875@outlook.com,2,1,0,1,2,1,1,2,1,2,2,2,1,2,1,2,1,2,1,2,0,2
oldblanket905@163.com,2,1,2,2,1,2,1,1,1,2,1,2,2,1,2,2,1,1,2,1,1,2
dailyhat533@outlook.com,0,0,1,2,1,2,1,1,2,2,2,2,2,0,1,2,1,1,2,2,0,2
fishywindow737@yahoo.com,2,1,1,2,2,1,1,2,1,1,2,2,2,0,2,1,2,2,0,1,1,2
dirtyshack540@gmail.com,1,2,2,1,2,1,0,1,1,2,1,2,2,1,2,2,1,1,2,1,2,2
deepshoes912@163.com,2,2,1,1,0,1,1,1,2,2,1,2,2,2,1,2,1,1,2,2,2,1
acientshoes397@163.com,2,2,1,0,2,1,1,1,2,1,2,2,2,2,2,1,1,2,1,2,1,0
coldsub774@yahoo.com,1,0,2,2,1,2,1,1,1,1,1,2,2,1,1,2,2,2,2,1,2,2
retiredjug229@yahoo.com,0,0,1,2,1,2,0,2,1,2,0,0,2,2,2,1,2,2,2,1,1,2
fishyjug479@qq.com,0,1,1,2,1,2,0,1,1,2,2,1,2,0,2,2,2,2,2,1,2,1
milkysub801@163.com,1,0,1,2,2,2,0,2,1,0,2,1,2,0,1,2,2,1,2,1,2,2
freshyrug42@qq.com,0,2,1,2,1,2,1,2,2,1,1,2,1,2,1,2,2,0,2,1,1,2
deepsub474@yahoo.com,1,1,2,2,2,2,1,2,1,1,2,1,2,2,2,1,1,1,0,1,2,2
oldhat392@163.com,2,2,2,2,2,0,0,1,1,2,2,0,1,2,1,1,2,1,2,2,1,1
lostblanket371@outlook.com,2,2,1,2,2,2,2,1,2,0,2,2,0,1,1,0,2,2,0,1,1,1
lostcola749@yahoo.com,2,0,1,2,2,1,2,0,2,2,2,2,0,0,2,0,0,2,0,2,1,1
mostlyshack522@163.com,2,2,2,1,1,1,1,1,2,0,2,1,2,0,2,2,0,1,2,1,2,2
replacementskates447@outlook.com,1,2,2,1,2,1,2,2,1,1,1,1,1,2,1,1,2,2,2,2,2,1
slimyspice540@163.com,2,1,1,1,2,2,1,1,1,2,1,2,1,2,2,1,2,1,2,2,1,2
milkydrum371@163.com,2,2,1,1,1,1,1,0,2,2,2,1,1,2,2,2,2,1,1,2,1,2
dryjug611@outlook.com,0,2,1,2,1,1,2,1,1,2,1,2,2,2,1,1,2,1,0,2,2,2
acientspice189@163.com,2,1,2,2,1,2,1,2,1,2,0,2,2,2,0,1,2,1,2,1,1,1
moistshack97@qq.com,2,2,1,2,1,2,2,0,1,1,1,0,2,2,1,2,0,1,1,2,2,2
soiledhat544@outlook.com,0,2,2,1,1,1,1,2,1,2,2,2,2,2,1,1,1,2,0,2,2,0
tiredtide263@outlook.com,0,2,2,1,2,1,2,0,2,1,2,2,1,2,1,2,1,1,2,2,1,0
foundhat456@outlook.com,1,2,2,0,1,2,1,2,2,2,2,0,2,0,1,2,2,1,2,1,1,0
drydrum859@outlook.com,2,2,2,0,1,1,1,2,2,1,1,2,1,2,2,2,1,1,0,2,0,2
buriedtire207@gmail.com,2,1,1,2,2,2,2,2,1,1,2,2,2,2,1,1,2,1,1,1,1,1
foldingdrum983@qq.com,2,2,1,1,0,1,1,2,2,2,2,2,1,1,2,2,1,2,1,1,2,0
lostspice859@gmail.com,0,2,2,2,2,1,1,0,2,1,2,1,2,0,1,2,2,1,1,1,2,2
usedcup447@yahoo.com,1,1,2,0,2,0,2,1,2,1,1,1,1,2,2,1,2,2,1,2,2,2
dailyshoes233@gmail.com,2,0,2,0,2,2,2,2,2,1,1,2,0,0,2,1,0,1,2,1,2,1
slimyhat636@outlook.com,2,2,2,2,2,2,2,1,1,1,1,0,1,0,2,1,1,1,2,2,0,2
soiledhat176@outlook.com,2,1,0,0,0,1,2,1,1,2,1,2,2,2,2,0,1,2,2,2,2,1
extrabread553@qq.com,2,1,1,1,2,0,2,0,2,2,0,1,1,1,2,2,1,2,2,1,2,2
deepshoes686@163.com,1,2,2,1,1,2,2,1,2,2,0,1,1,2,1,1,1,2,2,1,2,2
extrasub180@qq.com,0,2,1,0,1,2,1,1,1,1,2,2,2,2,2,2,1,1,2,1,2,2
slimywindow139@gmail.com,2,2,1,1,2,2,0,2,1,2,2,1,2,2,2,1,1,0,0,1,1,2
losthat823@gmail.com,1,1,2,0,2,1,1,1,2,1,2,2,0,2,1,0,2,2,1,2,2,2
slimyspice279@qq.com,2,1,1,0,2,1,2,1,2,0,2,0,2,2,2,2,2,1,1,2,0,1
deeptire624@163.com,0,1,2,2,1,2,1,2,0,0,0,0,2,2,2,2,0,1,1,2,2,2
foundsub934@gmail.com,1,2,2,2,1,0,2,2,2,2,1,2,1,0,1,0,2,1,0,2,2,1
extraspice523@gmail.com,0,2,2,2,1,2,2,1,2,2,1,0,0,1,2,1,1,1,2,2,2,0
clamyshirt500@qq.com,1,0,2,1,1,2,2,2,1,1,1,2,2,2,1,1,2,1,0,2,2,2
oldjug810@qq.com,2,1,2,1,1,2,2,1,2,2,1,2,1,2,0,1,2,1,0,2,1,2
lostshoes790@163.com,2,2,1,0,1,1,2,1,2,2,1,2,2,1,1,2,1,2,2,1,1,2
newchrysler335@outlook.com,2,0,1,0,0,2,2,2,2,1,0,2,2,0,2,1,1,2,2,2,1,0
hothat842@outlook.com,2,2,1,1,1,1,1,1,2,0,2,2,1,0,2,2,2,1,2,2,1,2
moistcup153@163.com,2,1,2,2,2,0,1,2,1,1,0,0,1,0,0,1,2,2,2,2,2,2
acientsub492@gmail.com,2,2,1,2,1,2,1,1,2,2,2,1,1,0,1,2,0,2,1,2,2,1
milkybread911@163.com,0,2,2,2,2,2,2,2,1,1,1,2,1,1,1,1,2,1,1,1,2,2
hotbike959@outlook.com,0,2,1,1,2,0,2,1,1,2,1,2,1,2,2,1,1,1,2,2,2,2
hotchrysler124@outlook.com,2,1,2,0,2,2,1,2,1,2,2,2,1,2,1,1,0,2,1,2,1,1
foundsnake177@163.com,1,1,1,2,1,1,2,2,2,2,2,1,1,2,2,1,1,2,2,1,1,2
newbeans365@qq.com,2,1,0,1,1,2,1,2,2,1,1,2,1,2,2,1,2,2,2,0,1,2
replacementbike875@qq.com,1,2,2,1,2,1,1,1,0,2,1,2,1,2,2,2,2,1,1,2,2,1
foundcup206@qq.com,1,1,1,2,1,2,2,1,2,1,1,2,2,0,2,2,1,1,1,2,2,2
replacementbeans236@outlook.com,1,2,1,1,2,2,2,2,1,2,0,2,1,1,2,1,1,2,2,1,1,2
slimyshoes43@qq.com,1,0,2,1,2,0,1,2,2,2,2,0,1,2,2,2,1,1,0,1,2,2
moistjeep527@outlook.com,1,2,2,0,2,0,2,1,2,0,0,2,0,1,1,1,2,2,2,1,2,2
newblanket921@yahoo.com,2,1,1,1,1,2,2,2,1,2,2,2,2,0,0,1,2,1,2,1,1,2
usedbike751@qq.com,2,1,2,1,2,2,1,2,1,2,1,1,2,0,1,2,2,1,2,1,2,1
replacementdrum150@163.com,0,1,0,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,1,2,2,2
fishyjug865@163.com,1,1,2,2,1,2,1,1,2,1,1,2,1,2,2,1,2,2,2,2,1,1
soiledtide149@qq.com,1,1,1,2,2,1,1,2,2,2,1,0,1,2,1,2,2,1,2,2,2,1
dryshoes626@gmail.com,2,2,2,1,0,2,2,1,1,1,2,2,1,1,2,2,1,1,2,2,1,1
usedrug746@outlook.com,2,2,2,2,1,2,1,2,1,0,2,0,1,2,0,2,1,1,0,2,0,2
milkyjug513@163.com,1,2,1,2,2,0,1,1,2,2,0,0,2,1,1,2,2,1,2,2,1,2
acientshoes215@outlook.com,2,0,1,2,1,2,1,2,1,2,1,2,0,0,2,2,2,2,0,1,2,1
deeptire245@qq.com,0,2,2,2,2,1,1,1,2,2,0,0,2,1,2,1,2,2,1,1,1,2
foldinghat824@qq.com,2,2,2,2,1,0,2,1,1,0,2,2,2,1,1,2,1,1,2,1,1,2
lostskates908@163.com,1,0,2,0,2,2,2,2,2,1,1,2,1,2,1,0,0,1,2,1,2,2
freshyshoes711@gmail.com,1,2,2,2,1,2,2,2,1,2,1,1,2,1,1,1,1,2,2,1,0,2
buriedjeep923@yahoo.com,1,0,2,1,2,2,2,2,1,2,2,1,2,1,1,1,2,1,1,1,2,2
foldingbike830@outlook.com,0,0,2,2,2,1,0,2,2,2,0,1,2,1,1,2,2,1,1,2,2,1
deepcola862@outlook.com,0,1,2,0,1,2,2,0,1,1,1,2,2,1,2,1,1,2,2,2,2,2
dailyskates789@outlook.com,2,2,1,1,2,2,2,0,1,1,2,0,2,0,1,1,2,1,2,2,2,0
soiledsub425@163.com,2,2,1,2,1,1,2,2,1,1,1,0,0,1,2,2,1,1,2,2,2,2
foldingwindow224@gmail.com,2,0,1,0,1,1,0,2,1,2,2,2,2,2,2,1,2,1,0,1,2,2
retiredbeans380@yahoo.com,1,1,0,0,1,2,1,1,1,2,2,1,2,2,1,2,1,2,2,2,2,2
foundshack747@outlook.com,2,2,2,2,1,1,1,1,2,1,2,0,1,2,1,2,2,1,1,2,2,1
soiledcup851@outlook.com,2,1,1,2,1,2,1,2,2,2,0,2,1,2,1,2,1,1,1,1,2,2
coldtire810@yahoo.com,1,1,2,2,2,0,1,2,1,2,1,1,2,1,2,2,2,2,0,1,1,2
dailydrum264@gmail.com,2,2,2,1,2,1,1,2,0,0,1,2,0,2,0,1,2,2,1,2,2,1
acientspice952@gmail.com,2,2,1,0,2,1,1,1,2,1,2,2,1,0,2,2,2,1,2,2,1,1
tiredsub722@163.com,2,0,1,2,2,1,0,2,1,2,0,0,2,2,1,1,1,1,2,2,2,2
dailytire90@gmail.com,2,1,1,2,2,1,2,0,1,2,0,2,1,2,0,2,2,1,1,1,2,2
newtire896@gmail.com,0,1,2,1,0,2,2,1,2,2,1,2,1,1,2,0,2,1,2,2,1,2
slightlycup6@qq.com,2,1,1,1,2,2,2,2,2,0,1,2,1,0,2,2,2,2,1,1,1,1
buriedblanket280@gmail.com,1,1,1,2,2,1,1,2,1,2,2,0,0,1,2,1,2,1,2,2,2,2
coldshoes621@gmail.com,1,2,1,2,2,2,1,2,1,2,2,1,2,1,1,1,1,2,1,2,1,2
tiredsub5@gmail.com,2,2,2,1,1,1,1,2,2,2,1,2,0,2,2,1,1,1,1,1,2,2
replacementspice591@163.com,1,1,1,0,1,2,2,0,2,2,2,0,2,0,1,2,0,2,2,1,2,2
slightlywindow137@qq.com,2,1,2,2,2,1,1,2,1,1,1,0,2,2,0,2,1,1,1,2,2,2
fishydrum599@163.com,1,1,2,0,1,2,0,2,2,2,1,2,1,2,1,2,2,1,1,2,2,1
tiredhat236@yahoo.com,2,0,1,2,2,2,2,2,0,0,2,0,1,2,1,1,1,2,2,1,2,1
newspice843@gmail.com,2,1,1,2,1,1,2,2,2,1,2,1,2,2,1,1,2,2,2,1,1,1
replacementcola583@163.com,1,0,2,2,2,2,1,1,2,1,1,2,1,2,1,1,2,2,1,2,1,2
milkytire691@qq.com,0,1,2,0,1,2,1,0,1,2,2,0,2,0,2,0,2,2,2,2,1,2
freshyspice871@qq.com,2,1,2,2,2,1,2,2,2,1,1,2,1,1,2,2,1,2,1,1,1,1
dailysnake707@qq.com,2,2,2,0,1,0,1,1,1,1,2,0,2,2,1,2,2,2,1,1,2,2
coldshack63@qq.com,2,2,2,1,1,2,2,1,1,2,1,2,1,2,1,1,1,2,0,0,2,2
extraspice708@qq.com,2,0,2,2,1,1,2,1,2,2,2,0,1,2,1,1,2,2,1,1,2,1
freshybread143@gmail.com,2,2,1,0,1,1,1,1,2,1,2,2,1,2,2,2,1,2,2,2,1,1
moistcup496@gmail.com,1,1,2,2,2,1,2,2,1,1,0,1,2,2,2,1,1,1,1,2,2,2
replacementdrum717@163.com,2,2,1,2,2,1,2,1,1,1,2,2,2,2,1,1,0,1,2,2,1,1
milkyblanket205@yahoo.com,2,2,2,2,0,1,1,2,2,2,2,0,2,0,1,2,1,1,2,1,1,1
lostwindow390@gmail.com,1,2,1,1,2,1,2,1,2,1,1,0,2,2,1,2,2,1,2,2,2,1
dirtyhat787@gmail.com,2,0,2,1,2,1,2,2,1,2,1,2,1,2,2,2,1,0,1,2,1,1
hotblanket968@163.com,2,1,1,1,2,1,1,2,1,1,1,1,0,2,2,2,2,2,2,1,2,2
newshoes633@163.com,1,1,1,2,2,2,1,1,2,2,2,1,0,1,2,1,1,2,2,2,2,1
deepskates63@qq.com,1,1,1,2,2,2,2,2,1,1,1,0,2,1,1,1,2,2,1,2,2,2
clamybeans775@outlook.com,1,2,1,1,1,2,1,2,2,2,2,2,2,1,1,1,2,1,1,1,2,2
oldchrysler191@qq.com,0,2,2,1,1,1,2,2,2,0,2,1,0,2,1,2,1,1,2,2,1,2
buriedshirt699@gmail.com,1,2,0,2,2,2,0,2,1,1,2,1,0,0,1,2,2,1,2,2,2,1
soiledsnake360@yahoo.com,2,1,2,0,2,1,2,1,2,2,1,1,1,1,1,2,2,2,0,1,2,2
