email,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14
dailytire690@qq.com,1,1,0,1,1,2,2,2,2,2,0,2,2,0
freshyhat343@gmail.com,2,2,2,1,2,0,1,1,2,2,2,1,1,1
tiredskates86@yahoo.com,2,2,1,2,1,2,2,1,1,2,1,0,1,2
dailyhat533@outlook.com,1,1,2,2,1,1,0,2,2,1,2,2,0,2
slightlytire36@qq.com,1,1,1,2,2,2,2,2,1,1,0,1,2,2
foundsub311@yahoo.com,2,1,1,2,0,0,0,1,2,2,2,2,0,2
slimytire345@gmail.com,1,2,2,1,1,2,2,2,1,1,2,2,1,1
tiredwindow970@163.com,2,1,0,2,1,0,2,2,1,2,2,1,1,2
moistwindow929@outlook.com,2,1,2,2,1,1,2,1,2,1,1,1,2,2
mostlyjeep956@outlook.com,1,2,1,2,2,2,0,1,0,1,1,2,2,2
newchrysler620@yahoo.com,0,2,2,1,1,0,2,1,0,2,2,2,0,2
hotshoes609@163.com,1,2,2,1,1,2,0,2,0,2,0,2,1,2
replacementsnake137@gmail.com,1,1,1,2,2,2,0,2,0,2,0,1,2,2
retiredjeep648@163.com,1,2,0,1,2,2,2,0,2,1,2,1,2,1
hotspice48@qq.com,2,1,1,1,2,2,0,1,2,2,2,0,2,1
soiledrug494@163.com,1,1,1,2,1,2,1,2,2,1,2,2,2,0
replacementbike875@qq.com,1,2,2,1,2,2,1,2,1,2,0,1,2,1
extrachrysler578@outlook.com,1,1,2,1,2,2,1,2,2,1,0,1,2,2
slightlytire158@163.com,1,1,0,1,2,2,2,2,1,2,2,2,1,0
usedspice992@gmail.com,2,1,1,1,2,1,2,2,2,1,2,1,1,2
moistwindow556@yahoo.com,1,1,0,1,1,1,2,2,0,2,2,2,2,2
foundtire657@outlook.com,2,2,2,2,2,1,1,1,0,0,1,2,2,1
freshyspice204@outlook.com,1,1,1,1,1,2,2,1,0,2,2,2,2,2
tiredshack292@gmail.com,0,2,2,2,2,1,0,2,1,2,1,1,0,2
foldinghat824@qq.com,2,2,1,2,1,1,1,2,1,2,2,1,1,2
mostlyspice474@yahoo.com,2,2,1,2,1,0,2,1,2,1,2,2,1,0
deeprug165@outlook.com,2,1,1,2,2,1,1,2,2,1,1,2,1,2
clamyblanket565@outlook.com,2,1,2,1,2,0,2,2,1,1,2,2,0,0
freshytire380@163.com,2,1,2,1,2,2,2,1,0,2,1,1,2,0
mostlytire131@gmail.com,2,1,2,2,1,0,0,2,2,2,0,1,1,2
slightlyjug254@yahoo.com,2,1,1,1,2,2,1,1,1,2,2,0,2,2
buriedtire367@163.com,2,1,2,2,1,1,0,2,0,1,2,0,2,2
replacementsub16@163.com,2,2,1,2,2,1,1,1,1,1,0,2,2,2
milkyshoes505@gmail.com,2,1,0,2,2,0,2,2,2,1,0,1,2,1
fishybeans673@163.com,2,1,1,2,1,1,2,1,0,2,2,2,2,0
slimyrug453@gmail.com,1,2,1,2,1,1,1,1,0,2,2,2,2,2
replacementshoes858@gmail.com,1,1,2,1,2,1,2,1,1,2,2,2,1,2
slimycola966@outlook.com,1,2,1,2,2,0,2,1,0,2,2,1,2,0
coldsub442@outlook.com,1,2,1,2,1,0,0,2,1,2,2,1,2,2
moistshoes897@163.com,1,2,2,2,2,1,0,2,1,2,1,1,0,2
soiledjug360@yahoo.com,2,2,2,1,1,2,0,2,2,0,1,2,1,0
freshytide573@yahoo.com,2,2,1,1,1,0,1,2,2,2,2,1,2,1
usedblanket979@163.com,2,2,1,1,1,0,2,2,1,2,2,1,1,2
foundbeans7@163.com,2,1,1,2,1,2,2,2,0,1,2,1,2,0
buriedspice689@qq.com,2,1,2,1,2,0,0,1,2,2,1,1,2,2
acientblanket702@qq.com,2,1,1,2,2,2,2,1,2,2,0,1,1,0
milkybread750@gmail.com,2,2,1,2,1,1,2,2,1,1,2,1,1,2
mostlyrug473@gmail.com,1,2,1,2,2,2,0,1,2,2,0,2,1,1
oldchrysler227@outlook.com,1,2,1,1,2,1,2,1,1,2,2,1,2,2
slimycola683@outlook.com,1,2,2,1,1,0,2,1,2,2,1,2,1,2
milkysub116@yahoo.com,1,1,1,1,1,2,2,2,2,2,0,2,1,2
hotspice715@163.com,2,2,1,1,1,0,0,1,1,2,2,2,2,2
replacementskates795@outlook.com,1,1,1,2,2,2,2,2,1,1,1,1,2,2
oldjug372@gmail.com,2,1,2,2,1,1,2,1,0,1,2,2,2,0
buriedcup356@outlook.com,2,1,0,2,2,0,2,1,2,2,2,1,1,0
dailybeans459@qq.com,1,2,1,2,1,1,2,2,1,2,0,1,2,2
clamywindow198@outlook.com,2,2,1,2,1,2,2,1,2,2,1,1,1,1
tiredskates27@163.com,1,1,2,1,2,2,0,2,0,2,2,1,2,1
extrawindow359@outlook.com,2,1,1,2,1,2,0,2,2,2,2,1,1,1
milkytide545@gmail.com,1,1,0,2,2,1,2,2,1,2,2,1,1,2
coldrug976@yahoo.com,2,1,0,1,2,2,2,2,2,1,0,1,2,0
freshyskates489@yahoo.com,2,1,0,2,2,2,0,1,2,2,1,2,1,0
usedjeep501@outlook.com,1,1,2,2,2,1,2,1,1,2,2,1,1,2
clamyspice37@gmail.com,2,2,1,2,1,0,2,2,1,0,2,0,0,2
foldingtide515@qq.com,1,2,1,2,1,2,1,2,2,2,1,1,1,2
lostrug937@outlook.com,2,1,1,2,2,0,2,1,1,2,2,0,1,2
drywindow184@qq.com,2,2,2,1,2,2,0,1,2,0,0,1,1,2
acientspice814@outlook.com,1,2,1,1,2,0,2,1,2,2,2,1,1,2
replacementsnake840@yahoo.com,2,1,1,2,2,1,2,1,2,2,2,1,1,1
usedspice635@gmail.com,2,2,1,1,1,2,2,1,1,1,2,1,2,2
soiledbeans664@outlook.com,2,1,1,2,1,0,2,2,2,1,0,2,0,2
coldsub278@yahoo.com,2,1,2,1,2,0,1,2,2,2,0,1,1,2
replacementbeans236@outlook.com,0,1,1,2,1,0,2,1,2,2,2,2,1,2
slightlywindow508@gmail.com,1,0,2,2,2,1,1,2,2,1,2,1,2,1
slimyspice540@163.com,2,1,0,2,2,0,1,2,0,2,0,1,2,2
soiledrug174@163.com,2,2,1,2,1,2,2,2,1,2,1,0,1,1
foundjeep250@qq.com,2,2,1,2,1,1,2,1,0,2,1,2,2,1
foldingbread553@outlook.com,1,2,1,2,1,2,2,1,2,1,2,1,2,1
retiredsub891@163.com,2,1,2,0,2,0,0,1,2,2,0,1,2,2
oldbeans441@qq.com,1,1,2,1,2,1,0,2,2,0,2,2,2,1
buriedshirt115@yahoo.com,0,2,1,2,2,0,0,1,2,2,2,1,0,2
foldingwindow54@yahoo.com,2,2,1,2,1,1,0,2,1,2,2,1,2,1
hotwindow293@gmail.com,1,1,2,1,2,2,2,2,0,1,1,2,0,2
dirtyspice38@163.com,1,2,2,1,1,2,0,0,1,1,2,2,2,2
slightlychrysler739@yahoo.com,1,2,2,1,1,2,0,2,1,2,0,1,2,2
deepshirt742@gmail.com,2,1,2,1,1,2,2,1,1,1,1,2,2,2
milkysub209@outlook.com,2,1,2,2,1,0,2,1,1,2,1,0,2,2
dryrug490@yahoo.com,1,1,2,1,2,0,2,2,0,2,1,2,1,2
retiredspice520@163.com,0,1,1,0,2,1,2,2,2,0,2,1,2,2
milkydrum700@yahoo.com,2,2,2,2,1,1,2,1,1,1,2,0,1,2
dailywindow783@qq.com,2,1,2,1,2,2,2,2,1,1,2,1,1,0
fishybike502@qq.com,1,2,1,2,2,2,0,2,2,1,1,1,2,1
dryshirt414@163.com,2,1,2,2,1,1,2,1,1,2,2,1,2,0
dirtysnake317@163.com,1,2,1,2,1,2,1,2,2,2,0,1,1,2
hotcup999@163.com,1,2,1,2,1,2,0,1,0,2,0,2,2,2
buriedbeans162@outlook.com,2,1,2,1,2,1,1,1,2,2,2,2,1,0
drysub137@outlook.com,2,1,1,2,2,1,2,2,0,1,2,1,2,1
soiledshoes971@163.com,2,1,2,1,2,0,2,2,1,2,0,1,1,2
slimyrug81@yahoo.com,1,2,2,2,1,0,2,1,1,2,2,1,2,0
coldsnake463@outlook.com,2,2,2,1,1,0,2,1,2,1,2,2,1,1
retiredtire193@yahoo.com,2,1,1,1,2,2,0,1,1,2,2,1,2,2
dirtyjug352@gmail.com,2,2,1,1,1,0,2,1,2,2,2,2,1,1
dailybike530@gmail.com,2,2,1,2,1,0,1,1,2,2,0,1,2,2
foundjeep958@gmail.com,1,2,1,2,1,2,2,1,0,1,2,2,1,2
newskates92@gmail.com,0,2,2,0,1,1,0,2,1,2,2,2,0,2
slightlytide674@outlook.com,1,2,0,2,1,0,2,1,2,2,2,1,1,2
foundbike537@163.com,2,1,1,2,2,0,1,2,2,1,0,1,2,2
usedjeep164@yahoo.com,2,1,1,0,2,2,2,2,1,2,1,1,2,0
hotsub233@gmail.com,1,2,2,1,2,1,1,2,2,2,1,1,1,2
acientbeans987@gmail.com,2,1,1,1,2,1,2,1,2,2,0,1,2,2
freshydrum128@qq.com,1,2,2,2,2,2,1,1,2,0,1,1,2,1
soiledsub246@outlook.com,2,2,0,2,1,0,0,2,0,2,0,1,2,2
oldblanket905@163.com,2,1,2,2,1,2,2,1,2,1,1,2,1,1
buriedsnake868@qq.com,1,2,1,1,2,2,2,1,1,1,2,0,2,2
extrahat650@yahoo.com,1,2,1,2,2,0,0,1,2,1,1,2,2,2
oldwindow763@yahoo.com,1,2,1,1,1,2,2,2,1,2,1,1,2,2
usedspice345@gmail.com,2,1,2,2,1,2,2,2,1,1,2,1,1,1
soiledbike20@gmail.com,2,1,1,1,1,2,2,2,1,2,2,1,2,0
acientbread947@163.com,2,2,1,1,1,0,0,1,0,2,2,2,2,2
deepshoes686@163.com,1,2,1,0,2,0,2,1,2,2,2,0,2,1
soiledskates976@163.com,2,1,1,1,1,2,2,1,2,1,2,2,2,0
hotskates911@qq.com,0,1,1,2,2,2,0,2,0,2,1,1,2,2
fishyhat971@outlook.com,2,2,2,2,1,0,1,1,1,1,2,1,2,2
slimyjeep670@gmail.com,1,2,0,1,2,2,0,1,0,2,2,2,2,0
foundrug2@yahoo.com,2,2,1,1,2,2,0,2,0,1,2,1,1,2
foldingskates208@gmail.com,2,1,2,2,1,2,2,1,2,1,0,2,1,0
slimydrum148@outlook.com,2,2,2,2,1,0,1,1,0,1,1,2,2,2
dailybeans446@yahoo.com,2,2,2,1,2,1,2,1,2,0,2,0,1,0
lostskates470@gmail.com,1,2,2,1,1,2,0,1,2,2,2,1,2,0
dryjeep934@gmail.com,2,2,0,1,2,2,2,1,1,2,1,1,2,0
deepshoes912@163.com,2,2,0,1,1,1,1,2,2,0,2,2,2,1
soiledbread354@gmail.com,1,2,1,2,1,2,2,1,2,2,1,0,1,2
replacementbike38@yahoo.com,2,2,1,1,1,2,0,2,0,2,1,2,0,2
retiredwindow436@gmail.com,1,1,1,2,2,0,2,2,1,2,2,1,1,2
moistcola824@gmail.com,1,2,1,1,1,2,2,1,0,1,2,2,2,2
clamytire323@outlook.com,2,2,0,1,0,2,0,2,1,2,2,1,1,2
dirtybeans14@163.com,1,2,1,2,1,1,2,1,2,1,2,1,2,2
dailycola319@yahoo.com,2,2,2,1,2,2,0,1,0,1,1,1,2,2
foldingcup778@outlook.com,0,1,2,2,2,1,0,2,0,1,2,1,2,2
buriedjeep923@yahoo.com,1,1,1,1,2,2,2,2,2,1,1,1,2,2
acientchrysler809@gmail.com,1,2,2,2,1,0,2,1,2,1,1,2,2,1
fishyrug380@163.com,2,1,2,2,1,2,2,1,0,2,1,2,1,0
foundhat456@outlook.com,2,2,2,0,1,2,0,1,2,0,2,2,1,0
newshirt323@gmail.com,1,2,2,1,1,2,2,1,1,2,2,1,2,1
replacementsnake675@outlook.com,2,1,2,1,1,2,0,2,2,1,2,1,2,1
fishyshirt859@outlook.com,2,2,2,2,2,2,0,1,1,1,0,1,2,1
foldingcup786@163.com,1,2,1,1,1,2,2,2,2,1,1,1,2,2
soiledrug889@gmail.com,1,2,2,2,1,2,2,2,0,1,1,2,1,0
usedrug5@gmail.com,2,2,1,2,1,0,2,1,1,1,2,2,2,1
slimycup306@yahoo.com,1,2,1,2,1,1,2,2,2,1,1,1,2,2
foundhat698@outlook.com,2,2,1,1,2,0,2,2,1,1,1,2,2,1
usedcola992@yahoo.com,2,2,1,2,1,1,2,1,1,0,0,2,2,2
hotspice194@gmail.com,1,1,2,1,1,0,2,2,2,2,1,2,1,2
clamyrug518@163.com,2,2,2,1,2,0,1,2,1,1,2,2,1,0
buriedjug172@yahoo.com,1,2,1,0,2,2,0,1,2,0,2,2,1,2
retiredchrysler146@outlook.com,1,2,1,1,1,0,2,2,2,2,2,1,1,2
lostblanket503@163.com,2,1,1,2,2,0,0,2,0,1,2,1,2,2
foldingcola28@yahoo.com,2,2,0,2,1,1,1,1,1,2,2,2,1,2
foldingrug197@outlook.com,1,2,1,2,1,2,2,1,0,2,0,2,1,2
foundjug643@yahoo.com,2,0,1,1,1,2,2,1,1,2,2,2,2,1
fishytire372@gmail.com,2,1,1,1,2,1,2,2,2,2,1,2,1,1
oldchrysler964@163.com,0,1,2,2,1,2,0,2,1,2,0,2,1,2
dirtyspice235@outlook.com,2,2,1,1,1,0,2,2,1,1,2,2,1,2
slimybread561@yahoo.com,1,2,2,1,2,1,2,2,1,1,1,2,2,1
fishyblanket809@outlook.com,1,1,0,2,2,2,2,1,1,2,1,1,2,2
dryjug611@outlook.com,1,2,1,1,1,2,2,2,1,2,0,2,2,0
usedskates18@gmail.com,2,2,2,1,2,1,2,1,0,2,2,1,1,1
buriedtide794@163.com,1,2,2,2,1,0,0,2,1,2,2,0,2,0
soiledsub160@yahoo.com,1,2,1,1,1,2,0,2,2,1,2,2,2,1
slightlyspice55@gmail.com,2,1,1,1,2,1,2,1,2,2,0,2,0,2
lostspice859@gmail.com,1,1,2,2,2,1,2,2,0,1,2,1,1,2
slimyjeep386@163.com,1,1,2,1,2,1,2,2,1,2,1,2,2,0
retiredbeans380@yahoo.com,1,1,1,2,2,1,2,1,2,1,0,2,2,2
mostlyjug823@yahoo.com,1,2,1,1,2,0,2,2,0,1,2,2,2,1
foundtire912@qq.com,2,2,2,1,2,2,2,1,2,1,0,1,1,1
replacementdrum717@163.com,2,2,1,2,2,0,2,2,1,2,1,0,0,1
buriedspice285@outlook.com,1,2,2,1,2,0,1,1,2,0,0,2,2,2
soiledcup851@outlook.com,0,1,1,2,2,0,2,2,2,1,0,1,2,2
dirtysnake957@gmail.com,2,1,1,0,2,1,0,2,1,2,1,2,2,2
slimybeans511@qq.com,2,1,2,1,1,2,0,2,2,1,2,1,1,2
newchrysler981@gmail.com,1,2,1,1,1,2,1,2,2,1,2,0,2,2
newbread192@gmail.com,2,1,2,1,2,1,2,2,1,2,0,2,1,1
mostlyblanket953@163.com,2,1,1,1,2,2,1,2,2,1,1,2,2,0
burieddrum15@gmail.com,2,2,2,1,1,0,0,1,1,0,2,2,2,2
lostwindow390@gmail.com,1,1,2,1,2,1,1,2,2,1,2,2,2,1
mostlychrysler381@qq.com,1,1,1,2,1,1,2,2,2,1,2,2,2,1
clamyjeep153@163.com,1,2,2,1,1,1,0,2,2,2,2,1,1,2
dailytire90@gmail.com,2,1,2,1,1,1,2,2,1,2,0,1,2,2
dailybread940@yahoo.com,1,1,1,1,1,2,2,2,1,2,1,2,2,2
moistdrum752@qq.com,0,1,1,2,0,2,0,2,1,2,0,2,2,2
dirtyshack540@gmail.com,1,2,0,0,1,2,1,2,1,2,1,2,2,2
slimyjeep502@163.com,2,1,1,2,2,1,2,1,2,2,2,1,1,1
foundshack537@qq.com,1,2,2,1,2,2,1,1,1,2,2,1,1,2
drybread918@gmail.com,1,1,2,2,2,2,2,1,1,2,0,2,1,0
deepcola862@outlook.com,1,1,1,2,2,2,0,1,0,2,2,1,2,2
newshirt132@yahoo.com,0,2,2,2,1,0,2,1,1,2,0,1,2,2
coldshirt926@163.com,2,1,1,1,1,2,1,1,2,2,2,2,2,1
foldingtide607@gmail.com,1,1,2,2,2,2,2,1,2,0,1,0,1,2
dirtysub288@163.com,2,2,1,1,2,1,2,1,2,2,1,2,1,1
fishyspice176@qq.com,2,1,1,1,2,2,0,1,2,1,2,1,2,2
retiredsnake534@outlook.com,1,1,2,2,2,1,2,2,1,2,0,2,1,1
clamyjug230@qq.com,1,1,1,1,2,2,2,1,2,1,2,2,1,2
acientchrysler884@163.com,1,1,2,2,2,2,2,2,1,1,0,2,1,1
deepblanket891@outlook.com,1,2,2,1,1,1,2,2,1,2,1,2,2,1
foldinghat916@yahoo.com,1,1,2,2,0,1,1,2,1,2,2,1,2,2
dirtywindow29@163.com,1,2,0,2,1,2,2,1,1,2,1,2,1,2
soiledspice423@gmail.com,2,2,1,2,2,2,0,1,0,2,0,1,0,2
usedtire882@163.com,2,1,1,2,2,1,2,2,1,1,1,1,2,2
deepshoes823@gmail.com,2,2,1,2,1,1,2,1,2,0,0,2,2,1
moistbike627@163.com,1,1,1,1,2,2,1,1,2,1,2,2,2,2
dryshoes626@gmail.com,2,2,2,1,1,2,1,2,1,1,2,2,1,1
freshywindow29@163.com,2,1,0,1,1,2,2,1,2,2,2,2,1,0
newbike169@gmail.com,2,2,0,2,1,2,0,1,2,0,1,1,2,2
buriedtire678@yahoo.com,2,2,1,1,1,0,2,2,1,2,2,1,1,2
oldshirt546@gmail.com,2,1,2,2,1,2,0,1,1,0,2,2,2,1
clamyshirt749@163.com,1,2,2,1,1,2,2,2,1,1,2,2,0,0
slightlychrysler353@qq.com,2,1,1,2,2,2,1,1,0,1,2,2,2,1
dailyrug68@gmail.com,2,1,1,1,2,0,2,1,2,1,0,2,2,2
slightlycup905@outlook.com,1,2,2,1,2,1,2,1,1,2,0,2,2,0
dryskates413@yahoo.com,1,1,2,2,1,1,2,1,2,1,1,2,2,2
milkytire820@gmail.com,1,2,2,2,1,0,2,2,1,1,2,1,1,2
soiledhat176@outlook.com,2,1,0,1,2,2,2,2,0,0,2,2,1,0
deepbeans875@qq.com,2,2,2,1,1,0,0,2,1,2,2,1,2,1
milkyrug604@yahoo.com,2,1,1,2,2,0,2,2,0,1,0,2,2,0
clamysnake715@gmail.com,1,2,1,1,1,2,2,2,2,2,0,1,2,1
freshytire179@outlook.com,1,1,2,2,2,2,2,1,2,1,1,1,1,2
freshyspice185@qq.com,2,2,0,2,1,0,0,1,1,1,2,2,2,2
foldingskates420@gmail.com,1,2,2,1,0,2,2,1,2,1,1,2,1,2
coldsnake27@gmail.com,2,1,2,2,1,2,0,2,2,0,2,0,1,0
usedbread568@163.com,1,2,1,1,2,0,2,2,2,2,0,1,1,2
hottide167@outlook.com,2,1,1,2,1,2,2,1,2,1,2,1,1,2
newbike501@163.com,0,1,2,1,0,2,2,1,2,2,1,2,2,1
retiredcola606@qq.com,2,2,1,2,1,2,1,2,1,1,2,1,1,2
soiledblanket200@gmail.com,2,2,2,2,1,2,1,2,2,1,1,1,1,0
hotbike829@163.com,1,2,2,2,2,0,1,1,1,1,1,2,2,2
freshyjug894@yahoo.com,1,2,2,2,2,0,1,1,1,2,2,0,1,2
fishycola451@outlook.com,1,1,1,1,1,2,2,2,2,1,2,2,2,1
replacementsub369@qq.com,1,2,2,1,2,1,1,2,2,2,2,1,0,1
slightlydrum888@yahoo.com,2,2,1,2,1,2,1,1,2,2,1,1,1,2
freshyrug42@qq.com,2,2,1,1,2,2,2,1,0,2,1,2,1,1
foldingbike830@outlook.com,2,2,1,1,2,0,2,1,2,1,2,0,2,0
clamyspice948@outlook.com,2,0,1,2,2,1,0,2,1,1,2,1,2,2
clamybike977@163.com,2,2,1,2,1,1,2,1,2,2,0,1,1,2
slightlyhat58@gmail.com,2,2,0,1,1,1,2,1,2,2,2,2,1,1
acientbread18@outlook.com,2,1,2,1,2,2,0,1,1,2,2,2,1,1
dirtytire674@outlook.com,1,2,1,2,1,1,2,2,2,1,1,1,2,2
lostblanket281@qq.com,1,2,1,2,1,1,2,2,2,1,0,0,2,2
slightlybike13@yahoo.com,0,1,2,1,2,2,2,2,2,1,1,2,1,0
hotblanket621@gmail.com,2,1,1,1,2,2,2,1,1,2,1,1,2,2
dryjeep915@163.com,2,2,2,0,1,1,0,2,1,2,0,2,2,1
usedshirt122@163.com,2,2,0,1,1,1,0,2,2,1,2,2,0,2
milkyhat906@gmail.com,2,1,2,2,1,0,2,1,2,1,1,2,2,1
buriedblanket902@outlook.com,1,2,1,1,0,2,0,2,2,2,0,1,2,2
freshyrug186@163.com,2,2,2,2,2,1,0,2,1,1,1,1,2,0
coldrug83@yahoo.com,2,2,0,2,1,2,1,2,1,1,2,1,2,1
hotwindow664@163.com,1,0,2,1,2,0,2,1,0,2,2,2,1,2
usedcola410@outlook.com,1,1,0,2,1,2,2,2,2,1,0,2,2,1
clamybeans775@outlook.com,2,1,1,2,1,1,2,1,2,1,2,1,2,2
lostskates238@qq.com,2,2,2,2,2,2,0,2,1,1,1,1,1,0
hotbike143@outlook.com,2,1,2,1,1,2,2,1,2,1,1,2,1,2
retiredblanket121@163.com,2,1,1,1,2,1,2,1,1,2,2,0,2,2
slightlywindow776@yahoo.com,1,2,1,1,2,0,1,2,2,2,2,1,1,2
deepshack742@gmail.com,1,2,0,2,1,1,2,1,2,2,1,0,2,2
mostlyrug152@qq.com,1,2,1,2,1,0,2,1,1,2,2,2,1,2
milkysub801@163.com,0,1,1,2,1,2,1,2,1,2,1,2,2,2
hotshack645@163.com,2,1,1,2,1,1,2,2,2,2,1,0,0,2
coldhat974@gmail.com,1,2,2,0,1,0,2,1,2,2,2,1,1,2
slimybeans326@gmail.com,2,2,2,1,1,2,1,2,1,1,2,1,2,1
slightlyrug271@yahoo.com,2,1,1,1,2,2,1,1,2,1,2,2,2,1
fishybike986@qq.com,1,2,1,2,2,1,2,1,2,1,1,2,1,2
newcola758@qq.com,2,1,2,1,2,2,2,1,2,1,1,0,1,2
newrug832@163.com,2,2,2,2,2,0,2,1,2,1,1,1,0,0
acientjeep537@163.com,2,1,1,1,2,1,2,1,2,2,0,1,2,2
drysnake580@gmail.com,0,1,2,1,1,2,2,2,2,2,1,1,1,2
freshycup995@163.com,1,2,1,1,2,2,2,2,2,1,2,1,1,0
foldingcola121@163.com,2,2,1,1,2,2,2,2,0,2,0,1,1,0
deepbread546@qq.com,2,1,2,1,1,2,1,1,1,2,2,1,2,2
buriedcola618@gmail.com,0,1,2,1,1,1,2,2,2,2,1,2,1,2
replacementtide600@outlook.com,1,2,1,0,1,0,2,2,2,1,2,1,2,2
dailywindow992@gmail.com,2,0,0,2,2,1,2,2,0,2,1,1,2,0
dirtysnake278@outlook.com,1,2,2,1,1,2,0,2,2,2,2,1,1,1
slightlybread907@outlook.com,2,1,1,2,2,0,2,2,0,2,0,2,1,1
newblanket921@yahoo.com,2,1,1,1,2,2,0,1,2,1,2,1,2,2
replacementskates478@yahoo.com,1,1,2,2,1,2,2,2,2,2,0,0,0,1
hotrug940@gmail.com,2,2,2,2,1,1,2,2,0,1,0,2,1,0
usedrug645@yahoo.com,1,1,2,1,2,0,2,1,1,2,0,2,2,2
acientbike19@outlook.com,0,1,2,2,2,2,2,1,0,2,1,2,1,1
replacementskates447@outlook.com,1,2,1,1,2,2,0,1,2,1,2,2,2,1
slightlyshirt196@outlook.com,2,2,1,2,2,1,0,1,2,1,0,2,2,1
usedwindow885@yahoo.com,1,1,2,2,1,2,2,1,2,1,2,1,0,2
deepsnake600@yahoo.com,2,2,2,1,2,2,0,0,2,1,2,1,1,0
slightlyhat250@gmail.com,2,1,2,1,1,2,2,1,1,2,0,0,2,2
coldcup782@qq.com,1,2,1,1,2,2,1,2,1,2,2,2,1,0
oldcup634@yahoo.com,2,1,1,2,2,2,2,1,2,1,0,1,1,2
dirtybeans888@outlook.com,2,1,1,2,1,2,2,2,1,2,1,2,1,1
dailyblanket972@163.com,1,2,1,2,1,2,1,2,1,0,1,2,2,2
freshyblanket453@gmail.com,1,1,2,2,1,2,2,1,0,2,1,2,2,1
coldcola526@163.com,0,2,2,2,2,0,2,1,0,0,2,2,1,0
fishysnake533@yahoo.com,2,1,2,1,1,2,2,1,1,2,2,2,0,0
newwindow185@outlook.com,2,1,2,2,2,2,1,2,2,1,1,1,1,1
extraspice523@gmail.com,2,2,2,2,1,2,0,1,0,1,2,1,2,0
moistcup626@163.com,1,1,1,1,2,1,2,2,2,0,2,2,2,1
extraskates465@qq.com,1,1,0,2,2,1,2,2,2,1,1,1,2,2
replacementshack38@163.com,2,2,1,2,1,1,0,2,1,2,2,1,1,2
newwindow655@qq.com,1,2,2,1,2,1,0,1,1,1,2,2,2,2
losthat457@163.com,2,1,2,1,2,2,0,2,1,1,1,2,2,0
fishyshack946@163.com,2,1,1,2,1,0,2,1,2,1,2,2,1,2
usedsub254@gmail.com,1,2,1,2,2,0,0,1,1,1,2,2,2,2
