email,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28
dailybeans459@qq.com,1,2,1,2,1,2,2,1,2,2,1,1,0,0,2,2,2,2,1,1,1,2,1,2,0,1,2,2
clamybread980@163.com,2,2,2,2,2,0,0,1,0,2,0,1,0,0,2,0,1,2,2,2,1,2,2,0,0,2,2,1
acientspice814@outlook.com,1,2,1,1,2,1,2,1,2,2,2,1,2,0,2,1,1,2,2,2,2,1,1,2,0,1,1,2
replacementbeans194@yahoo.com,1,0,2,0,2,2,0,1,1,2,0,2,2,2,2,0,0,2,1,2,1,2,2,0,0,1,2,2
mostlycup968@yahoo.com,2,1,2,1,2,2,2,1,2,1,0,1,2,1,1,2,1,1,2,1,1,2,2,1,2,1,2,2
acientbread736@163.com,1,1,1,2,1,2,2,2,2,2,2,2,1,2,1,0,0,2,1,2,1,1,1,2,0,2,1,2
foundjeep250@qq.com,2,2,1,1,2,0,2,1,1,2,0,1,0,2,2,2,1,2,2,1,1,2,2,2,0,2,1,1
moisthat761@outlook.com,2,1,1,2,1,1,2,2,0,2,2,1,2,2,2,0,2,2,2,2,1,1,2,0,1,1,1,1
oldbread551@yahoo.com,2,1,1,2,1,2,1,2,2,1,2,1,2,1,2,0,2,1,0,2,1,2,2,0,2,1,2,0
oldchrysler227@outlook.com,2,1,2,1,2,1,1,2,2,2,0,2,1,2,2,1,1,1,2,1,1,1,2,2,2,1,1,2
extrabike590@outlook.com,1,2,1,1,2,2,1,2,2,2,2,1,2,1,2,2,2,1,0,1,1,2,0,1,0,2,1,2
slimyspice279@qq.com,1,1,2,1,1,1,2,2,1,1,2,1,0,1,2,0,2,2,2,2,2,2,2,0,0,2,2,1
newtire220@outlook.com,2,0,2,1,1,2,1,2,1,2,2,1,0,0,2,1,2,1,2,2,2,2,2,0,2,1,1,1
oldchrysler964@163.com,1,2,2,2,0,0,2,0,2,1,0,2,1,1,2,0,2,2,1,1,1,2,2,1,1,2,2,2
newchrysler620@yahoo.com,1,2,2,2,1,1,0,1,2,1,2,2,0,2,0,2,2,2,1,2,1,0,2,0,0,2,1,2
replacementshoes847@qq.com,2,2,2,0,2,0,2,0,0,0,2,2,1,2,2,2,2,1,1,1,2,1,2,0,2,0,1,1
fishybike986@qq.com,2,2,1,2,1,2,2,1,1,0,2,2,1,2,1,1,1,0,2,2,1,2,1,1,0,2,2,2
newsnake550@yahoo.com,1,2,2,0,2,2,0,1,1,1,1,2,2,2,1,2,2,1,2,2,1,1,1,0,0,2,2,2
hotwindow425@yahoo.com,1,0,1,1,1,2,2,2,0,1,2,1,2,1,2,0,1,2,2,1,1,2,2,2,2,1,2,2
deepcola862@outlook.com,1,0,2,2,2,1,1,2,2,1,0,1,0,2,2,0,1,2,1,2,1,0,0,2,2,2,2,2
foldingsub921@gmail.com,1,2,2,2,2,1,2,1,1,2,2,1,2,1,2,2,2,1,1,2,1,2,2,0,0,1,0,1
soiledshack25@qq.com,2,0,2,0,2,2,2,1,0,2,2,1,1,2,2,2,0,0,2,1,1,1,2,2,2,1,0,1
fishywindow973@outlook.com,1,1,1,2,1,2,1,2,1,2,1,2,1,0,1,2,1,2,2,2,2,0,2,0,0,2,2,2
lostblanket281@qq.com,1,2,2,1,2,1,2,2,1,2,2,1,1,2,1,2,0,1,2,2,2,1,1,0,2,1,2,1
slightlydrum888@yahoo.com,2,2,1,2,1,2,1,1,2,2,0,2,1,2,1,2,2,0,1,1,2,1,2,0,2,0,1,2
slightlycup905@outlook.com,0,2,1,2,1,1,2,1,2,1,2,2,0,2,2,1,0,2,1,1,2,2,1,2,0,2,0,2
milkydrum471@163.com,2,1,2,1,1,1,2,2,2,2,0,2,1,2,0,2,0,1,2,1,2,1,2,2,0,2,1,1
acientbike19@outlook.com,2,2,2,2,2,2,1,1,2,1,2,1,1,1,0,2,1,1,2,2,2,1,0,1,0,2,2,1
slimyshirt299@163.com,2,1,1,2,1,2,0,1,2,1,2,1,2,2,1,0,2,2,2,1,1,1,2,2,2,2,1,1
replacementspice799@qq.com,2,2,1,0,0,2,2,2,2,1,1,2,1,2,1,1,1,1,2,1,1,2,2,2,2,0,2,1
foldingtire66@outlook.com,2,0,1,1,2,2,2,1,2,2,2,0,2,1,2,0,1,2,0,2,1,0,1,0,0,2,2,2
mostlyrug653@gmail.com,2,2,1,2,2,1,2,2,1,2,1,2,1,2,2,2,1,2,0,1,2,1,0,1,1,1,2,1
fishywindow737@yahoo.com,2,2,1,2,2,0,1,2,1,1,1,2,1,2,2,0,1,2,2,2,2,1,1,2,1,1,1,2
drysnake204@gmail.com,2,0,2,1,2,0,2,0,2,2,2,2,0,2,2,0,2,1,1,1,2,1,1,0,0,1,2,2
tiredsnake664@outlook.com,2,0,1,2,1,0,2,2,2,0,2,1,1,2,0,2,2,0,2,2,1,2,2,0,0,0,1,2
hottide136@yahoo.com,2,0,2,1,2,1,2,0,0,2,0,2,2,2,2,0,2,1,2,1,1,2,0,0,2,2,1,1
deepshoes686@163.com,1,0,2,2,2,1,2,2,0,0,2,2,1,1,0,0,2,2,1,1,1,0,1,2,2,2,2,2
slightlychrysler739@yahoo.com,2,2,1,2,1,2,1,2,1,1,2,2,2,2,1,1,2,1,2,2,1,1,1,2,0,1,0,2
acientspice799@yahoo.com,1,0,1,0,2,2,2,0,0,0,2,2,0,0,2,2,0,2,2,0,1,2,2,0,2,2,1,2
fishyjeep316@yahoo.com,2,1,1,1,1,2,2,2,1,0,2,1,1,2,2,2,2,1,1,1,2,1,1,0,2,2,2,2
clamyblanket825@qq.com,2,0,2,1,0,1,2,2,1,0,2,2,2,1,2,0,2,2,2,1,1,2,2,2,1,1,1,1
milkysub209@outlook.com,2,2,2,1,1,0,2,2,0,0,2,2,0,2,2,0,2,0,2,1,1,1,1,2,0,2,1,2
mostlywindow744@qq.com,2,2,2,2,1,2,2,2,2,1,0,1,1,1,2,0,0,1,1,2,2,2,2,0,0,0,0,2
freshyjug808@gmail.com,1,2,1,1,1,2,1,2,1,2,1,2,2,2,1,1,2,2,1,2,1,2,2,2,2,1,1,1
slimybeans511@qq.com,2,2,1,2,1,2,1,2,1,2,1,2,2,2,1,0,2,1,2,1,1,1,1,2,1,2,0,2
usedskates18@gmail.com,2,1,2,1,2,2,0,2,1,2,1,1,1,2,0,0,2,2,2,1,1,2,2,2,0,1,2,1
usedspice635@gmail.com,2,2,1,2,2,2,1,1,1,1,2,2,2,0,2,1,1,1,1,2,2,1,2,0,0,1,2,2
foundbike537@163.com,1,2,1,1,1,2,1,1,0,0,2,1,2,2,2,2,2,1,2,1,1,2,2,2,1,1,2,2
milkychrysler100@gmail.com,2,2,2,0,0,1,1,0,2,2,0,1,0,2,0,0,1,2,1,2,2,2,2,2,0,2,1,2
deeptire735@gmail.com,2,2,2,1,2,1,0,2,1,2,0,1,1,2,1,2,2,2,1,2,1,1,1,0,2,2,2,1
acientwindow492@gmail.com,1,2,1,1,2,2,1,2,1,1,1,1,2,2,1,0,1,2,2,2,2,1,2,0,0,2,2,2
extrasub515@yahoo.com,2,0,1,2,0,2,1,1,0,1,2,2,2,0,0,0,2,2,2,2,2,0,2,0,2,1,1,2
moistsnake997@163.com,1,1,2,2,1,1,2,2,0,2,2,1,1,2,0,2,1,2,1,2,2,2,2,2,1,0,1,1
buriedcup729@outlook.com,1,2,2,0,1,0,2,2,2,1,2,2,2,0,2,2,0,2,0,0,2,0,0,0,0,2,1,2
soiledsnake360@yahoo.com,2,2,2,1,1,2,2,0,2,0,2,2,0,2,1,1,1,1,1,1,1,2,2,2,1,1,2,2
slightlydrum798@163.com,2,2,1,1,1,2,0,2,2,1,1,1,2,1,0,2,2,1,2,2,2,1,1,0,2,2,2,1
usedjeep164@yahoo.com,1,0,2,1,1,0,1,2,2,2,1,1,2,2,1,1,1,2,2,2,2,2,2,2,2,0,0,1
deeptide738@gmail.com,2,2,1,1,1,0,1,1,2,2,2,1,0,1,2,0,2,2,1,2,1,2,1,2,2,2,0,2
mostlytire131@gmail.com,1,2,2,2,1,1,2,0,2,0,0,0,2,2,1,2,1,2,0,2,1,0,1,2,2,2,1,2
dailyshoes843@qq.com,2,0,1,1,1,2,2,2,0,2,0,1,1,2,2,2,1,2,2,1,1,2,1,1,2,2,1,2
clamyblanket565@outlook.com,2,0,2,0,1,0,1,2,2,0,2,2,2,1,2,2,0,2,2,1,2,1,1,2,2,1,1,0
moistskates376@yahoo.com,1,0,0,1,2,1,2,1,1,2,1,2,1,2,2,2,1,2,1,2,2,0,1,0,2,2,2,2
deeptire624@163.com,1,1,1,2,2,0,2,1,2,2,1,0,2,2,2,2,2,1,1,0,1,1,1,2,0,2,2,2
extracola545@yahoo.com,1,2,1,1,1,2,1,1,2,1,2,2,2,0,0,0,1,1,2,2,2,2,2,2,0,0,2,2
soiledspice290@163.com,2,2,1,2,2,0,2,0,1,1,2,1,2,1,2,0,2,1,1,2,2,2,2,1,0,0,1,2
newsnake379@163.com,1,1,2,2,1,0,2,1,2,1,2,1,2,1,1,2,2,1,2,2,2,1,2,1,2,1,1,2
dailybread914@gmail.com,0,2,1,0,1,2,1,1,2,2,2,1,2,1,1,1,2,2,1,1,2,2,2,2,1,2,2,1
hotshack271@qq.com,2,2,1,1,1,0,1,2,2,0,1,2,1,2,1,2,0,1,1,2,1,2,0,2,2,2,2,2
foldingspice440@outlook.com,1,0,1,2,1,2,2,0,1,2,2,2,2,0,0,2,1,1,2,1,1,2,1,2,1,2,2,2
dailydrum264@gmail.com,2,2,2,2,2,0,0,0,2,2,2,1,0,1,2,0,2,1,1,1,2,1,1,2,0,2,2,1
mostlyshack522@163.com,2,2,2,0,1,0,1,1,2,1,2,2,0,2,1,2,0,2,2,1,2,1,0,2,0,1,2,2
mostlyjug823@yahoo.com,1,2,1,1,1,2,1,2,2,1,2,2,2,1,2,1,1,1,2,2,2,2,2,0,0,2,0,1
tiredbike897@qq.com,2,2,1,1,0,0,2,0,2,2,0,1,2,0,0,0,2,2,1,2,1,2,2,0,2,1,2,2
hothat842@outlook.com,2,2,1,1,0,1,0,0,0,2,2,2,0,0,2,2,0,1,1,2,2,2,1,2,2,2,1,2
mostlytire665@163.com,2,2,2,1,1,2,0,2,1,1,2,1,2,1,0,1,2,1,2,1,2,2,2,1,1,1,2,2
extrasnake821@qq.com,1,0,1,0,1,1,2,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2
extrablanket867@gmail.com,2,0,2,0,2,0,0,2,2,2,2,1,0,0,2,2,0,2,1,2,1,2,2,0,2,1,1,1
tiredwindow970@163.com,2,1,1,0,2,1,2,2,1,2,1,2,0,1,2,2,0,1,0,2,2,2,1,2,0,2,0,2
clamyblanket985@qq.com,1,2,1,1,2,2,2,1,2,2,1,1,1,2,2,1,1,2,0,1,1,1,1,2,2,2,2,2
replacementwindow606@outlook.com,2,2,2,1,1,1,2,0,2,1,2,2,0,2,1,1,2,1,0,1,1,2,2,2,2,2,1,1
dailywindow454@yahoo.com,2,2,1,1,1,0,1,1,1,1,1,2,1,2,0,2,2,2,1,1,2,2,2,0,2,2,2,2
newspice843@gmail.com,2,1,1,2,1,0,1,2,1,1,2,2,2,2,1,2,2,2,1,2,1,2,1,2,2,1,1,1
milkyshoes505@gmail.com,1,2,2,0,2,2,0,1,2,2,1,1,2,1,1,1,2,1,1,2,2,1,2,2,2,1,1,2
dirtyrug889@163.com,2,1,2,2,2,1,1,0,1,2,2,2,2,0,0,1,0,2,2,1,2,2,1,2,2,1,1,1
extraskates512@qq.com,2,0,2,2,2,1,2,2,1,1,0,1,2,1,2,0,1,2,2,2,1,2,1,0,1,2,1,2
coldcup141@qq.com,2,2,1,2,1,0,0,2,1,2,2,2,2,1,2,1,1,1,1,2,1,2,1,2,2,1,1,2
soiledskates814@163.com,1,2,2,0,2,0,2,2,2,2,0,1,0,0,2,0,1,1,2,1,1,0,1,2,2,2,2,2
dailytire844@yahoo.com,1,1,2,1,2,2,0,2,1,2,0,2,2,0,1,0,1,2,2,2,2,0,1,0,0,2,2,2
foundwindow771@qq.com,2,0,1,0,2,1,2,2,2,2,2,2,0,0,2,2,1,2,1,1,2,0,2,0,2,0,1,1
drydrum979@gmail.com,2,2,1,1,1,2,0,2,2,1,2,1,1,2,0,0,1,1,2,0,2,2,1,2,1,2,2,2
coldtire692@yahoo.com,2,2,2,2,1,2,1,2,2,2,2,0,0,0,1,0,0,1,2,1,2,1,2,2,0,2,1,0
dailycup574@outlook.com,1,1,1,2,0,2,1,1,1,1,2,2,2,2,1,1,2,2,2,2,1,2,0,0,2,1,2,2
mostlyspice474@yahoo.com,2,2,2,1,2,0,1,1,2,2,1,1,2,2,2,1,0,2,2,1,2,2,1,1,2,1,1,1
slightlyshack127@outlook.com,1,2,1,2,2,2,1,1,2,2,0,1,1,1,0,2,2,2,0,1,1,2,2,0,2,0,2,2
moistwindow929@outlook.com,2,1,2,2,0,1,1,1,2,1,2,1,2,2,1,2,1,2,1,1,2,1,2,1,2,1,2,2
retiredblanket121@163.com,2,0,1,1,2,2,0,2,0,2,2,1,2,2,1,0,2,2,2,1,1,1,1,2,2,1,1,2
clamysnake715@gmail.com,2,1,0,0,1,2,2,0,2,1,1,1,2,1,1,1,2,1,1,2,2,2,2,2,2,1,2,2
oldshack980@gmail.com,1,0,1,1,2,0,2,1,2,1,2,1,2,2,2,1,0,2,1,1,2,2,1,2,2,2,1,2
foldingbeans104@gmail.com,1,2,2,2,0,1,2,0,0,2,2,1,2,1,1,1,2,2,1,1,2,2,2,1,2,2,1,1
moistjug851@outlook.com,2,2,1,2,1,1,1,1,2,0,1,1,2,0,2,2,1,2,1,1,1,2,0,2,2,2,2,2
coldsub774@yahoo.com,1,2,2,0,2,0,2,1,1,0,0,1,0,2,0,0,2,2,1,1,2,2,2,2,2,1,2,2
dryjeep915@163.com,2,2,2,0,1,0,2,0,2,2,0,1,2,2,1,1,2,2,2,1,1,2,2,0,2,1,1,1
coldrug976@yahoo.com,2,0,1,0,1,0,2,2,2,1,0,1,0,0,2,2,1,2,1,1,2,2,2,2,2,2,0,2
slightlycup436@yahoo.com,2,1,2,2,1,1,2,2,2,0,2,2,2,1,1,0,2,2,1,1,1,0,1,0,2,2,1,2
replacementshoes99@outlook.com,1,0,1,1,2,0,2,1,0,2,2,2,2,0,2,1,2,2,2,1,1,0,1,2,0,2,2,2
fishyspice176@qq.com,2,0,1,1,2,2,0,2,2,1,2,1,2,1,2,2,1,2,1,1,1,1,2,0,2,1,2,2
hotcup999@163.com,2,2,1,2,0,0,2,1,1,0,0,2,2,0,2,1,2,2,0,2,2,1,2,0,0,0,2,2
newwindow185@outlook.com,2,2,2,2,2,1,2,2,1,1,0,1,0,2,2,0,2,2,1,1,2,2,2,0,0,1,1,1
freshycola351@qq.com,2,2,1,0,1,2,2,1,0,2,2,2,2,0,2,2,1,1,1,2,1,0,2,1,1,1,2,2
founddrum703@qq.com,1,0,2,0,2,1,2,1,2,1,2,2,0,1,1,1,2,1,2,2,2,0,1,2,2,1,2,2
drybeans185@163.com,1,1,2,2,1,2,1,2,0,2,2,2,0,0,2,2,2,2,2,1,2,1,1,0,0,1,1,2
deepshoes823@gmail.com,2,2,1,1,1,2,1,2,1,2,0,1,0,2,2,2,2,1,1,1,2,1,0,2,2,2,2,1
hotblanket621@gmail.com,2,0,1,1,0,0,0,2,1,2,2,2,2,0,2,2,1,2,2,2,1,1,2,0,0,1,2,2
soiledshack984@163.com,0,0,1,1,2,0,1,2,2,2,1,2,2,0,2,1,2,2,1,1,2,2,0,2,1,2,1,2
newsnake440@gmail.com,1,1,2,1,2,2,1,2,2,2,0,1,2,0,2,2,0,2,1,1,2,1,0,0,1,2,2,2
slimyrug453@gmail.com,1,1,1,1,2,2,1,1,1,2,2,2,2,2,2,2,1,2,2,1,1,2,2,2,1,1,0,1
foldingsnake99@qq.com,1,0,1,2,2,2,0,2,2,2,2,2,0,2,1,2,1,1,1,1,2,2,2,0,0,1,1,2
slightlycup586@163.com,1,2,2,2,2,2,0,0,1,1,2,1,2,0,0,2,2,0,2,2,2,2,1,0,0,1,2,1
deephat767@qq.com,2,2,2,0,0,0,1,2,2,2,2,1,2,0,2,0,2,1,1,1,2,1,1,0,2,1,2,2
oldsub951@163.com,1,1,1,1,2,2,1,1,2,2,2,1,1,2,0,1,2,2,2,2,2,1,1,2,1,1,2,2
hotcup940@outlook.com,1,2,1,1,2,2,2,2,1,0,2,0,1,0,2,0,1,0,1,2,2,2,2,0,2,1,2,2
slimycup961@163.com,2,1,1,2,1,1,0,2,2,2,2,1,1,1,1,1,2,1,1,2,2,2,2,0,2,1,2,2
hotwindow473@qq.com,1,2,1,2,1,1,2,2,2,2,0,2,2,0,0,2,2,1,2,1,1,1,0,2,1,2,1,2
moistjeep527@outlook.com,1,0,2,2,0,0,2,0,2,1,2,1,0,0,2,2,1,2,0,1,2,1,2,2,2,1,2,2
clamyblanket28@outlook.com,2,2,2,0,1,2,1,1,2,2,1,1,1,2,1,0,2,1,1,1,2,2,2,2,2,2,1,1
deepdrum298@yahoo.com,2,1,2,2,2,1,2,0,1,2,2,1,1,2,1,2,2,1,2,2,1,1,1,0,2,1,2,1
olddrum822@gmail.com,2,2,2,1,0,2,1,2,1,2,2,2,2,1,1,2,1,2,2,1,1,2,2,1,1,1,1,0
retiredblanket413@163.com,2,2,1,1,2,0,1,2,2,1,1,2,2,1,0,2,2,1,2,2,1,1,0,2,2,2,1,1
foundsub311@yahoo.com,1,2,1,0,1,2,1,2,2,1,2,1,2,2,1,2,2,2,0,2,1,2,1,0,2,0,1,2
dailybeans457@163.com,2,2,1,2,2,0,1,2,1,1,2,1,2,1,1,2,1,2,2,1,2,0,0,2,2,2,1,1
dirtywindow282@qq.com,2,0,1,1,0,0,2,2,0,1,2,1,0,2,2,0,0,1,2,2,1,2,2,2,0,2,2,2
slightlychrysler546@gmail.com,2,1,1,2,2,1,2,1,1,2,2,1,2,2,2,0,2,2,2,2,1,1,1,2,1,1,1,0
lostrug518@qq.com,2,2,1,1,1,0,1,0,1,2,0,2,0,0,2,1,2,1,2,2,2,1,1,2,2,2,2,2
hotsnake106@qq.com,2,2,1,2,2,1,1,2,2,2,1,2,1,1,2,2,1,2,1,2,2,1,2,0,0,1,1,0
dailycup813@yahoo.com,2,2,2,2,2,2,2,2,2,1,0,1,2,2,1,1,1,2,1,1,1,0,1,1,0,1,2,2
usedspice345@gmail.com,2,0,2,1,0,2,2,2,1,1,2,1,0,1,2,0,2,2,2,1,2,1,2,1,2,1,2,1
dirtysnake317@163.com,1,2,2,1,1,1,0,2,1,1,2,2,0,2,2,0,2,2,2,1,2,1,2,2,0,1,0,2
coldhat974@gmail.com,1,2,2,1,1,2,2,1,2,2,2,1,1,2,0,2,0,0,2,2,2,2,2,1,0,1,1,1
hotbeans567@qq.com,2,2,2,1,2,1,1,2,1,2,0,1,2,1,2,0,2,1,2,1,2,1,1,1,2,2,2,1
foldingcup778@outlook.com,2,2,2,2,1,0,2,2,2,1,1,2,1,2,2,1,1,1,2,2,1,1,1,2,1,1,1,2
dailywindow99@gmail.com,2,2,1,1,1,2,0,1,2,1,2,2,2,1,2,2,0,2,1,2,1,2,0,2,0,1,1,2
extrasub180@qq.com,1,2,1,2,1,2,0,0,2,0,0,2,0,0,2,1,1,2,2,2,2,2,1,0,2,1,2,2
tiredtire285@yahoo.com,2,2,2,1,2,1,1,1,2,1,2,0,1,0,2,1,1,1,2,2,1,1,1,2,2,2,2,2
slimyjug642@163.com,1,2,2,2,0,2,2,2,0,2,0,2,0,2,1,0,2,1,2,1,2,1,1,2,1,1,1,2
colddrum537@yahoo.com,2,1,2,2,1,0,2,1,2,2,2,2,1,1,2,0,2,1,1,1,2,1,2,2,2,1,1,1
slightlywindow776@yahoo.com,2,1,2,2,2,0,2,2,1,2,2,1,2,1,1,1,1,2,0,1,1,2,1,2,2,1,1,2
moistshirt918@163.com,2,1,2,2,1,1,2,0,2,2,2,2,1,1,1,2,0,1,2,1,2,1,0,2,2,2,1,1
dirtyshack540@gmail.com,1,2,1,2,1,2,1,2,1,1,1,1,2,2,2,2,2,1,2,2,1,1,1,0,2,1,2,2
dryjug611@outlook.com,1,2,1,1,1,2,0,2,1,2,0,0,0,0,2,0,2,2,2,1,2,2,2,0,2,2,2,1
retiredchrysler146@outlook.com,1,2,1,2,1,2,1,2,1,2,2,2,0,2,0,2,2,1,1,1,2,2,1,2,0,1,1,2
foldingtire631@163.com,1,2,2,2,2,1,2,2,0,1,2,2,0,2,1,0,2,2,1,1,2,1,1,2,0,2,1,1
clamybike977@163.com,1,2,2,2,1,1,1,1,2,2,1,2,2,0,2,2,2,1,2,1,2,1,2,1,0,1,1,2
slightlyspice55@gmail.com,2,1,1,0,2,0,2,1,1,2,2,0,2,0,2,2,2,1,1,2,1,2,1,0,0,2,2,2
oldsnake346@yahoo.com,1,1,1,2,2,2,2,1,2,1,2,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,0,2
foundchrysler509@yahoo.com,2,0,2,2,2,2,0,2,2,0,0,2,0,2,0,1,1,1,1,2,2,1,2,2,1,1,2,1
freshytide794@qq.com,2,1,1,2,2,2,1,2,1,2,0,2,2,1,2,1,1,1,0,2,1,1,2,2,2,1,2,1
dirtydrum361@yahoo.com,2,1,2,1,1,2,2,1,2,2,1,1,2,1,1,2,2,1,1,1,2,1,1,2,2,2,1,2
deepcup89@qq.com,1,1,2,0,1,1,1,2,2,2,2,2,2,2,0,0,1,2,2,1,2,2,1,0,1,2,2,0
newbeans365@qq.com,2,0,1,2,2,0,2,1,1,2,2,1,1,2,0,0,1,1,2,2,2,1,2,2,2,1,1,2
hotshoes609@163.com,2,0,1,2,2,0,1,2,1,0,2,0,0,2,0,2,2,2,1,1,1,2,2,0,0,2,2,2
soiledblanket200@gmail.com,2,2,2,2,1,2,0,1,1,1,2,1,2,2,1,2,2,2,1,2,2,2,1,0,0,1,1,0
soiledrug637@163.com,2,0,2,0,2,2,1,0,2,2,0,2,2,0,2,0,0,2,2,1,1,2,0,0,0,1,2,2
replacementtide904@outlook.com,2,1,1,1,2,0,2,2,2,2,2,1,2,1,2,2,2,2,1,1,1,2,0,1,2,1,1,1
deepsnake957@qq.com,2,2,1,2,2,2,2,2,1,1,0,2,1,2,2,1,2,2,2,1,1,1,1,2,0,1,1,1
olddrum912@yahoo.com,1,0,2,0,2,1,2,2,1,0,2,2,2,0,2,2,2,1,2,1,1,1,2,0,2,2,1,0
clamyjug899@yahoo.com,1,2,1,1,0,2,0,2,2,1,2,1,2,1,1,2,1,2,2,2,1,0,1,2,1,2,2,2
moistshack97@qq.com,2,1,2,2,2,1,2,2,1,1,1,1,1,2,2,1,2,2,2,1,1,2,1,1,0,2,1,2
moistcup595@outlook.com,2,2,1,2,2,2,2,0,2,1,2,1,0,1,2,1,2,0,2,1,1,2,2,1,2,0,0,0
mostlybike595@gmail.com,2,1,1,1,2,1,2,2,2,2,1,1,2,1,2,0,2,1,1,2,2,1,2,0,2,1,2,1
newshirt132@yahoo.com,2,1,2,2,1,0,2,0,0,0,2,2,1,0,2,0,0,2,2,2,2,0,1,2,0,2,2,1
usedrug181@yahoo.com,2,1,1,0,2,2,2,1,2,2,2,2,1,2,1,0,2,0,2,1,2,0,1,0,1,2,1,2
buriedsnake868@qq.com,1,1,2,2,2,0,2,0,2,1,0,2,2,1,1,0,2,1,2,2,1,1,1,1,2,2,2,2
lostshirt339@yahoo.com,2,2,2,0,1,0,0,1,2,0,2,2,0,0,2,0,1,2,1,2,2,2,2,2,2,1,1,1
replacementrug659@gmail.com,1,0,1,2,2,0,1,2,1,1,0,1,0,2,1,2,1,2,1,1,2,2,2,2,2,2,2,2
