email,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24
dailyshoes843@qq.com,2,1,1,2,1,2,0,2,1,1,1,2,0,2,0,2,2,2,1,0,2,2,1,2
fishybike502@qq.com,1,2,2,1,0,2,2,2,1,2,0,1,0,2,2,1,2,1,2,2,1,1,1,2
moistcup153@163.com,2,0,2,2,2,1,1,2,0,1,2,1,0,1,1,0,1,1,2,2,2,2,2,2
lostchrysler403@outlook.com,1,2,0,1,2,1,2,2,2,1,1,2,1,2,1,2,2,1,2,1,1,1,2,2
freshyhat343@gmail.com,2,2,2,2,2,1,1,2,2,1,0,1,0,1,2,2,2,1,0,1,2,2,1,1
slightlybike13@yahoo.com,1,2,0,2,2,1,0,2,1,2,0,1,2,2,0,1,2,2,2,1,2,0,2,1
fishyspice176@qq.com,2,1,1,0,2,2,1,2,2,2,0,1,0,2,2,1,1,1,2,0,2,1,2,2
dryjug611@outlook.com,1,2,0,2,0,1,2,1,0,1,2,1,2,2,2,1,1,2,2,1,2,2,2,1
slightlycup715@gmail.com,1,1,2,2,2,2,1,1,2,2,1,1,2,2,1,2,1,1,2,2,1,2,1,1
newskates26@outlook.com,2,2,1,2,0,1,2,1,0,1,0,1,2,2,1,2,0,1,2,2,1,2,2,2
foldingsnake605@163.com,1,2,2,2,1,2,1,2,2,1,2,0,1,2,0,2,1,1,2,1,2,1,2,1
replacementtide904@outlook.com,2,0,2,1,2,2,1,2,2,1,2,1,2,2,2,1,1,1,2,0,0,2,0,1
buriedcup948@163.com,1,2,2,1,2,1,2,1,2,1,2,1,0,1,0,1,2,2,1,2,2,2,2,1
extrasnake821@qq.com,1,1,0,1,0,2,1,1,2,1,1,2,2,2,2,2,0,2,2,1,2,2,1,2
clamydrum820@outlook.com,2,2,1,2,1,2,2,2,1,2,1,1,2,2,2,2,1,1,0,1,1,1,1,2
replacementbike548@163.com,2,1,2,0,2,1,1,1,1,2,2,1,2,2,0,2,1,1,0,2,2,1,2,2
coldshoes621@gmail.com,1,2,1,1,1,2,2,2,2,2,1,2,2,1,2,0,1,1,0,2,1,2,1,2
retiredwindow436@gmail.com,2,2,0,0,2,2,2,2,0,2,0,1,1,1,1,2,1,2,0,2,2,1,1,2
oldspice866@163.com,1,2,1,1,2,1,1,0,2,2,0,2,2,1,2,2,1,1,2,2,1,2,0,2
drychrysler511@gmail.com,1,1,0,0,0,0,1,2,0,2,0,2,0,2,2,2,2,2,2,2,1,2,0,2
foundsub934@gmail.com,1,2,2,2,1,0,2,2,2,2,0,2,2,1,0,1,2,1,0,1,1,2,2,0
foldingwindow54@yahoo.com,2,2,1,2,2,2,1,1,2,2,0,1,0,1,1,2,2,0,0,2,2,1,1,2
dailytire690@qq.com,1,1,1,0,0,1,0,2,2,1,2,2,2,2,2,2,1,2,2,1,2,1,2,1
buriedjeep923@yahoo.com,1,1,1,2,2,0,2,2,2,2,1,2,2,1,2,1,1,0,2,1,1,1,2,2
oldbread551@yahoo.com,2,0,1,1,1,2,2,2,1,2,0,1,0,2,2,0,2,2,2,1,2,1,2,1
acientspice799@yahoo.com,1,1,1,2,2,2,0,1,2,2,0,1,2,1,1,2,2,1,2,2,1,2,1,2
milkyjug513@163.com,1,2,1,2,2,0,1,1,0,2,2,1,1,2,1,0,2,2,0,2,2,2,1,2
dailydrum264@gmail.com,2,2,2,0,2,1,0,2,1,2,0,2,0,2,1,0,2,1,0,2,1,2,2,1
foldingjeep939@qq.com,2,2,2,2,2,2,2,2,1,1,0,1,2,1,2,0,1,1,0,2,2,0,1,0
extraskates512@qq.com,2,1,2,2,1,2,2,1,0,1,2,1,2,1,1,2,2,1,2,1,1,2,1,2
buriedsnake868@qq.com,1,1,0,2,2,1,2,1,2,1,2,2,0,1,1,2,2,1,1,1,2,2,2,2
freshycola108@qq.com,1,2,2,2,2,1,1,1,1,2,2,1,0,1,2,0,2,1,2,2,2,1,1,2
oldchrysler400@163.com,1,1,2,2,2,1,2,0,2,2,1,2,0,1,1,1,1,2,2,1,2,2,2,1
moistskates376@yahoo.com,1,1,0,0,2,1,2,1,2,2,2,2,2,1,1,1,1,2,0,0,2,2,2,2
moistjug851@outlook.com,2,2,2,0,0,1,2,1,1,1,2,2,0,1,1,0,1,2,0,2,2,2,2,2
acientsub492@gmail.com,2,2,1,2,2,1,2,1,1,2,2,2,0,1,1,0,2,1,2,1,1,2,2,1
tiredbeans825@163.com,2,1,2,2,0,1,2,2,2,1,1,2,0,2,1,1,2,1,2,2,0,1,2,1
buriedblanket280@gmail.com,1,0,1,2,2,1,1,1,2,1,2,2,0,2,1,2,1,0,2,1,2,2,2,2
milkybeans665@163.com,2,1,2,1,2,1,1,2,2,1,2,1,2,1,0,2,1,0,0,2,2,2,2,1
soiledblanket478@outlook.com,1,2,0,2,1,1,2,2,1,2,0,1,2,1,2,2,1,2,1,2,1,2,1,2
retiredbeans922@gmail.com,1,1,2,2,2,2,2,1,1,1,1,1,1,2,1,2,1,1,0,2,2,2,2,2
acientspice814@outlook.com,1,2,1,2,1,1,2,2,2,2,1,1,1,1,2,2,2,2,0,2,1,1,1,2
slightlyjeep112@yahoo.com,1,2,2,0,2,0,1,2,0,1,2,1,2,1,2,2,2,1,2,0,1,2,1,2
coldsnake814@gmail.com,2,1,0,2,1,1,2,0,2,1,0,1,2,2,1,0,2,1,2,2,2,1,2,2
replacementskates478@yahoo.com,2,1,0,1,2,2,2,2,1,2,1,1,2,2,1,2,2,1,2,2,1,1,1,1
foldingskates420@gmail.com,1,2,2,1,2,1,2,1,2,1,2,2,2,2,1,2,1,1,0,2,1,0,2,1
usedjeep501@outlook.com,1,1,1,2,2,2,1,2,2,1,2,2,0,1,0,2,1,2,0,2,1,2,0,2
mostlyblanket953@163.com,2,1,1,1,2,2,1,2,2,1,1,2,2,1,1,2,2,2,0,1,1,2,2,1
extrashack431@yahoo.com,2,1,2,2,0,1,2,2,2,2,0,1,0,2,2,2,0,1,0,1,2,0,0,2
dirtyspice38@163.com,1,1,2,0,2,2,1,1,0,2,1,2,2,1,0,2,2,1,0,0,2,2,2,2
newbread855@163.com,1,1,2,1,2,2,2,2,2,2,1,2,0,2,2,1,2,1,2,1,1,1,1,1
buriedjug172@yahoo.com,1,1,2,2,1,1,0,2,1,1,2,1,2,2,2,1,1,2,2,1,2,2,1,2
slimychrysler684@yahoo.com,2,2,1,2,0,1,2,1,1,2,2,2,0,1,2,1,1,2,0,2,2,2,1,1
milkyshack320@qq.com,1,1,1,0,2,1,2,2,2,1,2,2,2,1,2,2,1,1,0,2,2,2,1,1
newsnake379@163.com,1,1,2,2,1,2,2,1,1,1,2,1,2,2,1,2,2,2,0,2,1,1,1,2
mostlytire131@gmail.com,1,2,2,2,0,2,1,1,1,1,1,2,0,2,1,2,2,1,0,2,2,2,1,2
freshytire743@outlook.com,1,1,2,2,2,2,1,1,0,2,1,2,0,2,0,2,1,2,2,1,1,0,2,2
retiredbeans380@yahoo.com,1,1,1,0,2,1,2,1,0,1,2,2,1,1,2,2,1,2,0,2,2,2,2,2
buriedwindow695@yahoo.com,1,1,1,2,2,1,2,1,2,2,1,2,0,1,2,2,2,2,0,1,1,1,2,2
slimyshoes43@qq.com,1,1,2,1,2,0,1,2,2,1,2,2,0,1,2,2,2,1,0,2,0,1,2,2
milkyblanket205@yahoo.com,2,2,2,2,1,1,1,2,2,2,2,2,2,1,1,1,2,0,0,2,1,0,1,1
slimyskates157@163.com,2,2,0,1,2,1,0,2,2,2,0,2,1,2,2,2,2,0,0,1,1,1,2,1
replacementshirt358@yahoo.com,2,1,0,1,2,2,2,1,2,2,2,2,0,1,2,0,1,1,2,2,1,2,0,1
newtide749@gmail.com,2,2,2,0,1,2,1,2,2,1,2,1,2,2,1,1,1,2,0,2,1,0,2,1
slightlywindow471@gmail.com,1,2,1,1,1,1,2,0,2,2,2,1,2,2,2,1,0,2,0,2,2,2,0,1
usedrug938@yahoo.com,2,2,2,2,2,2,2,0,2,2,1,1,2,1,2,1,1,1,0,1,1,2,1,1
clamyjug891@163.com,2,0,0,0,2,2,1,1,2,2,2,2,2,1,0,0,1,1,2,2,1,1,2,2
mostlychrysler142@qq.com,2,2,2,2,2,2,1,1,0,1,1,1,0,2,2,2,1,1,2,2,1,2,1,0
slimycup306@yahoo.com,2,2,2,1,2,2,1,2,1,2,1,2,1,1,2,1,2,1,1,1,1,1,2,2
usedbike751@qq.com,2,1,0,2,1,2,2,1,2,1,1,2,0,1,2,1,0,2,2,1,2,2,2,1
olddrum912@yahoo.com,1,1,2,0,2,2,1,1,1,2,2,2,0,2,2,2,2,1,0,0,2,2,0,1
foldingshack252@yahoo.com,2,2,2,1,2,0,2,1,1,2,1,1,2,1,2,0,2,1,0,0,2,2,1,2
freshyjug808@gmail.com,2,1,1,0,1,2,1,2,1,2,2,1,1,2,2,0,2,0,2,2,2,2,1,1
usedskates18@gmail.com,2,0,2,1,2,2,1,2,1,2,0,1,2,1,2,2,2,1,2,1,2,1,0,1
tiredbeans817@gmail.com,2,2,1,0,2,0,1,1,2,2,2,1,2,2,2,2,2,1,2,0,1,1,1,1
extrajeep354@qq.com,1,1,1,0,2,1,2,1,0,1,2,2,0,2,1,2,2,2,2,2,1,2,0,2
fishytire372@gmail.com,2,0,2,2,0,2,2,1,0,1,1,1,2,1,1,0,2,2,2,2,2,1,2,1
acientjeep593@163.com,2,2,2,2,0,2,1,1,2,1,2,2,2,1,2,1,2,0,0,1,1,1,2,1
buriedcup124@yahoo.com,2,1,2,0,1,1,2,1,1,2,2,1,1,2,2,2,2,2,1,0,2,1,2,1
coldshack611@qq.com,2,2,1,1,2,1,2,2,1,2,2,1,2,1,1,2,1,1,0,1,1,2,2,2
milkyrug473@yahoo.com,1,1,2,1,1,2,2,2,1,1,1,2,0,2,2,2,1,1,1,1,2,2,2,2
foundtide258@yahoo.com,1,2,1,2,1,2,1,1,1,2,2,1,0,2,1,2,2,2,1,1,2,2,0,2
hotwindow831@outlook.com,2,0,2,2,1,2,1,1,0,1,2,2,0,2,2,0,2,1,2,1,2,1,2,1
freshytide614@gmail.com,1,1,0,2,1,2,2,2,2,2,0,1,2,1,1,1,1,2,2,0,2,1,2,2
mostlyshack522@163.com,2,2,2,0,1,1,1,1,2,2,0,2,1,2,1,2,2,1,0,2,1,1,2,2
retiredcola606@qq.com,2,2,2,2,0,2,2,1,1,2,0,1,2,2,1,2,1,1,0,2,1,1,2,1
retiredblanket962@yahoo.com,2,2,2,0,2,2,1,1,0,2,2,1,2,2,1,2,0,2,0,1,1,2,1,0
foundbeans7@163.com,2,2,1,2,1,2,2,2,2,1,1,1,0,2,1,1,1,1,0,2,2,2,1,2
dirtytire674@outlook.com,1,1,1,1,2,1,2,2,2,1,0,2,1,2,2,2,1,2,2,1,2,1,2,1
usedspice200@qq.com,1,1,1,2,2,2,2,2,2,1,2,2,0,2,1,2,1,1,1,2,1,1,2,1
buriedwindow446@outlook.com,1,1,2,1,2,1,2,2,2,1,2,1,2,1,2,2,0,0,2,1,2,2,1,1
foundshack747@outlook.com,2,2,2,2,1,1,1,1,2,2,0,1,2,1,1,2,1,2,2,1,1,2,2,1
dailysnake707@qq.com,2,2,1,1,2,1,1,1,1,1,2,1,2,1,2,2,1,2,2,2,1,1,2,2
dirtychrysler281@163.com,2,2,2,2,1,1,1,2,2,1,0,1,2,1,1,0,1,2,1,1,2,2,2,2
lostblanket503@163.com,2,1,2,1,1,2,2,0,2,1,2,2,0,1,0,2,1,0,2,2,1,1,2,2
milkychrysler100@gmail.com,2,2,2,1,1,1,1,1,2,1,2,1,0,1,2,1,2,2,2,1,2,1,2,2
coldsnake463@outlook.com,1,1,2,1,2,2,0,2,2,1,2,2,1,1,2,1,1,1,0,2,2,2,2,1
replacementspice799@qq.com,2,1,1,0,2,1,2,2,1,2,0,2,1,1,2,0,1,2,2,2,2,1,2,1
replacementblanket784@163.com,2,1,0,0,2,2,1,0,1,1,0,1,2,1,2,2,2,2,2,1,2,2,1,2
extradrum718@gmail.com,1,1,2,2,2,2,1,2,2,2,2,1,0,2,1,0,2,1,0,1,2,1,2,1
mostlycup976@qq.com,2,2,2,0,1,1,2,2,2,2,0,2,0,1,2,1,1,1,2,2,2,1,1,0
soiledtire703@163.com,2,1,2,1,1,2,2,1,2,2,2,2,2,2,2,0,1,1,0,1,1,0,2,1
coldskates556@163.com,2,1,1,2,2,0,0,2,2,1,2,1,0,1,1,2,2,2,0,2,1,2,1,2
buriedcup729@outlook.com,1,2,1,0,1,0,2,2,1,2,2,2,0,2,2,2,1,2,0,0,1,2,0,2
clamyjeep153@163.com,1,2,0,0,1,2,2,2,0,2,1,1,0,1,2,2,1,1,2,2,2,2,1,2
usedbike748@qq.com,1,1,1,2,1,2,1,2,2,1,0,2,2,2,1,0,2,2,0,1,2,2,2,1
slimytire42@gmail.com,2,1,2,1,1,2,0,2,1,2,0,2,2,2,1,2,2,1,0,0,2,1,2,0
extrabread562@outlook.com,2,1,2,2,1,1,2,1,0,2,2,1,1,1,1,2,2,2,2,2,0,1,1,2
freshybread731@163.com,2,0,0,0,1,0,1,2,2,2,2,1,2,1,2,2,0,2,2,1,1,0,2,2
clamyskates705@yahoo.com,1,2,2,0,0,1,1,1,0,1,2,2,0,1,2,0,2,2,2,0,2,2,2,2
tiredskates86@yahoo.com,2,1,2,2,1,2,1,1,1,2,2,2,1,2,1,2,1,2,0,2,1,1,1,2
replacementsnake137@gmail.com,0,0,2,0,2,1,2,2,0,2,0,2,0,1,1,1,2,1,2,2,1,2,2,2
oldcola533@yahoo.com,2,0,2,2,2,1,1,2,1,2,2,1,0,2,1,1,1,2,0,2,2,1,1,2
buriedblanket902@outlook.com,1,1,0,2,1,2,1,1,1,1,2,2,0,1,2,2,1,2,2,2,2,1,2,2
drybeans185@163.com,1,2,2,2,1,2,1,2,2,2,1,1,2,1,2,2,2,0,0,1,1,1,1,2
newtire896@gmail.com,1,1,0,2,1,1,1,2,2,1,2,2,0,2,1,2,2,1,2,0,2,2,1,2
replacementrug659@gmail.com,1,1,0,2,2,1,2,0,0,1,1,1,1,2,2,1,2,2,2,2,2,2,1,2
oldhat392@163.com,2,2,2,2,2,1,0,0,1,2,2,2,0,1,2,1,1,1,2,1,2,2,1,0
tiredhat236@yahoo.com,2,1,0,2,2,2,2,1,2,1,0,2,0,2,2,0,1,1,0,2,2,1,2,1
slightlyspice55@gmail.com,2,1,1,0,2,1,0,0,2,1,2,1,2,2,2,1,2,0,2,1,1,2,2,2
coldshirt926@163.com,2,1,1,1,2,2,2,2,1,1,2,1,2,1,1,2,2,0,2,1,2,1,2,1
newbike624@outlook.com,2,2,2,2,2,1,1,1,1,1,2,1,2,2,1,0,2,1,2,2,2,1,1,1
acientshirt492@gmail.com,1,2,2,1,1,1,2,1,2,2,2,1,2,2,1,0,2,2,1,2,2,1,1,1
dailycup910@outlook.com,2,1,2,0,2,1,2,1,2,2,1,1,2,2,1,2,2,1,1,0,2,1,2,1
foundjug643@yahoo.com,1,2,2,0,1,0,2,2,2,2,0,2,0,1,2,2,2,1,2,1,2,0,1,1
buriedwindow794@yahoo.com,2,2,2,0,0,0,2,1,0,2,0,2,2,1,2,0,2,2,2,1,1,0,2,1
moisthat761@outlook.com,2,1,1,1,0,2,2,1,2,2,0,1,2,2,2,2,2,2,0,2,0,1,1,1
foundchrysler353@gmail.com,2,2,2,1,1,1,2,1,2,1,1,1,0,2,2,2,2,1,2,2,1,1,2,1
lostskates238@qq.com,2,2,2,2,1,2,2,1,1,1,0,0,2,2,2,2,1,0,2,1,2,0,1,1
foundjeep958@gmail.com,1,2,1,2,1,1,2,2,1,2,2,1,2,1,1,1,2,1,2,1,2,2,1,2
lostbread363@gmail.com,2,1,2,2,1,2,1,2,2,1,0,1,1,1,2,1,1,2,0,2,2,1,2,2
soiledsnake79@yahoo.com,1,2,1,2,1,2,1,2,1,2,2,1,1,2,2,0,2,2,2,1,1,1,1,2
replacementbeans194@yahoo.com,2,1,1,2,0,1,1,2,2,2,2,2,0,1,2,1,1,0,2,2,1,1,2,2
coldtire20@163.com,1,2,1,2,0,2,1,1,1,1,2,2,0,1,2,2,1,1,2,2,1,2,2,2
deeptire735@gmail.com,2,2,2,0,1,1,2,1,2,1,0,2,2,2,2,0,2,1,0,1,1,2,2,1
moistbike306@yahoo.com,2,1,0,0,1,0,2,1,2,2,0,2,2,1,2,0,2,2,0,2,2,1,1,2
extrasnake663@gmail.com,2,2,2,1,2,1,2,2,0,1,1,1,1,2,1,1,2,1,0,2,2,2,1,2
