email,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16
acientsub492@gmail.com,2,2,1,2,1,1,1,2,1,2,1,1,2,2,2,0
retiredsub266@yahoo.com,1,0,2,1,1,0,2,2,2,1,2,2,1,1,2,2
mostlytire131@gmail.com,2,1,2,2,1,1,1,1,0,2,2,2,1,2,1,2
coldcup782@qq.com,1,2,1,1,2,2,2,2,0,2,2,1,1,2,1,0
milkybread750@gmail.com,2,2,2,2,1,1,2,2,0,1,1,2,1,1,1,2
extraskates964@163.com,2,1,1,1,1,2,1,2,2,2,1,2,0,2,2,0
tiredhat236@yahoo.com,2,0,1,2,2,2,1,1,2,1,2,0,2,2,1,1
clamyshirt500@qq.com,1,1,2,1,2,1,2,2,2,2,1,2,1,1,2,1
usedspice982@163.com,2,2,1,2,2,2,1,1,1,0,1,0,2,2,0,2
moistwindow929@outlook.com,2,1,2,2,1,1,1,2,0,1,2,1,2,1,2,2
milkysub209@outlook.com,2,1,2,2,1,1,1,2,0,1,1,2,2,1,2,2
retiredtire193@yahoo.com,2,1,1,1,2,2,2,0,1,1,2,1,2,1,2,2
replacementsub16@163.com,2,2,1,2,1,2,1,0,1,1,2,0,1,2,2,2
oldsub430@yahoo.com,1,1,2,2,1,1,2,2,2,1,2,1,0,2,2,1
mostlytire325@outlook.com,2,0,1,1,1,2,2,2,2,1,2,2,1,2,0,1
tiredtire843@163.com,2,2,2,1,1,1,2,1,2,0,2,2,2,1,0,1
slimyshirt299@163.com,2,2,1,2,2,1,1,1,2,2,1,2,2,1,1,1
coldshirt926@163.com,2,1,1,2,1,1,2,1,1,2,2,2,2,2,0,1
lostwindow390@gmail.com,1,1,2,1,2,1,2,0,2,2,1,0,2,2,2,1
foldingwindow54@yahoo.com,2,2,1,2,1,1,1,2,1,1,2,2,2,2,1,1
freshytide12@gmail.com,1,1,2,2,2,2,1,2,0,1,2,2,2,1,1,1
retiredblanket121@163.com,2,0,1,0,2,0,2,1,0,2,2,2,2,1,0,2
extrablanket867@gmail.com,2,0,1,2,1,2,2,1,2,2,2,1,0,1,0,2
slightlyhat250@gmail.com,2,1,2,2,1,1,2,2,1,1,2,1,1,1,2,2
hotbeans6@gmail.com,2,1,1,1,2,2,2,2,0,1,1,2,0,2,2,0
soiledbeans664@outlook.com,2,0,1,2,1,1,2,2,2,1,1,0,2,2,1,2
hotskates95@qq.com,1,2,1,2,2,1,2,2,1,0,1,2,1,2,1,2
clamydrum820@outlook.com,2,2,1,2,2,1,2,2,2,1,0,1,1,1,0,2
dailywindow99@gmail.com,2,2,1,2,1,1,2,2,0,1,1,1,2,2,1,2
freshybike323@yahoo.com,2,2,1,1,1,1,1,2,0,2,0,2,2,2,1,2
acienttide795@yahoo.com,2,1,2,1,2,2,2,1,0,2,2,2,1,1,1,1
foldingcola241@outlook.com,2,2,1,1,1,2,2,1,1,2,2,2,2,1,0,0
moisttide935@gmail.com,1,2,1,1,2,2,1,2,2,1,2,2,1,1,0,2
lostjeep796@gmail.com,2,2,2,1,1,0,1,1,1,1,2,2,2,2,2,0
lostshirt339@yahoo.com,2,2,1,1,1,1,2,1,1,1,2,2,2,2,2,1
slimyshoes919@yahoo.com,2,2,1,2,1,0,2,1,2,1,1,2,2,1,2,0
extrajeep354@qq.com,1,0,1,1,2,2,1,2,1,1,2,2,1,2,2,2
fishydrum599@163.com,1,1,1,2,1,2,2,2,0,0,2,2,1,1,2,2
moistcup595@outlook.com,1,1,1,2,1,2,1,1,2,2,2,2,1,2,2,0
deeprug190@yahoo.com,2,1,1,1,2,1,2,1,2,1,2,2,2,1,1,2
dirtyshoes356@yahoo.com,2,2,1,2,1,2,2,1,2,1,2,1,1,1,0,2
retiredwindow436@gmail.com,2,1,1,2,2,1,2,2,1,1,2,2,1,1,0,2
acientbread947@163.com,2,2,1,1,1,1,1,0,2,1,2,2,2,2,2,0
hotwindow293@gmail.com,1,1,2,2,1,1,2,2,2,2,1,1,0,2,1,2
newwindow185@outlook.com,2,1,2,2,2,2,1,1,2,2,2,1,1,1,1,1
foundspice938@yahoo.com,1,1,1,2,2,1,1,2,1,2,2,0,2,2,1,2
replacementskates478@yahoo.com,1,1,2,2,1,2,2,0,2,2,2,2,1,1,0,1
moistcup626@163.com,1,0,0,0,2,0,1,2,2,2,1,2,2,2,2,1
usedtire882@163.com,2,1,1,1,2,2,1,2,2,1,2,0,1,1,2,2
soiledwindow985@yahoo.com,1,2,1,0,1,2,2,1,0,1,2,2,2,1,2,2
hotspice48@qq.com,2,1,1,1,2,2,2,1,0,2,2,1,2,1,2,0
deepcola862@outlook.com,0,0,2,1,2,2,2,1,0,0,0,2,2,1,2,2
mostlycup968@yahoo.com,1,1,2,2,1,2,2,2,2,2,1,1,1,2,0,1
soiledskates976@163.com,2,0,1,0,1,1,1,2,2,2,2,1,2,2,2,1
dirtychrysler281@163.com,2,2,1,2,1,0,2,1,0,1,1,1,2,2,2,2
clamyblanket825@qq.com,2,1,1,2,1,2,1,2,1,1,2,2,2,1,2,1
mostlychrysler142@qq.com,2,2,2,2,2,1,1,0,0,2,2,1,1,1,2,1
foldingcola121@163.com,2,2,1,1,1,2,2,2,2,2,2,0,1,1,0,1
slimyshack348@163.com,2,2,2,1,1,1,2,1,1,2,1,2,2,1,2,1
fishyblanket703@gmail.com,1,2,0,1,1,2,2,2,2,1,2,0,2,1,0,2
hotwindow473@qq.com,1,2,1,2,1,2,2,2,1,1,2,1,1,2,0,2
foldingsnake99@qq.com,1,0,1,2,2,2,1,2,2,2,1,1,2,1,1,2
usedspice992@gmail.com,2,1,1,2,1,2,1,0,2,2,2,0,2,1,1,2
foldingwindow224@gmail.com,2,0,1,1,1,1,2,2,2,0,2,2,0,1,2,2
deepdrum919@qq.com,1,2,1,2,2,2,1,2,2,1,1,2,1,1,1,2
deepcup89@qq.com,1,2,1,1,0,1,2,2,1,2,1,2,1,2,2,2
oldshirt546@gmail.com,2,2,2,2,1,2,1,1,0,1,0,2,2,2,0,1
dirtyrug889@163.com,2,2,2,1,2,1,2,0,0,1,2,1,2,1,2,1
slightlyjug254@yahoo.com,2,1,2,1,2,2,1,1,0,1,2,1,2,1,2,2
fishyspice921@outlook.com,1,1,2,2,2,2,2,1,0,1,2,0,2,1,0,2
clamyjug230@qq.com,1,1,0,1,1,2,2,2,0,2,2,2,1,2,1,2
hotshack160@outlook.com,2,0,2,2,1,1,2,2,1,2,2,0,0,1,2,1
milkyshack320@qq.com,1,1,2,1,2,1,2,1,2,1,2,2,1,2,2,0
foldingtide644@gmail.com,2,1,1,1,2,2,1,2,1,2,1,2,2,2,1,0
drydrum979@gmail.com,1,2,1,2,2,2,1,1,1,2,1,2,0,1,2,2
mostlyshirt500@163.com,1,1,2,2,2,1,2,2,2,1,1,2,0,1,2,1
slimyjeep502@163.com,2,1,1,1,2,2,2,2,0,2,2,2,1,1,1,1
dailyspice289@gmail.com,1,1,2,2,1,2,2,2,1,1,2,1,1,2,1,2
fishytire372@gmail.com,2,1,1,1,2,1,1,0,2,2,2,2,1,2,2,0
tiredskates490@gmail.com,2,2,2,1,1,2,2,2,0,1,1,2,1,1,1,2
drywindow184@qq.com,2,2,2,1,1,2,2,1,0,2,1,2,1,1,1,2
mostlybike595@gmail.com,2,1,1,1,2,2,2,2,0,1,2,1,2,1,2,1
tiredtire369@yahoo.com,1,0,2,1,2,1,2,1,2,2,1,1,2,1,2,2
freshycup995@163.com,0,2,1,1,2,2,2,1,2,2,2,2,1,1,1,1
foundtire912@qq.com,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1
drydrum859@outlook.com,2,2,2,1,2,2,1,2,0,1,0,2,0,1,1,2
foundhat456@outlook.com,2,2,2,1,1,2,1,1,2,1,2,2,2,1,1,1
buriedjug172@yahoo.com,1,2,0,1,1,2,2,1,2,2,1,2,2,1,1,2
freshyblanket453@gmail.com,1,0,2,2,1,1,1,2,2,2,1,2,1,2,2,0
oldcola533@yahoo.com,1,2,2,2,1,2,1,1,2,1,2,1,2,1,1,2
foundbeans35@163.com,1,1,2,2,1,2,1,2,2,2,1,1,0,1,2,2
soiledrug174@163.com,2,2,1,1,1,2,2,2,2,2,1,2,1,1,1,0
freshyspice185@qq.com,2,2,1,1,2,1,1,2,1,0,1,2,2,2,1,2
coldtire692@yahoo.com,2,2,2,2,1,1,2,1,2,2,1,1,2,1,0,0
mostlyrug152@qq.com,2,2,1,2,1,1,2,1,0,1,1,2,2,2,1,2
tiredtide263@outlook.com,2,2,1,1,2,1,2,1,0,2,2,1,2,2,0,1
acientbread18@outlook.com,2,1,2,1,2,2,1,0,0,2,1,2,2,1,2,0
slightlychrysler546@gmail.com,1,1,2,1,0,1,2,2,2,2,1,2,2,2,1,1
retiredtide905@qq.com,2,0,2,2,2,2,1,1,0,0,0,2,2,1,2,0
dailybike78@163.com,1,2,2,1,1,2,1,1,1,2,2,2,1,2,1,2
slimychrysler684@yahoo.com,2,0,1,1,1,2,1,2,0,2,2,0,2,2,1,2
slimyskates43@163.com,1,1,1,1,2,1,1,2,2,2,1,1,2,2,2,2
slightlyjeep112@yahoo.com,1,0,1,2,1,2,1,2,2,1,2,2,2,1,2,1
replacementshirt545@gmail.com,1,0,1,0,2,2,2,0,1,2,2,2,2,0,2,0
dirtybread587@yahoo.com,1,2,2,0,1,2,1,2,2,0,1,2,1,2,2,0
extrashirt316@yahoo.com,1,1,1,2,1,2,1,1,2,2,1,2,1,2,2,2
buriedtire678@yahoo.com,2,2,1,1,1,1,1,0,2,2,1,2,2,2,0,2
usedbike751@qq.com,1,2,1,1,2,2,2,1,2,2,1,0,2,1,2,1
buriedspice285@outlook.com,1,2,2,1,1,2,1,1,0,2,2,1,2,2,2,1
foundchrysler353@gmail.com,2,2,2,0,1,2,2,1,0,2,0,2,1,2,1,0
oldchrysler712@gmail.com,2,2,2,1,2,2,1,1,1,2,1,1,2,2,1,0
usedshirt865@qq.com,2,1,2,0,2,0,1,2,2,1,2,2,1,1,1,2
oldblanket634@yahoo.com,1,2,2,1,1,1,2,1,0,2,1,2,2,2,1,2
moisthat885@gmail.com,2,2,2,1,2,0,1,2,0,1,2,1,2,1,2,1
replacementsub369@qq.com,1,2,2,1,2,1,2,2,2,1,2,1,2,1,0,0
coldsub442@outlook.com,1,1,0,2,2,2,1,0,1,2,1,2,2,1,2,2
slightlycup905@outlook.com,1,2,1,2,1,1,2,0,2,2,0,2,1,2,2,1
milkytire691@qq.com,1,0,1,2,1,2,2,2,0,2,0,0,2,2,1,2
buriedrug530@outlook.com,1,1,0,2,2,2,1,2,0,2,2,1,1,2,2,0
extrashoes592@yahoo.com,1,1,2,1,1,2,1,2,2,2,2,1,2,1,1,2
foundjug643@yahoo.com,2,2,1,1,1,2,2,1,0,0,2,2,2,2,1,0
slimysnake947@gmail.com,2,2,1,2,1,2,1,1,2,2,1,2,1,1,1,2
foldingsnake605@163.com,1,1,2,1,2,2,1,2,2,2,0,2,1,1,1,2
retiredshack97@gmail.com,2,1,2,1,2,2,1,1,0,2,1,0,1,2,2,2
drychrysler833@gmail.com,1,2,0,0,2,2,2,0,2,1,1,2,1,2,2,0
deeprug481@qq.com,2,2,1,2,2,2,2,1,2,0,1,1,1,1,0,2
freshysub873@yahoo.com,2,2,2,1,1,2,1,2,2,1,1,0,1,1,2,2
dailytire90@gmail.com,2,1,2,2,1,1,1,1,2,2,1,2,1,1,2,2
extraspice861@outlook.com,2,2,2,2,1,2,1,1,2,1,2,0,1,2,1,0
lostskates238@qq.com,2,2,2,2,1,2,2,0,2,0,1,0,2,1,0,1
soiledwindow838@yahoo.com,1,2,2,1,2,0,2,1,0,1,2,2,2,2,1,1
dailydrum264@gmail.com,2,2,1,1,2,0,0,1,0,1,2,1,2,2,2,2
milkybeans665@163.com,1,1,2,2,2,1,0,1,2,0,2,1,1,2,2,2
newwindow655@qq.com,1,1,2,1,2,1,2,1,2,1,1,1,2,2,2,2
freshyskates966@gmail.com,1,1,2,2,1,2,0,2,2,2,2,1,1,1,0,2
usedsub254@gmail.com,0,2,1,0,2,2,1,2,1,1,1,1,2,2,2,2
dryshirt284@gmail.com,1,1,1,1,1,2,2,2,1,1,1,2,2,2,2,2
soiledshack25@qq.com,2,1,2,2,2,1,1,1,2,0,1,1,2,2,1,2
replacementsnake366@gmail.com,1,1,2,2,1,1,1,2,2,1,1,2,2,2,1,2
replacementshack38@163.com,2,2,1,2,1,1,1,2,0,1,2,2,2,1,1,2
foundrug2@yahoo.com,2,2,0,1,2,2,1,0,1,2,1,0,2,2,1,2
deepdrum726@qq.com,1,2,2,1,2,1,1,2,2,1,1,2,1,2,1,2
replacementbeans194@yahoo.com,1,1,2,1,2,1,1,2,2,2,1,2,1,1,2,2
losthat823@gmail.com,1,1,2,1,1,2,1,2,2,0,2,2,1,2,0,2
coldwindow93@gmail.com,2,1,1,1,2,2,2,1,2,1,1,0,2,2,1,2
newbike624@outlook.com,2,2,2,2,2,1,1,1,1,1,2,2,2,1,1,0
fishyshirt859@outlook.com,2,2,2,2,2,2,2,1,0,1,1,1,2,1,1,1
deepblanket774@outlook.com,1,1,1,1,0,2,1,1,2,1,2,2,2,2,2,2
lostrug518@qq.com,2,2,1,1,1,1,1,2,2,1,1,2,2,2,2,1
deepshack742@gmail.com,1,1,2,2,2,0,0,2,0,0,2,2,1,1,2,2
lostsub349@gmail.com,2,2,1,2,0,2,1,2,2,2,1,1,1,1,0,2
soiledsub425@163.com,1,2,1,2,1,1,2,2,2,2,1,1,2,2,1,1
clamyspice605@yahoo.com,2,2,2,2,1,1,1,2,2,2,1,0,1,1,1,2
dirtysub288@163.com,2,1,1,2,1,2,2,1,2,1,2,2,1,2,1,1
deeprug933@163.com,2,1,1,2,2,1,2,2,0,1,1,2,1,2,1,2
replacementspice591@163.com,1,1,2,0,2,1,0,2,0,1,2,2,2,1,2,2
slimycup306@yahoo.com,1,2,1,1,2,1,1,2,2,2,2,1,1,1,2,2
hotblanket621@gmail.com,2,1,1,1,1,2,2,2,0,1,2,2,0,1,2,2
dirtywindow798@qq.com,1,2,2,1,2,2,1,2,1,2,2,1,1,1,1,2
mostlywindow744@qq.com,2,2,1,2,0,1,2,2,0,2,2,2,1,1,1,0
soiledhat544@outlook.com,2,2,1,1,1,2,1,2,1,2,1,0,2,2,2,0
freshywindow29@163.com,2,1,0,1,1,2,2,2,1,1,2,2,2,2,1,1
soiledshoes664@yahoo.com,2,2,2,2,1,1,2,2,1,0,2,1,1,2,1,1
acientblanket316@yahoo.com,1,0,2,2,1,1,2,1,2,1,2,2,2,2,1,1
coldshack63@qq.com,2,2,2,1,1,2,1,1,0,2,1,2,1,1,2,2
foundwindow771@qq.com,2,1,2,2,1,2,2,1,2,1,2,2,1,1,0,1
coldbike895@yahoo.com,1,2,2,1,1,0,1,1,1,2,2,0,2,2,2,2
acientbike19@outlook.com,1,1,2,2,2,2,2,2,1,1,2,1,2,1,1,0
foldingchrysler517@qq.com,1,1,2,1,1,1,2,2,2,1,1,2,2,2,1,2
slightlyhat58@gmail.com,2,2,1,1,0,0,2,1,0,2,2,2,2,2,1,0
dirtysub781@yahoo.com,1,2,1,2,2,1,1,2,1,2,2,1,1,2,0,2
replacementbike875@qq.com,1,1,2,2,1,1,2,2,1,2,2,2,1,1,2,0
newspice255@outlook.com,2,2,2,0,1,1,2,2,1,2,1,1,2,1,2,0
lostskates583@163.com,2,2,2,2,2,0,2,0,1,1,1,1,2,1,1,2
buriedcola618@gmail.com,1,0,2,1,1,1,1,2,2,2,2,1,2,2,1,2
buriedsnake868@qq.com,0,2,0,1,2,0,2,2,0,1,1,1,2,2,2,2
fishywindow973@outlook.com,1,1,0,1,1,2,2,2,2,0,2,2,1,2,2,0
mostlyblanket992@qq.com,1,1,2,2,2,1,1,1,2,1,2,2,0,2,2,0
dailyspice313@gmail.com,2,2,2,2,1,1,2,2,0,2,0,0,1,2,1,0
hotshirt172@qq.com,1,1,2,1,2,2,2,2,0,1,2,2,0,1,2,1
milkyshoes757@yahoo.com,2,2,2,1,2,1,2,1,0,1,2,2,2,1,1,1
hotspice38@yahoo.com,1,0,0,1,2,2,2,1,0,2,1,2,1,2,2,2
coldshack611@qq.com,2,2,1,1,1,2,2,2,1,2,1,0,0,2,2,1
hotbeans567@qq.com,2,2,2,1,1,2,2,0,2,0,1,1,1,2,2,1
coldsub774@yahoo.com,1,2,2,2,1,0,2,1,0,2,2,1,2,1,0,2
lostshoes128@163.com,1,2,2,1,2,1,2,0,2,1,2,2,1,1,2,1
newbeans365@qq.com,2,1,1,2,2,1,2,1,2,2,1,2,1,1,1,2
tiredhat606@qq.com,2,1,2,2,2,1,1,1,2,2,1,1,1,1,2,2
retiredsnake808@gmail.com,2,2,2,1,2,0,2,2,1,1,0,1,1,1,2,2
dirtyspice38@163.com,1,0,2,2,1,1,2,1,1,2,1,1,2,2,2,2
foundshack343@gmail.com,1,0,2,2,1,2,1,2,0,1,2,1,1,2,2,2
freshyskates489@yahoo.com,2,1,1,2,2,1,2,2,1,1,2,2,1,2,0,0
slightlywindow508@gmail.com,1,0,2,2,2,1,2,1,0,2,2,1,2,1,2,0
replacementshoes847@qq.com,2,2,2,2,1,1,1,1,2,0,1,2,2,2,1,0
extrabeans516@gmail.com,1,2,2,2,1,2,1,0,2,0,2,0,1,2,0,2
mostlyjug823@yahoo.com,1,2,2,0,1,2,1,2,2,1,1,2,2,2,1,1
soiledshirt927@gmail.com,2,0,1,1,1,0,2,2,0,2,2,2,1,2,1,2
dryjug611@outlook.com,1,2,2,1,1,1,1,2,2,2,1,2,1,2,2,0
extrachrysler578@outlook.com,1,0,2,1,1,1,2,2,0,2,2,2,1,1,2,2
coldblanket498@qq.com,1,1,2,2,1,1,2,1,1,2,2,0,2,1,2,2
freshybread143@gmail.com,2,2,1,1,1,1,2,0,2,0,2,2,2,2,1,0
newshirt323@gmail.com,1,2,2,0,2,1,2,2,1,1,1,2,2,1,2,0
moistcup496@gmail.com,1,0,2,2,1,2,2,0,2,2,1,0,1,2,2,1
foundbread301@163.com,2,2,2,1,1,2,2,2,0,1,1,2,1,1,0,2
deeptide738@gmail.com,1,2,1,1,2,1,1,2,2,2,2,2,2,1,1,0
acientbeans987@gmail.com,2,0,1,0,2,1,1,2,1,2,2,2,1,1,2,2
replacementshoes99@outlook.com,1,0,0,2,2,2,1,2,0,1,2,2,1,2,2,0
milkyshoes260@163.com,1,2,2,2,1,0,2,2,2,1,1,0,1,2,2,1
acienthat353@yahoo.com,1,2,2,1,1,1,2,2,2,2,2,2,1,1,1,1
slightlyshirt196@outlook.com,2,2,0,2,2,1,1,2,2,1,1,2,1,2,0,0
slightlywindow471@gmail.com,2,0,2,2,2,1,1,0,2,1,1,2,1,2,2,0
acientjug849@gmail.com,2,2,1,1,2,1,1,2,0,1,2,2,2,2,1,1
hotsub233@gmail.com,1,2,2,2,2,1,1,2,2,2,1,0,0,1,0,2
dryjeep101@qq.com,1,2,2,2,2,0,2,2,1,1,2,1,1,2,0,0
moistshoes316@qq.com,2,1,0,2,2,2,1,2,1,1,1,1,2,2,1,2
coldsnake463@outlook.com,2,2,2,1,1,1,2,0,0,2,0,1,2,2,2,1
foundskates680@gmail.com,1,1,1,1,1,2,1,2,2,1,1,2,2,2,2,2
replacementwindow606@outlook.com,1,2,2,1,1,2,1,1,2,1,1,2,2,2,2,1
slightlywindow406@gmail.com,2,2,2,2,2,0,1,1,0,2,2,2,1,1,0,0
buriedskates672@outlook.com,1,1,2,2,2,1,2,2,1,2,1,0,1,1,2,2
extraskates217@163.com,2,2,1,2,1,1,2,1,1,1,2,2,2,1,1,2
usedcola500@yahoo.com,2,0,2,1,1,0,2,2,2,1,0,2,2,1,2,0
extrasub180@qq.com,1,2,1,1,2,1,2,2,2,2,1,2,0,1,1,2
freshytire380@163.com,2,0,2,1,2,1,2,2,2,1,1,2,1,1,2,1
fishybike502@qq.com,1,2,2,1,1,2,2,2,1,2,2,0,1,1,2,1
replacementchrysler5@qq.com,0,0,2,2,1,2,1,2,0,1,2,2,1,2,2,0
usedwindow885@yahoo.com,1,1,1,2,2,1,2,2,0,2,1,2,1,2,1,2
newjeep444@outlook.com,1,1,2,1,1,2,2,1,2,1,2,2,1,1,2,2
clamyjug899@yahoo.com,2,0,2,1,1,1,1,2,2,1,2,1,1,2,2,2
soiledskates814@163.com,1,2,1,1,2,2,1,0,2,2,1,2,1,2,1,2
fishywindow737@yahoo.com,2,1,2,1,1,2,2,2,2,0,2,0,0,1,0,2
freshytide614@gmail.com,1,1,2,0,2,1,2,1,2,2,2,0,2,1,2,0
hotcup940@outlook.com,1,2,1,2,2,2,1,2,1,2,1,1,1,2,2,1
drysub137@outlook.com,2,2,0,2,2,1,2,2,0,0,1,2,1,2,1,1
buriedjug901@qq.com,1,1,2,1,1,2,1,1,2,2,2,2,1,1,2,2
moistsnake675@yahoo.com,2,2,1,1,1,2,1,2,0,2,1,2,2,2,0,0
oldcup634@yahoo.com,2,1,1,1,2,1,2,2,2,2,2,0,1,1,1,2
clamywindow857@yahoo.com,1,1,1,2,1,2,2,1,2,1,1,2,2,1,2,2
hotskates911@qq.com,1,0,1,1,2,2,2,0,2,2,2,1,1,1,2,2
foldingchrysler304@outlook.com,2,2,0,1,1,2,2,2,2,1,1,1,2,2,1,1
acientshirt492@gmail.com,2,2,2,1,1,1,2,1,2,2,1,2,1,2,1,0
moistcola199@qq.com,0,1,2,2,2,2,1,2,2,2,2,1,1,1,1,1
slimyjug642@163.com,1,2,1,0,2,1,2,2,2,0,2,1,0,1,2,2
dailyhat217@qq.com,2,2,2,1,2,2,2,1,1,1,0,1,2,1,2,1
replacementshack840@outlook.com,2,2,2,1,2,1,2,1,1,1,2,1,2,2,1,1
dirtyhat787@gmail.com,2,0,2,0,2,2,1,2,2,2,1,2,1,1,1,0
dailybread940@yahoo.com,1,1,2,1,1,2,2,2,0,1,2,1,1,2,2,2
retiredjug229@yahoo.com,1,1,1,2,2,2,2,1,0,2,1,2,2,1,1,2
buriedhat948@gmail.com,1,1,2,0,2,1,2,0,2,2,2,1,0,1,2,2
dryjug552@gmail.com,2,2,2,0,2,0,1,1,0,1,0,2,2,1,2,2
buriedbread569@outlook.com,1,2,2,0,2,2,2,2,1,2,2,1,1,1,1,1
mostlychrysler381@qq.com,1,1,2,2,1,0,1,2,0,2,2,0,2,2,2,0
milkydrum471@163.com,2,0,2,1,2,1,1,0,2,0,2,2,2,1,1,2
freshyrug42@qq.com,2,1,2,1,2,2,2,2,0,1,1,2,1,2,1,0
hottide136@yahoo.com,2,1,2,0,1,2,1,2,1,0,1,1,2,2,2,2
hotwindow664@163.com,1,1,2,1,2,2,2,1,0,2,1,0,2,2,1,2
oldbread551@yahoo.com,2,1,1,2,1,2,2,1,1,2,2,2,1,1,1,2
fishyhat971@outlook.com,2,0,2,2,2,1,1,1,0,2,1,2,1,1,2,2
slightlysub732@qq.com,2,0,1,2,1,2,2,1,2,1,1,2,2,1,2,1
dailycup574@outlook.com,1,1,1,2,0,1,2,2,2,1,1,2,2,1,2,2
dryhat911@yahoo.com,1,1,2,2,1,1,2,2,2,1,2,1,2,2,1,0
milkytide545@gmail.com,1,1,2,1,2,2,1,2,0,2,1,2,2,1,1,2
slightlybread757@yahoo.com,2,0,1,2,1,2,2,1,2,2,2,1,2,1,0,0
usedjeep164@yahoo.com,2,1,1,0,1,1,2,2,2,2,2,2,1,1,2,0
clamywindow198@outlook.com,2,2,1,1,2,2,2,2,1,2,2,1,0,1,1,0
slightlytire36@qq.com,1,1,1,2,2,1,2,2,2,2,1,1,1,1,2,2
foldingtide515@qq.com,1,2,1,1,2,2,2,1,2,2,2,1,1,1,0,2
replacementchrysler733@163.com,2,1,2,2,2,1,2,0,0,1,0,2,0,2,2,0
acientblanket702@qq.com,2,0,2,2,2,2,2,1,2,1,1,2,1,1,1,1
acientcup238@outlook.com,1,2,2,1,1,0,0,1,2,2,2,2,2,2,0,0
extrasnake663@gmail.com,1,2,2,1,1,2,2,1,2,1,2,1,2,0,1,2
moistbike54@163.com,1,2,2,0,2,1,1,1,0,1,1,2,2,2,2,2
lostspice859@gmail.com,1,1,2,2,2,1,1,2,2,2,1,2,1,1,1,2
foldingdrum983@qq.com,2,1,1,1,2,1,2,1,2,2,2,2,1,1,2,1
retiredsub891@163.com,1,1,2,2,2,1,2,1,1,1,2,2,0,1,2,2
dailybeans457@163.com,1,2,2,1,2,2,1,2,2,1,1,2,2,1,1,1
replacementrug659@gmail.com,1,1,1,2,1,1,2,2,2,2,1,2,0,2,0,2
dailyshoes843@qq.com,2,1,1,1,2,2,1,2,0,2,1,2,1,2,1,2
drychrysler511@gmail.com,1,1,0,1,1,2,1,2,2,2,2,2,0,2,0,2
